"﻿Report Date","Week End Date","Geography Type","Geography Name","Facility Type","Count of ED Visits","Count of UC Visits","Count of CLI Visits","Percent of CLI Visits","Count of CLI Hospitalizations","Percent of  CLI Hospitalizations"
7/13/2020,6/27/2020,"Health Region","Northern Region","Urgent Care",0,6400,2262,35,0,0
7/13/2020,3/28/2020,"Health Region","Eastern Region","Emergency Department",12115,0,1301,11,259,20
7/13/2020,3/21/2020,"Health Region","Eastern Region","Urgent Care",0,8081,660,8,0,0
7/13/2020,5/9/2020,"Health Region","Northwest Region","Emergency Department",6781,0,617,9,160,26
7/13/2020,6/20/2020,"Health Region","Northwest Region","Urgent Care",0,2496,324,13,0,0
7/13/2020,3/7/2020,"Health Region","Southwest Region","Emergency Department",11799,0,643,5,180,28
7/13/2020,5/23/2020,"Health Region","Central Region","Urgent Care",0,5535,1717,31,0,0
7/13/2020,3/21/2020,"Health Region","Central Region","Emergency Department",12502,0,1353,11,217,16
7/13/2020,6/6/2020,"Health Region","Central Region","Urgent Care",0,6009,1889,31,0,0
7/13/2020,7/11/2020,"Health Region","Eastern Region","Urgent Care",0,10343,2678,26,0,0
7/13/2020,5/9/2020,"Health Region","Central Region","Emergency Department",9091,0,734,8,354,48
7/13/2020,5/23/2020,"Health Region","Eastern Region","Urgent Care",0,6612,1176,18,0,0
7/13/2020,5/16/2020,"Health Region","Eastern Region","Emergency Department",11304,0,566,5,203,36
7/13/2020,4/25/2020,"Health Region","Northern Region","Urgent Care",0,3120,528,17,0,0
7/13/2020,6/13/2020,"Health Region","Northern Region","Urgent Care",0,6316,2183,35,0,0
7/13/2020,4/11/2020,"Health Region","Southwest Region","Urgent Care",0,852,60,7,0,0
7/13/2020,3/28/2020,"Health Region","Northern Region","Emergency Department",7967,0,1129,14,94,8
7/13/2020,6/27/2020,"Health Region","Southwest Region","Urgent Care",0,2085,111,5,0,0
7/13/2020,7/4/2020,"Health Region","Northwest Region","Urgent Care",0,2707,364,13,0,0
7/13/2020,7/11/2020,"Health Region","Central Region","Emergency Department",12271,0,782,6,211,27
7/13/2020,3/14/2020,"Health Region","Eastern Region","Emergency Department",18860,0,1356,7,238,18
7/13/2020,4/25/2020,"Health Region","Southwest Region","Urgent Care",0,782,36,5,0,0
7/13/2020,5/30/2020,"Health Region","Northern Region","Urgent Care",0,5863,2374,40,0,0
7/13/2020,4/25/2020,"Health Region","Central Region","Emergency Department",7997,0,555,7,211,38
7/13/2020,3/14/2020,"Health Region","Northern Region","Urgent Care",0,8753,629,7,0,0
7/13/2020,6/13/2020,"Health Region","Northwest Region","Urgent Care",0,2473,367,15,0,0
7/13/2020,5/30/2020,"Health Region","Northern Region","Emergency Department",8396,0,999,12,108,11
7/13/2020,7/11/2020,"Health Region","Southwest Region","Urgent Care",0,2499,147,6,0,0
7/13/2020,5/30/2020,"Health Region","Central Region","Emergency Department",10298,0,839,8,328,39
7/13/2020,4/11/2020,"Health Region","Central Region","Emergency Department",7802,0,779,10,307,39
7/13/2020,6/27/2020,"Health Region","Central Region","Urgent Care",0,6131,1760,29,0,0
7/13/2020,6/13/2020,"Health Region","Eastern Region","Urgent Care",0,7462,1090,15,0,0
7/13/2020,3/28/2020,"Health Region","Central Region","Emergency Department",9786,0,1063,11,253,24
7/13/2020,4/25/2020,"Health Region","Central Region","Urgent Care",0,3692,736,20,0,0
7/13/2020,6/13/2020,"Health Region","Central Region","Urgent Care",0,6315,1793,28,0,0
7/13/2020,4/11/2020,"Health Region","Eastern Region","Urgent Care",0,4660,170,4,0,0
7/13/2020,3/28/2020,"Health Region","Southwest Region","Emergency Department",7355,0,706,10,177,25
7/13/2020,6/13/2020,"Health Region","Central Region","Emergency Department",11144,0,679,6,258,38
7/13/2020,3/14/2020,"Health Region","Northwest Region","Urgent Care",0,3805,299,8,0,0
7/13/2020,4/11/2020,"Health Region","Central Region","Urgent Care",0,2892,100,3,0,0
7/13/2020,4/18/2020,"Health Region","Eastern Region","Emergency Department",9488,0,694,7,222,32
7/13/2020,7/4/2020,"Health Region","Northern Region","Emergency Department",9026,0,554,6,59,11
7/13/2020,4/25/2020,"Health Region","Eastern Region","Urgent Care",0,4938,304,6,0,0
7/13/2020,6/13/2020,"Health Region","Southwest Region","Emergency Department",9110,0,322,4,139,43
7/13/2020,5/23/2020,"Health Region","Southwest Region","Urgent Care",0,1013,27,3,0,0
7/13/2020,6/27/2020,"Health Region","Eastern Region","Urgent Care",0,7760,1531,20,0,0
7/13/2020,3/28/2020,"Health Region","Northwest Region","Emergency Department",7024,0,756,11,150,20
7/13/2020,4/11/2020,"Health Region","Northwest Region","Emergency Department",6025,0,600,10,168,28
7/13/2020,5/30/2020,"Health Region","Northwest Region","Emergency Department",7778,0,531,7,144,27
7/13/2020,3/28/2020,"Health Region","Northern Region","Urgent Care",0,3692,316,9,0,0
7/13/2020,5/16/2020,"Health Region","Northern Region","Urgent Care",0,4467,1619,36,0,0
7/13/2020,7/4/2020,"Health Region","Eastern Region","Emergency Department",14858,0,1009,7,232,23
7/13/2020,4/11/2020,"Health Region","Southwest Region","Emergency Department",6244,0,460,7,160,35
7/13/2020,5/30/2020,"Health Region","Southwest Region","Emergency Department",8593,0,314,4,126,40
7/13/2020,5/16/2020,"Health Region","Northern Region","Emergency Department",8111,0,1309,16,137,10
7/13/2020,3/21/2020,"Health Region","Southwest Region","Urgent Care",0,1744,200,11,0,0
7/13/2020,5/9/2020,"Health Region","Southwest Region","Urgent Care",0,956,47,5,0,0
7/13/2020,5/2/2020,"Health Region","Eastern Region","Emergency Department",10367,0,691,7,205,30
7/13/2020,4/11/2020,"Health Region","Northwest Region","Urgent Care",0,1480,98,7,0,0
7/13/2020,5/30/2020,"Health Region","Northwest Region","Urgent Care",0,2174,380,17,0,0
7/13/2020,5/16/2020,"Health Region","Northwest Region","Urgent Care",0,1911,333,17,0,0
7/13/2020,6/13/2020,"Health Region","Northwest Region","Emergency Department",8128,0,379,5,118,31
7/13/2020,6/27/2020,"Health Region","Central Region","Emergency Department",11666,0,710,6,258,36
7/13/2020,5/2/2020,"Health Region","Northern Region","Emergency Department",7923,0,1493,19,147,10
7/13/2020,3/28/2020,"Health Region","Northwest Region","Urgent Care",0,1745,161,9,0,0
7/13/2020,3/7/2020,"Health Region","Southwest Region","Urgent Care",0,2596,212,8,0,0
7/13/2020,6/20/2020,"Health Region","Eastern Region","Emergency Department",13531,0,525,4,183,35
7/13/2020,3/14/2020,"Health Region","Northern Region","Emergency Department",12640,0,1165,9,69,6
7/13/2020,3/21/2020,"Health Region","Eastern Region","Emergency Department",14983,0,1692,11,248,15
7/13/2020,5/16/2020,"Health Region","Northwest Region","Emergency Department",6984,0,605,9,166,27
7/13/2020,4/4/2020,"Health Region","Southwest Region","Urgent Care",0,949,77,8,0,0
7/13/2020,3/14/2020,"Health Region","Central Region","Urgent Care",0,7210,417,6,0,0
7/13/2020,4/4/2020,"Health Region","Northern Region","Emergency Department",6818,0,1004,15,95,9
7/13/2020,6/20/2020,"Health Region","Northern Region","Urgent Care",0,6193,2203,36,0,0
7/13/2020,3/14/2020,"Health Region","Central Region","Emergency Department",15865,0,978,6,192,20
7/13/2020,5/30/2020,"Health Region","Central Region","Urgent Care",0,5755,1838,32,0,0
7/13/2020,3/28/2020,"Health Region","Eastern Region","Urgent Care",0,5652,384,7,0,0
7/13/2020,6/6/2020,"Health Region","Eastern Region","Emergency Department",12699,0,518,4,211,41
7/13/2020,5/23/2020,"Health Region","Eastern Region","Emergency Department",11705,0,597,5,216,36
7/13/2020,5/16/2020,"Health Region","Central Region","Urgent Care",0,4999,1466,29,0,0
7/13/2020,3/7/2020,"Health Region","Northwest Region","Urgent Care",0,3831,262,7,0,0
7/13/2020,5/2/2020,"Health Region","Northwest Region","Emergency Department",6898,0,633,9,137,22
7/13/2020,5/9/2020,"Health Region","Northwest Region","Urgent Care",0,1728,250,14,0,0
7/13/2020,4/18/2020,"Health Region","Southwest Region","Urgent Care",0,811,47,6,0,0
7/13/2020,3/14/2020,"Health Region","Northwest Region","Emergency Department",11146,0,774,7,139,18
7/13/2020,6/27/2020,"Health Region","Northwest Region","Urgent Care",0,2464,349,14,0,0
7/13/2020,5/2/2020,"Health Region","Central Region","Emergency Department",8448,0,647,8,225,35
7/13/2020,4/18/2020,"Health Region","Northern Region","Urgent Care",0,2859,355,12,0,0
7/13/2020,6/6/2020,"Health Region","Southwest Region","Urgent Care",0,1330,30,2,0,0
7/13/2020,5/2/2020,"Health Region","Southwest Region","Urgent Care",0,883,33,4,0,0
7/13/2020,6/20/2020,"Health Region","Southwest Region","Urgent Care",0,1891,35,2,0,0
7/13/2020,5/16/2020,"Health Region","Central Region","Emergency Department",9336,0,698,7,299,43
7/13/2020,7/4/2020,"Health Region","Central Region","Emergency Department",11470,0,692,6,236,34
7/13/2020,5/30/2020,"Health Region","Eastern Region","Urgent Care",0,7116,1249,18,0,0
7/13/2020,4/18/2020,"Health Region","Northwest Region","Emergency Department",6171,0,599,10,155,26
7/13/2020,7/4/2020,"Health Region","Northwest Region","Emergency Department",8336,0,415,5,140,34
7/13/2020,7/11/2020,"Health Region","Northwest Region","Urgent Care",0,2936,427,15,0,0
7/13/2020,5/16/2020,"Health Region","Eastern Region","Urgent Care",0,6213,894,14,0,0
7/13/2020,5/2/2020,"Health Region","Northern Region","Urgent Care",0,3560,828,23,0,0
7/13/2020,7/4/2020,"Health Region","Southwest Region","Urgent Care",0,1949,80,4,0,0
7/13/2020,4/4/2020,"Health Region","Eastern Region","Emergency Department",10156,0,1130,11,254,22
7/13/2020,4/25/2020,"Health Region","Northwest Region","Urgent Care",0,1446,105,7,0,0
7/13/2020,3/28/2020,"Health Region","Central Region","Urgent Care",0,3394,154,5,0,0
7/13/2020,3/14/2020,"Health Region","Eastern Region","Urgent Care",0,12420,983,8,0,0
7/13/2020,4/18/2020,"Health Region","Northern Region","Emergency Department",6628,0,1110,17,121,11
7/13/2020,7/4/2020,"Health Region","Northern Region","Urgent Care",0,6924,2269,33,0,0
7/13/2020,6/6/2020,"Health Region","Northern Region","Emergency Department",8269,0,765,9,82,11
7/13/2020,3/14/2020,"Health Region","Southwest Region","Emergency Department",11678,0,722,6,166,23
7/13/2020,5/2/2020,"Health Region","Southwest Region","Emergency Department",7033,0,351,5,147,42
7/13/2020,7/4/2020,"Health Region","Southwest Region","Emergency Department",9315,0,469,5,134,29
7/13/2020,6/20/2020,"Health Region","Northern Region","Emergency Department",8278,0,526,6,67,13
7/13/2020,5/16/2020,"Health Region","Southwest Region","Emergency Department",7466,0,320,4,140,44
7/13/2020,5/23/2020,"Health Region","Northwest Region","Urgent Care",0,2080,374,18,0,0
7/13/2020,6/20/2020,"Health Region","Central Region","Urgent Care",0,6474,1959,30,0,0
7/13/2020,4/18/2020,"Health Region","Eastern Region","Urgent Care",0,4585,138,3,0,0
7/13/2020,7/11/2020,"Health Region","Northern Region","Emergency Department",9136,0,609,7,68,11
7/13/2020,6/27/2020,"Health Region","Eastern Region","Emergency Department",14183,0,609,4,225,37
7/13/2020,4/4/2020,"Health Region","Central Region","Emergency Department",8312,0,848,10,268,32
7/13/2020,7/4/2020,"Health Region","Eastern Region","Urgent Care",0,9062,1967,22,0,0
7/13/2020,4/4/2020,"Health Region","Northwest Region","Emergency Department",6226,0,659,11,161,24
7/13/2020,5/16/2020,"Health Region","Southwest Region","Urgent Care",0,967,44,5,0,0
7/13/2020,6/20/2020,"Health Region","Eastern Region","Urgent Care",0,7538,1248,17,0,0
7/13/2020,3/21/2020,"Health Region","Northwest Region","Emergency Department",8683,0,991,11,162,16
7/13/2020,6/6/2020,"Health Region","Southwest Region","Emergency Department",8476,0,358,4,141,39
7/13/2020,6/6/2020,"Health Region","Central Region","Emergency Department",10395,0,750,7,296,39
7/13/2020,5/9/2020,"Health Region","Northern Region","Urgent Care",0,3995,1102,28,0,0
7/13/2020,4/25/2020,"Health Region","Eastern Region","Emergency Department",10264,0,735,7,240,33
7/13/2020,6/6/2020,"Health Region","Northwest Region","Urgent Care",0,2231,308,14,0,0
7/13/2020,5/9/2020,"Health Region","Northern Region","Emergency Department",8163,0,1562,19,192,12
7/13/2020,6/20/2020,"Health Region","Central Region","Emergency Department",10860,0,661,6,261,39
7/13/2020,4/4/2020,"Health Region","Northern Region","Urgent Care",0,3044,300,10,0,0
7/13/2020,6/20/2020,"Health Region","Northwest Region","Emergency Department",8032,0,360,4,98,27
7/13/2020,3/21/2020,"Health Region","Northwest Region","Urgent Care",0,2509,187,7,0,0
7/13/2020,3/7/2020,"Health Region","Northern Region","Emergency Department",12714,0,690,5,71,10
7/13/2020,5/23/2020,"Health Region","Northern Region","Urgent Care",0,5376,2124,40,0,0
7/13/2020,4/4/2020,"Health Region","Southwest Region","Emergency Department",6178,0,541,9,151,28
7/13/2020,3/21/2020,"Health Region","Northern Region","Emergency Department",10266,0,1412,14,67,5
7/13/2020,3/14/2020,"Health Region","Southwest Region","Urgent Care",0,2342,241,10,0,0
7/13/2020,3/7/2020,"Health Region","Eastern Region","Emergency Department",18688,0,1058,6,233,22
7/13/2020,6/6/2020,"Health Region","Northern Region","Urgent Care",0,5987,2202,37,0,0
7/13/2020,4/4/2020,"Health Region","Northwest Region","Urgent Care",0,1585,133,8,0,0
7/13/2020,6/6/2020,"Health Region","Northwest Region","Emergency Department",7704,0,461,6,142,31
7/13/2020,5/2/2020,"Health Region","Central Region","Urgent Care",0,3981,749,19,0,0
7/13/2020,6/6/2020,"Health Region","Eastern Region","Urgent Care",0,7128,1144,16,0,0
7/13/2020,5/23/2020,"Health Region","Northern Region","Emergency Department",8134,0,1296,16,153,12
7/13/2020,5/9/2020,"Health Region","Eastern Region","Emergency Department",11035,0,606,5,215,35
7/13/2020,5/23/2020,"Health Region","Northwest Region","Emergency Department",7523,0,656,9,162,25
7/13/2020,3/28/2020,"Health Region","Southwest Region","Urgent Care",0,1108,136,12,0,0
7/13/2020,4/18/2020,"Health Region","Southwest Region","Emergency Department",6237,0,392,6,156,40
7/13/2020,7/4/2020,"Health Region","Central Region","Urgent Care",0,6380,1630,26,0,0
7/13/2020,7/11/2020,"Health Region","Eastern Region","Emergency Department",16552,0,1377,8,254,18
7/13/2020,4/18/2020,"Health Region","Central Region","Emergency Department",7859,0,636,8,253,40
7/13/2020,3/21/2020,"Health Region","Northern Region","Urgent Care",0,5199,393,8,0,0
7/13/2020,3/7/2020,"Health Region","Northern Region","Urgent Care",0,9520,656,7,0,0
7/13/2020,5/2/2020,"Health Region","Eastern Region","Urgent Care",0,5347,543,10,0,0
7/13/2020,4/18/2020,"Health Region","Central Region","Urgent Care",0,2984,245,8,0,0
7/13/2020,5/30/2020,"Health Region","Southwest Region","Urgent Care",0,1140,30,3,0,0
7/13/2020,6/20/2020,"Health Region","Southwest Region","Emergency Department",8783,0,382,4,133,35
7/13/2020,4/4/2020,"Health Region","Eastern Region","Urgent Care",0,4825,207,4,0,0
7/13/2020,5/23/2020,State,Virginia,"Urgent Care",0,20616,5418,26,0,0
7/13/2020,6/13/2020,State,Virginia,"Emergency Department",50286,0,2471,5,795,32
7/13/2020,4/11/2020,State,Virginia,"Emergency Department",36310,0,3821,11,954,25
7/13/2020,5/30/2020,State,Virginia,"Emergency Department",47360,0,3209,7,891,28
7/13/2020,3/28/2020,State,Virginia,"Emergency Department",44247,0,4955,11,933,19
7/13/2020,4/4/2020,State,Virginia,"Urgent Care",0,13406,810,6,0,0
7/13/2020,6/6/2020,State,Virginia,"Urgent Care",0,22685,5573,25,0,0
7/13/2020,3/21/2020,State,Virginia,"Urgent Care",0,22239,1769,8,0,0
7/13/2020,7/4/2020,State,Virginia,"Emergency Department",53005,0,3139,6,801,26
7/13/2020,3/7/2020,State,Virginia,"Urgent Care",0,36064,2508,7,0,0
7/13/2020,5/2/2020,State,Virginia,"Emergency Department",40669,0,3815,9,861,23
7/13/2020,5/16/2020,State,Virginia,"Emergency Department",43201,0,3498,8,945,27
7/13/2020,4/25/2020,State,Virginia,"Urgent Care",0,13978,1709,12,0,0
7/13/2020,7/11/2020,State,Virginia,"Urgent Care",0,29732,7426,25,0,0
7/13/2020,3/14/2020,State,Virginia,"Emergency Department",70189,0,4995,7,804,16
7/13/2020,5/9/2020,State,Virginia,"Urgent Care",0,17013,3242,19,0,0
7/13/2020,6/27/2020,State,Virginia,"Urgent Care",0,24840,6013,24,0,0
7/13/2020,6/13/2020,State,Virginia,"Urgent Care",0,24260,5470,23,0,0
7/13/2020,4/18/2020,State,Virginia,"Emergency Department",36383,0,3431,9,907,26
7/13/2020,4/11/2020,State,Virginia,"Urgent Care",0,12870,808,6,0,0
7/13/2020,6/20/2020,State,Virginia,"Emergency Department",49484,0,2454,5,742,30
7/13/2020,3/28/2020,State,Virginia,"Urgent Care",0,15591,1151,7,0,0
7/13/2020,3/14/2020,State,Virginia,"Urgent Care",0,34530,2569,7,0,0
7/13/2020,6/6/2020,State,Virginia,"Emergency Department",47543,0,2852,6,872,31
7/13/2020,5/30/2020,State,Virginia,"Urgent Care",0,22048,5871,27,0,0
7/13/2020,3/21/2020,State,Virginia,"Emergency Department",55490,0,6297,11,875,14
7/13/2020,4/4/2020,State,Virginia,"Emergency Department",37690,0,4182,11,929,22
7/13/2020,4/18/2020,State,Virginia,"Urgent Care",0,12654,890,7,0,0
7/13/2020,3/7/2020,State,Virginia,"Emergency Department",70143,0,3695,5,835,23
7/13/2020,6/20/2020,State,Virginia,"Urgent Care",0,24592,5769,23,0,0
7/13/2020,5/2/2020,State,Virginia,"Urgent Care",0,15407,2364,15,0,0
7/13/2020,5/16/2020,State,Virginia,"Urgent Care",0,18557,4356,23,0,0
7/13/2020,7/4/2020,State,Virginia,"Urgent Care",0,27022,6310,23,0,0
7/13/2020,4/25/2020,State,Virginia,"Emergency Department",38563,0,3626,9,878,24
7/13/2020,5/9/2020,State,Virginia,"Emergency Department",42323,0,3911,9,1099,28
7/13/2020,6/27/2020,State,Virginia,"Emergency Department",52452,0,2686,5,834,31
7/13/2020,5/23/2020,State,Virginia,"Emergency Department",45236,0,3686,8,1012,27
7/13/2020,7/11/2020,State,Virginia,"Emergency Department",56663,0,3730,7,828,22
