"﻿Event Date","Case Status","Number of Cases","Number of Hospitalizations","Number of Deaths","Health Planning Region"
2020-03-05,Confirmed,7,0,0,Eastern
2020-03-04,Confirmed,3,0,0,Central
2020-06-21,Probable,4,0,0,Eastern
2020-05-25,Confirmed,84,5,0,Northwest
2020-06-18,Confirmed,91,8,0,Northwest
2020-03-09,Confirmed,26,1,0,Northern
2020-06-23,Probable,5,0,0,Northwest
2020-05-25,Confirmed,393,32,4,Northern
2020-04-30,Probable,2,0,1,Central
2020-03-02,Confirmed,1,0,0,Southwest
2020-04-27,Confirmed,121,11,3,Northwest
2020-06-18,Probable,3,0,0,Eastern
2020-06-16,Confirmed,55,6,0,Southwest
2020-05-23,Confirmed,23,10,1,Southwest
2020-05-29,Confirmed,353,23,7,Northern
2020-06-09,Probable,1,0,0,Central
2020-06-27,Probable,7,0,0,Northwest
2020-03-30,Confirmed,17,4,0,Southwest
2020-04-25,Probable,15,0,0,Northwest
2020-06-21,Probable,1,0,0,Central
2020-04-25,Confirmed,19,2,1,Southwest
2020-03-24,Confirmed,109,26,2,Northern
2020-03-21,Confirmed,19,3,0,Central
2020-05-05,Probable,21,0,0,Northern
2020-03-20,Confirmed,38,7,1,Eastern
2020-04-04,Confirmed,40,9,0,Northwest
2020-06-15,Probable,3,0,0,Central
2020-05-27,Probable,7,0,0,Northwest
2020-06-29,Confirmed,51,1,0,Northern
2020-04-06,Probable,5,0,0,Central
2020-06-10,Confirmed,48,2,1,Southwest
2020-06-02,Confirmed,36,1,2,Southwest
2020-03-27,Confirmed,121,20,3,Northern
2020-03-09,Confirmed,3,0,0,Northwest
2020-04-12,Probable,22,0,1,Northern
2020-05-17,Confirmed,103,11,2,Northwest
2020-05-23,Confirmed,108,10,4,Central
2020-06-26,Confirmed,56,4,1,Northwest
2020-05-24,Confirmed,35,4,1,Eastern
2020-06-07,Probable,4,1,0,Northern
2020-04-22,Probable,12,0,0,Northwest
2020-03-05,Probable,1,0,0,Central
2020-04-11,Probable,4,0,0,Eastern
2020-05-10,Probable,1,0,0,Southwest
2020-05-31,Confirmed,53,11,3,Northwest
2020-06-08,Confirmed,95,4,2,Northwest
2020-05-16,Probable,1,0,0,Central
2020-07-01,Probable,2,0,0,Northwest
2020-06-02,Confirmed,236,19,9,Northern
2020-04-12,Probable,0,0,1,Central
2020-05-23,Confirmed,336,35,12,Northern
2020-03-16,Probable,4,0,0,Eastern
2020-06-25,Probable,3,0,0,Northwest
2020-04-29,Probable,12,0,0,Northwest
2020-05-21,Probable,1,0,0,Southwest
2020-03-13,Confirmed,30,2,0,Eastern
2020-04-03,Confirmed,44,7,1,Northwest
2020-03-12,Confirmed,9,0,0,Central
2020-05-21,Probable,3,0,0,Eastern
2020-06-09,Confirmed,172,9,1,Central
2020-06-08,Confirmed,67,4,1,Eastern
2020-06-02,Confirmed,206,10,1,Central
2020-04-21,Confirmed,75,24,3,Northwest
2020-05-30,Confirmed,61,6,1,Eastern
2020-03-27,Probable,2,0,0,Northern
2020-05-04,Confirmed,114,14,6,Northwest
2020-05-17,Probable,1,0,0,Southwest
2020-05-03,Probable,8,0,0,Northwest
2020-04-05,Confirmed,16,7,3,Eastern
2020-04-06,Confirmed,89,18,7,Central
2020-06-21,Confirmed,62,2,1,Southwest
2020-05-06,Probable,1,0,0,Central
2020-05-28,Confirmed,53,2,2,Southwest
2020-05-14,Confirmed,74,5,3,Eastern
2020-04-01,Confirmed,16,4,0,Southwest
2020-05-17,Confirmed,118,9,2,Central
2020-03-15,Probable,8,0,0,Northern
2020-06-09,Confirmed,66,7,2,Northwest
2020-06-01,Confirmed,108,6,1,Northwest
2020-04-01,Probable,12,0,2,Northern
2020-04-12,Confirmed,231,43,11,Northern
2020-04-21,Probable,22,0,0,Northern
2020-05-18,Confirmed,104,7,2,Eastern
2020-05-21,Confirmed,410,6,1,Central
2020-03-12,Probable,3,0,0,Northern
2020-04-16,Probable,14,0,0,Northern
2020-03-30,Probable,11,0,0,Northern
2020-06-30,Confirmed,6,2,0,Southwest
2020-05-21,Confirmed,25,2,0,Southwest
2020-05-21,Confirmed,472,37,14,Northern
2020-03-23,Probable,1,0,0,Eastern
2020-06-19,Probable,8,0,0,Northwest
2020-06-04,Confirmed,29,4,1,Southwest
2020-04-21,Probable,1,0,0,Central
2020-06-12,Confirmed,37,0,1,Southwest
2020-04-13,Probable,32,1,3,Northern
2020-06-04,Probable,12,0,1,Northwest
2020-04-15,Probable,1,0,0,Southwest
2020-05-19,Confirmed,114,16,1,Northwest
2020-06-28,Confirmed,14,4,0,Northwest
2020-05-01,Probable,37,0,0,Northern
2020-05-22,Probable,2,0,0,Eastern
2020-05-13,Confirmed,27,2,0,Southwest
2020-04-26,Confirmed,58,3,0,Southwest
2020-06-24,Probable,8,0,0,Northern
2020-05-02,Confirmed,94,7,7,Central
2020-05-05,Confirmed,151,8,8,Eastern
2020-05-07,Probable,17,1,1,Northern
2020-04-03,Probable,3,0,0,Northwest
2020-03-14,Confirmed,12,0,0,Central
2020-03-11,Confirmed,19,2,0,Eastern
2020-04-23,Probable,1,0,0,Central
2020-03-25,Probable,1,0,0,Eastern
2020-03-01,Confirmed,5,0,0,Eastern
2020-02-29,Confirmed,1,0,0,Central
2020-02-25,Probable,1,0,0,Eastern
2020-03-30,Probable,5,0,0,Northwest
2020-03-04,Confirmed,8,0,0,Northern
2020-06-05,Confirmed,49,2,1,Southwest
2020-04-18,Probable,15,1,0,Northern
2020-06-13,Confirmed,39,1,0,Southwest
2020-05-16,Confirmed,66,3,4,Eastern
2020-05-15,Confirmed,178,7,5,Central
2020-02-24,Confirmed,4,0,0,Northern
2020-04-29,Confirmed,93,5,3,Northwest
2020-03-20,Confirmed,95,5,0,Northern
2020-02-18,Confirmed,1,0,0,Northwest
2020-05-05,Probable,5,0,1,Eastern
2020-04-15,Confirmed,81,7,0,Northwest
2020-06-03,Confirmed,67,6,2,Northwest
2020-03-17,Probable,9,0,0,Northern
2020-05-09,Confirmed,357,49,14,Northern
2020-06-07,Probable,10,0,0,Northwest
2020-06-11,Confirmed,57,5,1,Northwest
2020-05-12,Probable,16,1,0,Northern
2020-02-18,Confirmed,1,1,0,Central
2020-05-01,Confirmed,36,2,3,Southwest
2020-06-22,Probable,2,0,0,Southwest
2020-04-30,Confirmed,537,59,22,Northern
2020-03-21,Confirmed,39,7,4,Eastern
2020-03-29,Probable,4,0,0,Northern
2020-03-20,Confirmed,48,5,0,Central
2020-07-01,Confirmed,29,2,0,Eastern
2020-04-23,Confirmed,114,13,2,Eastern
2020-04-20,Confirmed,84,14,2,Central
2020-03-24,Confirmed,50,8,2,Central
2020-03-25,Confirmed,48,17,1,Eastern
2020-04-22,Confirmed,179,6,2,Northwest
2020-04-26,Probable,16,0,0,Northwest
2020-05-08,Probable,1,0,0,Southwest
2020-04-06,Confirmed,23,9,2,Southwest
2020-06-20,Probable,3,0,0,Eastern
2020-04-24,Probable,19,0,0,Northwest
2020-06-29,Confirmed,42,1,1,Central
2020-04-12,Confirmed,84,7,0,Northwest
2020-06-28,Confirmed,70,7,2,Eastern
2020-06-09,Probable,5,1,0,Northern
2020-04-20,Confirmed,31,1,0,Southwest
2020-05-26,Confirmed,88,2,2,Eastern
2020-05-29,Confirmed,139,18,5,Central
2020-06-12,Confirmed,62,8,0,Eastern
2020-03-07,Confirmed,1,0,0,Southwest
2020-06-13,Confirmed,81,5,1,Central
2020-04-14,Confirmed,19,3,0,Southwest
2020-06-25,Probable,1,0,0,Southwest
2020-04-11,Confirmed,215,32,3,Northern
2020-04-08,Confirmed,223,28,8,Northern
2020-06-24,Probable,1,0,0,Southwest
2020-05-11,Probable,8,0,0,Northwest
2020-06-13,Confirmed,90,9,3,Northern
2020-03-22,Confirmed,104,8,0,Northern
2020-04-17,Probable,7,0,0,Eastern
2020-04-21,Probable,1,0,0,Southwest
2020-06-11,Confirmed,146,8,4,Northern
2020-05-13,Probable,6,0,0,Northwest
2020-05-05,Confirmed,105,10,5,Northwest
2020-06-09,Confirmed,194,8,5,Northern
2020-05-07,Probable,5,0,0,Northwest
2020-04-27,Probable,1,0,0,Southwest
2020-05-10,Confirmed,17,4,0,Southwest
2020-03-28,Confirmed,44,10,1,Central
2020-03-29,Confirmed,27,19,1,Eastern
2020-04-23,Confirmed,37,1,1,Southwest
2020-06-02,Confirmed,94,6,1,Northwest
2020-03-09,Probable,2,0,0,Northwest
2020-06-10,Confirmed,62,11,3,Northwest
2020-05-11,Probable,2,0,0,Eastern
2020-05-26,Confirmed,133,8,3,Northwest
2020-06-19,Confirmed,73,7,1,Northwest
2020-05-17,Confirmed,378,45,17,Northern
2020-06-15,Probable,10,0,0,Northwest
2020-05-12,Confirmed,120,8,1,Northwest
2020-05-16,Probable,14,0,0,Northern
2020-02-29,Probable,2,0,0,Northern
2020-06-19,Probable,1,0,0,Eastern
2020-03-12,Confirmed,48,2,0,Northern
2020-03-03,Confirmed,2,0,0,Northwest
2020-05-01,Confirmed,110,14,4,Eastern
2020-04-28,Confirmed,122,8,2,Central
2020-05-06,Probable,11,0,0,Northwest
2020-06-04,Probable,3,0,0,Northern
2020-06-10,Confirmed,189,11,2,Northern
2020-04-18,Confirmed,56,12,5,Northwest
2020-04-24,Probable,5,0,0,Eastern
2020-03-16,Confirmed,110,7,0,Northern
2020-06-06,Confirmed,67,6,1,Northwest
2020-06-14,Confirmed,49,6,2,Northwest
2020-03-20,Probable,1,0,0,Central
2020-05-15,Probable,17,0,0,Northern
2020-04-27,Confirmed,18,3,1,Southwest
2020-02-26,Confirmed,2,0,0,Central
2020-04-02,Probable,3,0,1,Eastern
2020-05-01,Probable,1,0,0,Southwest
2020-05-11,Confirmed,117,12,5,Northwest
2020-05-27,Probable,10,0,0,Central
2020-06-21,Confirmed,122,3,3,Northern
2020-05-19,Probable,12,0,0,Northwest
2020-03-27,Probable,1,0,0,Northwest
2020-02-29,Confirmed,1,0,0,Eastern
2020-06-03,Probable,2,0,0,Eastern
2020-03-01,Confirmed,2,0,0,Central
2020-05-07,Probable,4,0,0,Central
2020-04-16,Probable,7,0,0,Northwest
2020-06-01,Probable,1,0,0,Southwest
2020-03-30,Probable,1,0,0,Central
2020-05-04,Probable,2,0,0,Eastern
2020-06-15,Confirmed,45,1,0,Southwest
2020-05-22,Confirmed,40,6,2,Southwest
2020-05-25,Probable,6,0,0,Central
2020-05-31,Probable,2,0,0,Eastern
2020-05-05,Confirmed,101,11,6,Central
2020-05-02,Confirmed,75,7,6,Eastern
2020-02-25,Probable,3,0,0,Northern
2020-05-08,Confirmed,25,1,1,Southwest
2020-03-01,Confirmed,5,0,0,Northern
2020-05-10,Probable,1,0,0,Eastern
2020-04-24,Confirmed,26,1,3,Southwest
2020-05-28,Probable,4,0,0,Eastern
2020-06-17,Confirmed,61,4,1,Northwest
2020-05-24,Confirmed,92,11,1,Northwest
2020-06-17,Probable,3,0,0,Southwest
2020-05-05,Confirmed,537,57,26,Northern
2020-04-10,Confirmed,11,1,2,Southwest
2020-07-02,Confirmed,1,0,0,Eastern
2020-04-13,Confirmed,9,1,0,Southwest
2020-06-15,Probable,1,0,0,Southwest
2020-05-03,Confirmed,356,63,15,Northern
2020-04-26,Confirmed,80,5,0,Northwest
2020-05-25,Probable,4,1,0,Eastern
2020-04-29,Confirmed,70,14,6,Eastern
2020-04-30,Confirmed,105,5,6,Central
2020-05-22,Confirmed,62,7,3,Eastern
2020-04-30,Probable,34,0,2,Northern
2020-05-25,Confirmed,104,16,2,Central
2020-03-23,Probable,10,0,0,Northern
2020-05-21,Confirmed,58,8,0,Eastern
2020-05-18,Confirmed,249,8,3,Central
2020-05-09,Probable,1,0,0,Eastern
2020-05-07,Confirmed,32,0,0,Southwest
2020-07-02,Confirmed,4,0,0,Southwest
2020-04-20,Confirmed,479,64,17,Northern
2020-06-12,Probable,1,0,0,Southwest
2020-05-14,Probable,3,0,0,Northwest
2020-05-04,Probable,0,1,0,Southwest
2020-06-18,Confirmed,125,7,2,Northern
2020-05-30,Confirmed,78,6,1,Northwest
2020-06-07,Confirmed,54,3,3,Northwest
2020-04-04,Confirmed,181,33,1,Northern
2020-05-24,Probable,6,0,2,Northern
2020-03-29,Probable,1,0,0,Northwest
2020-05-09,Confirmed,105,14,2,Northwest
2020-05-12,Probable,2,0,0,Central
2020-02-18,Confirmed,1,0,0,Northern
2020-06-08,Confirmed,131,5,3,Central
2020-06-09,Confirmed,75,7,2,Eastern
2020-05-21,Probable,1,0,0,Central
2020-06-01,Confirmed,49,2,0,Southwest
2020-03-13,Probable,2,0,0,Northwest
2020-06-09,Confirmed,41,4,1,Southwest
2020-04-07,Confirmed,36,9,1,Eastern
2020-05-24,Probable,4,0,0,Central
2020-04-04,Confirmed,55,9,5,Central
2020-06-15,Probable,4,0,0,Northern
2020-05-16,Probable,2,0,0,Eastern
2020-04-08,Confirmed,117,16,2,Central
2020-04-11,Confirmed,30,8,1,Eastern
2020-04-17,Confirmed,86,5,3,Northwest
2020-03-10,Probable,1,0,0,Northwest
2020-04-22,Confirmed,20,0,1,Southwest
2020-05-03,Confirmed,16,1,2,Southwest
2020-05-15,Confirmed,165,9,3,Northwest
2020-06-24,Confirmed,53,3,1,Northwest
2020-04-19,Confirmed,15,2,1,Southwest
2020-05-10,Probable,10,0,0,Northwest
2020-06-08,Confirmed,38,4,2,Southwest
2020-05-31,Confirmed,34,2,2,Southwest
2020-06-14,Confirmed,101,12,1,Northern
2020-06-26,Confirmed,60,0,0,Southwest
2020-05-17,Confirmed,24,3,0,Southwest
2020-04-08,Confirmed,38,6,4,Eastern
2020-04-11,Confirmed,54,14,6,Central
2020-03-25,Confirmed,113,19,1,Northern
2020-04-10,Confirmed,72,9,2,Eastern
2020-04-09,Confirmed,83,15,9,Central
2020-06-14,Confirmed,54,6,3,Central
2020-06-11,Confirmed,53,5,1,Eastern
2020-06-30,Probable,1,0,0,Southwest
2020-04-06,Confirmed,275,40,5,Northern
2020-05-06,Probable,20,0,2,Northern
2020-02-23,Confirmed,2,0,0,Northern
2020-06-05,Confirmed,85,4,1,Northwest
2020-06-13,Confirmed,46,6,3,Northwest
2020-05-26,Confirmed,382,33,18,Northern
2020-06-30,Probable,7,0,0,Northwest
2020-03-28,Confirmed,12,2,2,Southwest
2020-06-10,Confirmed,183,7,2,Central
2020-06-07,Confirmed,40,3,2,Eastern
2020-04-12,Confirmed,61,17,9,Central
2020-04-16,Confirmed,15,2,1,Southwest
2020-04-15,Confirmed,44,9,3,Eastern
2020-05-10,Confirmed,108,9,3,Northwest
2020-04-27,Probable,10,0,0,Northwest
2020-04-25,Confirmed,69,2,3,Northwest
2020-06-26,Confirmed,45,5,0,Central
2020-06-23,Confirmed,115,6,1,Eastern
2020-03-30,Confirmed,36,7,0,Northwest
2020-04-25,Probable,2,0,0,Central
2020-04-23,Probable,8,0,0,Northwest
2020-05-11,Probable,1,0,0,Southwest
2020-03-19,Probable,1,0,0,Eastern
2020-07-02,Confirmed,2,0,0,Northern
2020-06-01,Probable,8,0,0,Northwest
2020-05-22,Probable,12,0,0,Northwest
2020-06-26,Confirmed,59,4,1,Northern
2020-05-18,Probable,6,0,1,Eastern
2020-04-10,Probable,1,0,0,Southwest
2020-04-28,Confirmed,486,52,17,Northern
2020-06-20,Probable,2,0,0,Southwest
2020-06-04,Confirmed,94,4,0,Northwest
2020-06-19,Probable,2,0,0,Southwest
2020-06-12,Confirmed,71,4,1,Northwest
2020-04-29,Confirmed,476,58,15,Northern
2020-03-24,Probable,5,0,0,Central
2020-04-20,Probable,2,0,0,Eastern
2020-07-02,Confirmed,9,1,0,Central
2020-05-21,Confirmed,96,6,2,Northwest
2020-06-30,Confirmed,24,2,1,Northwest
2020-07-01,Confirmed,6,5,0,Northwest
2020-05-06,Confirmed,67,10,4,Northwest
2020-05-02,Confirmed,398,55,26,Northern
2020-05-31,Probable,6,1,0,Northern
2020-04-08,Probable,6,0,0,Eastern
2020-04-12,Confirmed,13,1,1,Southwest
2020-06-14,Confirmed,31,1,0,Southwest
2020-02-27,Confirmed,1,0,0,Northern
2020-06-06,Confirmed,35,4,0,Southwest
2020-06-06,Probable,12,0,0,Northwest
2020-02-19,Probable,1,0,0,Northern
2020-02-29,Confirmed,1,0,0,Northern
2020-04-08,Confirmed,61,10,0,Northwest
2020-06-03,Probable,5,0,0,Northern
2020-04-13,Probable,13,0,0,Northwest
