"Event Date","Health Planning Region","Case Status","Number of Cases","Number of Hospitalizations","Number of Deaths"
03/28/2020,Eastern,Confirmed,35,22,1
03/28/2020,Northern,Confirmed,111,21,1
03/28/2020,Northwest,Confirmed,29,10,1
03/28/2020,Southwest,Confirmed,11,4,2
03/29/2020,Central,Confirmed,45,14,2
03/29/2020,Eastern,Confirmed,27,19,1
03/29/2020,Northern,Confirmed,93,27,4
03/29/2020,Northwest,Confirmed,22,6,1
03/29/2020,Southwest,Confirmed,15,6,0
03/30/2020,Central,Confirmed,137,10,3
03/30/2020,Eastern,Confirmed,46,16,2
03/30/2020,Eastern,Probable,0,0,1
03/30/2020,Northern,Confirmed,175,35,2
03/30/2020,Northern,Probable,0,0,1
03/30/2020,Northwest,Confirmed,37,7,0
03/30/2020,Southwest,Confirmed,18,5,0
03/31/2020,Central,Confirmed,90,12,5
03/31/2020,Eastern,Confirmed,48,11,1
03/31/2020,Northern,Confirmed,126,29,3
03/31/2020,Northwest,Confirmed,37,5,1
03/31/2020,Southwest,Confirmed,12,4,0
04/01/2020,Central,Confirmed,82,15,8
04/01/2020,Eastern,Confirmed,35,17,1
04/01/2020,Northern,Confirmed,169,27,0
04/01/2020,Northwest,Confirmed,46,8,1
04/01/2020,Southwest,Confirmed,15,5,0
04/02/2020,Central,Confirmed,48,12,7
04/02/2020,Eastern,Confirmed,35,11,1
04/02/2020,Eastern,Probable,0,0,1
04/02/2020,Northern,Confirmed,191,30,3
04/02/2020,Northwest,Confirmed,51,5,0
04/02/2020,Southwest,Confirmed,12,2,0
04/03/2020,Central,Confirmed,60,11,4
04/03/2020,Eastern,Confirmed,42,16,0
04/03/2020,Northern,Confirmed,189,32,5
04/03/2020,Northwest,Confirmed,43,8,1
04/03/2020,Southwest,Confirmed,17,5,0
04/04/2020,Central,Confirmed,55,11,8
04/04/2020,Eastern,Confirmed,30,8,0
04/04/2020,Northern,Confirmed,181,33,1
04/04/2020,Northwest,Confirmed,40,9,0
04/04/2020,Southwest,Confirmed,17,3,1
04/05/2020,Central,Confirmed,75,10,7
04/05/2020,Central,Probable,1,0,0
04/05/2020,Eastern,Confirmed,17,8,3
04/05/2020,Eastern,Probable,3,0,0
04/05/2020,Northern,Confirmed,165,39,3
04/05/2020,Northern,Probable,17,0,0
04/05/2020,Northwest,Confirmed,49,5,0
04/05/2020,Northwest,Probable,7,0,0
04/05/2020,Southwest,Confirmed,13,3,0
04/06/2020,Central,Confirmed,95,18,8
04/06/2020,Central,Probable,5,0,0
04/06/2020,Eastern,Confirmed,40,10,2
04/06/2020,Eastern,Probable,9,0,0
04/06/2020,Northern,Confirmed,274,51,5
04/06/2020,Northern,Probable,24,0,2
04/06/2020,Northwest,Confirmed,66,10,0
04/06/2020,Northwest,Probable,9,0,0
04/06/2020,Southwest,Confirmed,25,9,2
04/06/2020,Southwest,Probable,1,0,0
04/07/2020,Central,Confirmed,92,23,8
04/07/2020,Central,Probable,2,0,1
04/07/2020,Eastern,Confirmed,40,9,1
04/07/2020,Northern,Confirmed,235,30,6
04/07/2020,Northern,Probable,11,0,0
04/07/2020,Northwest,Confirmed,52,9,2
04/07/2020,Northwest,Probable,10,1,0
04/07/2020,Southwest,Confirmed,13,3,0
04/08/2020,Central,Confirmed,120,17,2
04/08/2020,Central,Probable,2,0,1
04/08/2020,Eastern,Confirmed,37,6,4
04/08/2020,Eastern,Probable,7,0,0
04/08/2020,Northern,Confirmed,225,35,8
04/08/2020,Northern,Probable,20,1,2
04/08/2020,Northwest,Confirmed,63,10,0
04/08/2020,Northwest,Probable,12,0,0
04/08/2020,Southwest,Confirmed,8,3,1
04/08/2020,Southwest,Probable,1,0,0
04/09/2020,Central,Confirmed,82,15,10
04/09/2020,Central,Probable,1,0,0
04/09/2020,Eastern,Confirmed,41,18,2
04/09/2020,Eastern,Probable,7,0,0
04/09/2020,Northern,Confirmed,234,45,4
04/09/2020,Northern,Probable,14,1,2
04/09/2020,Northwest,Confirmed,63,9,0
04/09/2020,Northwest,Probable,4,0,0
04/09/2020,Southwest,Confirmed,18,4,0
04/10/2020,Central,Confirmed,101,13,7
04/10/2020,Central,Probable,2,0,1
04/10/2020,Eastern,Confirmed,73,9,2
04/10/2020,Eastern,Probable,6,0,0
04/10/2020,Northern,Confirmed,270,40,8
04/10/2020,Northern,Probable,26,0,0
04/10/2020,Northwest,Confirmed,95,8,2
04/10/2020,Northwest,Probable,12,0,0
04/10/2020,Southwest,Confirmed,11,1,2
04/10/2020,Southwest,Probable,1,0,0
04/11/2020,Central,Confirmed,55,17,7
04/11/2020,Central,Probable,2,0,0
04/11/2020,Eastern,Confirmed,31,8,1
04/11/2020,Eastern,Probable,4,0,0
04/11/2020,Northern,Confirmed,215,34,4
04/11/2020,Northern,Probable,16,0,1
04/11/2020,Northwest,Confirmed,68,3,2
04/11/2020,Northwest,Probable,8,0,0
04/11/2020,Southwest,Confirmed,16,3,1
04/11/2020,Southwest,Probable,2,0,0
04/12/2020,Central,Confirmed,65,18,9
04/12/2020,Central,Probable,0,0,1
04/12/2020,Eastern,Confirmed,32,7,4
04/12/2020,Eastern,Probable,5,0,0
04/12/2020,Northern,Confirmed,233,46,11
04/12/2020,Northern,Probable,21,0,1
04/12/2020,Northwest,Confirmed,85,7,1
04/12/2020,Northwest,Probable,9,0,0
04/12/2020,Southwest,Confirmed,12,1,1
04/12/2020,Southwest,Probable,1,0,0
04/13/2020,Central,Confirmed,91,13,9
04/13/2020,Central,Probable,4,0,0
04/13/2020,Eastern,Confirmed,90,12,3
04/13/2020,Eastern,Probable,4,0,0
04/13/2020,Northern,Confirmed,379,62,11
04/13/2020,Northern,Probable,33,1,4
04/13/2020,Northwest,Confirmed,96,16,3
04/13/2020,Northwest,Probable,13,0,0
04/13/2020,Southwest,Confirmed,16,2,1
04/14/2020,Central,Confirmed,83,8,10
04/14/2020,Central,Probable,3,0,0
04/14/2020,Eastern,Confirmed,48,4,2
04/14/2020,Eastern,Probable,1,0,0
04/14/2020,Northern,Confirmed,294,46,13
04/14/2020,Northern,Probable,27,0,1
04/14/2020,Northwest,Confirmed,95,11,3
04/14/2020,Northwest,Probable,6,0,0
04/14/2020,Southwest,Confirmed,16,3,0
04/14/2020,Southwest,Probable,1,0,0
04/15/2020,Central,Confirmed,75,18,11
04/15/2020,Central,Probable,2,0,0
04/15/2020,Eastern,Confirmed,47,10,3
04/15/2020,Eastern,Probable,3,0,0
04/15/2020,Northern,Confirmed,335,54,14
04/15/2020,Northern,Probable,14,0,0
04/15/2020,Northwest,Confirmed,81,7,0
04/15/2020,Northwest,Probable,10,0,0
04/15/2020,Southwest,Confirmed,17,3,1
04/15/2020,Southwest,Probable,1,0,1
04/16/2020,Central,Confirmed,116,15,13
04/16/2020,Eastern,Confirmed,74,7,4
04/16/2020,Eastern,Probable,2,0,0
04/16/2020,Northern,Confirmed,367,45,14
04/16/2020,Northern,Probable,14,1,0
04/16/2020,Northwest,Confirmed,62,8,0
04/16/2020,Northwest,Probable,8,0,0
04/16/2020,Southwest,Confirmed,17,2,1
04/17/2020,Central,Confirmed,87,7,12
04/17/2020,Central,Probable,1,0,0
04/17/2020,Eastern,Confirmed,160,8,4
04/17/2020,Eastern,Probable,7,0,0
04/17/2020,Northern,Confirmed,353,47,13
04/17/2020,Northern,Probable,28,2,2
04/17/2020,Northwest,Confirmed,85,5,3
04/17/2020,Northwest,Probable,5,0,0
04/17/2020,Southwest,Confirmed,13,3,1
04/18/2020,Central,Confirmed,48,7,5
04/18/2020,Eastern,Confirmed,61,7,4
04/18/2020,Eastern,Probable,2,0,0
04/18/2020,Northern,Confirmed,257,46,13
04/18/2020,Northern,Probable,13,1,0
04/18/2020,Northwest,Confirmed,56,12,5
04/18/2020,Northwest,Probable,6,0,0
04/18/2020,Southwest,Confirmed,18,1,0
04/19/2020,Central,Confirmed,41,8,7
04/19/2020,Central,Probable,1,0,1
04/19/2020,Eastern,Confirmed,80,6,2
04/19/2020,Northern,Confirmed,278,53,25
04/19/2020,Northern,Probable,13,0,0
04/19/2020,Northwest,Confirmed,63,5,3
04/19/2020,Northwest,Probable,13,0,0
04/19/2020,Southwest,Confirmed,17,2,1
04/19/2020,Southwest,Probable,1,0,1
04/20/2020,Central,Confirmed,91,17,2
04/20/2020,Central,Probable,0,1,0
04/20/2020,Eastern,Confirmed,174,7,2
04/20/2020,Eastern,Probable,3,0,0
04/20/2020,Northern,Confirmed,494,64,17
04/20/2020,Northern,Probable,38,0,4
04/20/2020,Northwest,Confirmed,97,9,0
04/20/2020,Northwest,Probable,22,0,2
04/20/2020,Southwest,Confirmed,32,1,0
04/20/2020,Southwest,Probable,1,0,0
04/21/2020,Central,Confirmed,71,6,5
04/21/2020,Central,Probable,0,0,1
04/21/2020,Eastern,Confirmed,104,8,1
04/21/2020,Eastern,Probable,2,0,2
04/21/2020,Northern,Confirmed,405,71,22
04/21/2020,Northern,Probable,20,0,0
04/21/2020,Northwest,Confirmed,73,25,3
04/21/2020,Northwest,Probable,12,0,0
04/21/2020,Southwest,Confirmed,22,6,0
04/21/2020,Southwest,Probable,1,0,0
04/22/2020,Central,Confirmed,114,11,5
04/22/2020,Central,Probable,2,0,0
04/22/2020,Eastern,Confirmed,90,10,4
04/22/2020,Eastern,Probable,7,0,0
04/22/2020,Northern,Confirmed,420,56,16
04/22/2020,Northern,Probable,21,0,1
04/22/2020,Northwest,Confirmed,183,7,3
04/22/2020,Northwest,Probable,12,0,0
04/22/2020,Southwest,Confirmed,25,0,1
04/22/2020,Southwest,Probable,1,0,0
04/23/2020,Central,Confirmed,106,8,11
04/23/2020,Central,Probable,1,0,1
04/23/2020,Eastern,Confirmed,113,13,2
04/23/2020,Eastern,Probable,3,0,0
04/23/2020,Northern,Confirmed,427,50,8
04/23/2020,Northern,Probable,29,0,4
04/23/2020,Northwest,Confirmed,89,5,3
04/23/2020,Northwest,Probable,8,0,0
04/23/2020,Southwest,Confirmed,40,1,2
04/24/2020,Central,Confirmed,108,2,5
04/24/2020,Eastern,Confirmed,139,13,4
04/24/2020,Eastern,Probable,4,0,0
04/24/2020,Northern,Confirmed,541,60,19
04/24/2020,Northern,Probable,20,0,2
04/24/2020,Northwest,Confirmed,92,10,5
04/24/2020,Northwest,Probable,19,0,0
04/24/2020,Southwest,Confirmed,27,1,3
04/25/2020,Central,Confirmed,60,7,5
04/25/2020,Central,Probable,2,0,0
04/25/2020,Eastern,Confirmed,109,10,3
04/25/2020,Eastern,Probable,5,0,0
04/25/2020,Northern,Confirmed,362,41,17
04/25/2020,Northern,Probable,19,0,3
04/25/2020,Northwest,Confirmed,70,2,3
04/25/2020,Northwest,Probable,15,0,0
04/25/2020,Southwest,Confirmed,20,2,1
04/26/2020,Central,Confirmed,94,5,8
04/26/2020,Central,Probable,1,0,0
04/26/2020,Eastern,Confirmed,66,7,6
04/26/2020,Eastern,Probable,1,0,0
04/26/2020,Northern,Confirmed,373,68,14
04/26/2020,Northern,Probable,14,0,5
04/26/2020,Northwest,Confirmed,81,6,1
04/26/2020,Northwest,Probable,16,0,0
04/26/2020,Southwest,Confirmed,67,3,0
04/27/2020,Central,Confirmed,111,21,8
04/27/2020,Central,Probable,4,0,2
04/27/2020,Eastern,Confirmed,110,5,6
04/27/2020,Eastern,Probable,1,0,1
04/27/2020,Northern,Confirmed,596,67,12
04/27/2020,Northern,Probable,23,0,1
