"Report Date","Case Status","Number of Cases","Number of Hospitalizations","Number of Deaths"
01/01/2021,Confirmed,297053,17545,4478
01/02/2021,Probable,58792,626,608
01/02/2021,Confirmed,299963,17614,4509
01/03/2021,Probable,59884,630,608
01/03/2021,Confirmed,303881,17680,4516
01/04/2021,Probable,60919,636,610
01/04/2021,Confirmed,306617,17751,4522
01/05/2021,Probable,62254,644,619
01/05/2021,Confirmed,309659,17882,4572
01/06/2021,Probable,63951,653,622
01/06/2021,Confirmed,313349,17983,4604
01/07/2021,Probable,65556,668,629
01/07/2021,Confirmed,317123,18122,4646
01/08/2021,Probable,66745,684,631
01/08/2021,Confirmed,321172,18234,4681
01/09/2021,Probable,68198,698,633
01/09/2021,Confirmed,325517,18327,4748
01/10/2021,Probable,69671,699,634
01/10/2021,Confirmed,329185,18396,4749
01/11/2021,Probable,70656,704,635
01/11/2021,Confirmed,332730,18478,4758
01/12/2021,Probable,71744,721,644
01/12/2021,Confirmed,336203,18605,4833
01/13/2021,Probable,73077,730,660
01/13/2021,Confirmed,339468,18740,4892
01/14/2021,Probable,74535,740,674
01/14/2021,Confirmed,343304,18855,4952
01/15/2021,Probable,75717,757,674
01/15/2021,Confirmed,346917,18984,4982
01/16/2021,Probable,77421,777,690
01/16/2021,Confirmed,351970,19069,5016
01/17/2021,Probable,81960,781,692
01/17/2021,Confirmed,357345,19132,5037
01/18/2021,Probable,83818,791,697
01/18/2021,Confirmed,362732,19191,5042
01/19/2021,Probable,84917,793,714
01/19/2021,Confirmed,366159,19273,5084
01/20/2021,Probable,86535,808,724
01/20/2021,Confirmed,369056,19423,5137
01/21/2021,Probable,87388,818,729
01/21/2021,Confirmed,372216,19587,5211
01/22/2021,Probable,88843,827,733
01/22/2021,Confirmed,374908,19717,5269
01/23/2021,Probable,89966,841,745
01/23/2021,Confirmed,378689,19813,5334
01/24/2021,Probable,91006,841,717
01/24/2021,Confirmed,381441,19871,5361
01/25/2021,Probable,92727,847,718
01/25/2021,Confirmed,385892,19917,5363
01/26/2021,Probable,94067,864,732
01/26/2021,Confirmed,389259,19996,5442
01/27/2021,Probable,95618,884,739
01/27/2021,Confirmed,392935,20102,5489
01/28/2021,Probable,97234,898,742
01/28/2021,Confirmed,396440,20215,5566
01/29/2021,Probable,98335,914,773
01/29/2021,Confirmed,399577,20327,5606
01/30/2021,Probable,99689,930,803
01/30/2021,Confirmed,402532,20447,5646
01/31/2021,Probable,100310,935,807
01/31/2021,Confirmed,404469,20474,5657
02/01/2021,Probable,101049,940,808
02/01/2021,Confirmed,406591,20504,5666
02/02/2021,Probable,101959,945,833
02/02/2021,Confirmed,408421,20571,5684
02/03/2021,Probable,102789,962,863
02/03/2021,Confirmed,410550,20676,5712
02/04/2021,Probable,103850,974,895
02/04/2021,Confirmed,412548,20775,5755
02/05/2021,Probable,105278,988,916
02/05/2021,Confirmed,416189,20905,5816
02/06/2021,Probable,106794,1011,938
02/06/2021,Confirmed,419382,21024,5835
