"﻿Report Date","Health District",Ethnicity,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-22,"Rappahannock Rapidan","Not Hispanic or Latino",176,25,7
2020-05-22,Alexandria,"Not Reported",341,4,3
2020-05-22,Rappahannock,"Not Hispanic or Latino",368,66,12
2020-05-22,"Western Tidewater","Not Reported",243,3,1
2020-05-22,"Cumberland Plateau","Not Reported",14,0,0
2020-05-22,Alexandria,"Hispanic or Latino",783,75,6
2020-05-22,"Virginia Beach","Not Hispanic or Latino",433,78,17
2020-05-22,"Prince William","Hispanic or Latino",1993,298,21
2020-05-22,"Virginia Beach","Not Reported",111,6,1
2020-05-22,"Central Shenandoah","Hispanic or Latino",603,36,2
2020-05-22,Pittsylvania-Danville,"Hispanic or Latino",5,1,0
2020-05-22,"Mount Rogers","Not Hispanic or Latino",137,18,6
2020-05-22,Piedmont,"Not Reported",315,12,2
2020-05-22,Southside,"Not Hispanic or Latino",86,10,7
2020-05-22,"Thomas Jefferson","Hispanic or Latino",37,1,0
2020-05-22,Pittsylvania-Danville,"Not Reported",16,5,0
2020-05-22,Norfolk,"Hispanic or Latino",56,5,0
2020-05-22,Portsmouth,"Not Hispanic or Latino",109,31,9
2020-05-22,"West Piedmont","Not Reported",30,4,0
2020-05-22,Richmond,"Not Hispanic or Latino",323,76,18
2020-05-22,"West Piedmont","Hispanic or Latino",21,0,0
2020-05-22,"Prince William","Not Reported",2442,16,2
2020-05-22,"Rappahannock Rapidan","Not Reported",303,10,1
2020-05-22,Chickahominy,"Hispanic or Latino",20,2,0
2020-05-22,Lenowisco,"Not Reported",19,4,2
2020-05-22,"New River","Hispanic or Latino",4,0,0
2020-05-22,Crater,"Not Reported",209,29,7
2020-05-22,Chickahominy,"Not Reported",181,14,3
2020-05-22,Loudoun,"Hispanic or Latino",487,50,3
2020-05-22,"Rappahannock Rapidan","Hispanic or Latino",455,36,3
2020-05-22,Roanoke,"Not Reported",42,0,1
2020-05-22,Rappahannock,"Hispanic or Latino",371,45,1
2020-05-22,Lenowisco,"Hispanic or Latino",0,0,0
2020-05-22,"Virginia Beach","Hispanic or Latino",47,6,1
2020-05-22,"Prince William","Not Hispanic or Latino",872,182,68
2020-05-22,"Central Virginia","Not Reported",99,3,0
2020-05-22,"Central Shenandoah","Not Hispanic or Latino",530,66,21
2020-05-22,Hampton,"Hispanic or Latino",10,0,0
2020-05-22,Roanoke,"Hispanic or Latino",25,0,0
,Roanoke,"Hispanic or Latino",25,0,0
,,,,,
