Health District,Report Date,Race,Number of Cases,Number of Hospitalizations,Number of Deaths
Arlington,2020-04-23,White,93,22,6
Lord Fairfax,2020-04-23,Not Reported,12,1,0
West Piedmont,2020-04-23,Not Reported,1,0,0
Lord Fairfax,2020-04-23,Black,10,2,0
Chickahominy,2020-04-23,Other,4,1,0
Portsmouth,2020-04-23,Not Reported,14,2,1
Loudoun,2020-04-23,White,241,39,9
West Piedmont,2020-04-23,Black,1,0,0
Virginia Beach,2020-04-23,White,187,34,5
Portsmouth,2020-04-23,Black,55,22,3
Alexandria,2020-04-23,White,174,29,8
Portsmouth,2020-04-23,Other,5,2,0
Henrico,2020-04-23,White,274,38,42
Alleghany,2020-04-23,Other,1,0,0
Central Shenandoah,2020-04-23,Black,29,2,1
Crater,2020-04-23,Other,1,0,0
Peninsula,2020-04-23,White,185,62,16
Crater,2020-04-23,White,25,9,4
Hampton,2020-04-23,Black,62,20,1
Central Virginia,2020-04-23,Not Reported,69,2,0
Central Virginia,2020-04-23,White,24,5,1
Central Shenandoah,2020-04-23,Other,93,4,0
Rappahannock Rapidan,2020-04-23,Not Reported,112,6,0
Rappahannock Rapidan,2020-04-23,Other,8,4,0
Norfolk,2020-04-23,Black,78,17,1
Alleghany,2020-04-23,White,55,12,3
Portsmouth,2020-04-23,White,24,4,0
Eastern Shore,2020-04-23,White,25,4,0
Arlington,2020-04-23,Other,70,36,6
Three Rivers,2020-04-23,Not Reported,40,2,1
Henrico,2020-04-23,Not Reported,111,3,2
Lenowisco,2020-04-23,Other,1,0,0
Roanoke,2020-04-23,Other,1,0,0
Norfolk,2020-04-23,Other,8,2,0
Hampton,2020-04-23,White,20,4,0
Richmond,2020-04-23,Black,156,35,12
Peninsula,2020-04-23,Not Reported,53,3,0
Arlington,2020-04-23,Not Reported,487,48,5
Henrico,2020-04-23,Black,302,56,37
Mount Rogers,2020-04-23,Other,2,1,0
New River,2020-04-23,Black,4,1,0
Virginia Beach,2020-04-23,Other,34,13,2
Hampton,2020-04-23,Not Reported,14,1,0
Virginia Beach,2020-04-23,Not Reported,40,2,0
Prince William,2020-04-23,Not Reported,556,7,0
Alleghany,2020-04-23,Black,4,0,0
Henrico,2020-04-23,Other,31,2,2
Chickahominy,2020-04-23,Black,26,13,4
Cumberland Plateau,2020-04-23,White,10,1,0
Alexandria,2020-04-23,Other,68,9,0
Central Shenandoah,2020-04-23,Not Reported,152,1,1
Mount Rogers,2020-04-23,White,54,13,4
Piedmont,2020-04-23,Not Reported,34,2,0
Rappahannock,2020-04-23,White,97,29,4
Richmond,2020-04-23,Not Reported,31,2,0
Southside,2020-04-23,Other,11,0,0
Lenowisco,2020-04-23,Not Reported,9,1,1
Piedmont,2020-04-23,White,22,2,2
Pittsylvania-Danville,2020-04-23,Black,14,4,0
Roanoke,2020-04-23,Not Reported,6,0,0
Chickahominy,2020-04-23,Not Reported,93,6,2
Chesapeake,2020-04-23,Black,59,21,2
Lord Fairfax,2020-04-23,White,191,22,0
Fairfax,2020-04-23,Not Reported,757,55,20
Crater,2020-04-23,Not Reported,64,3,2
Lord Fairfax,2020-04-23,Other,21,3,0
Richmond,2020-04-23,Other,14,3,0
Chesterfield,2020-04-23,Other,16,0,0
Piedmont,2020-04-23,Black,46,13,1
Eastern Shore,2020-04-23,Not Reported,1,0,0
Chesapeake,2020-04-23,White,67,16,1
Norfolk,2020-04-23,Not Reported,9,0,0
Alexandria,2020-04-23,Black,84,25,3
Western Tidewater,2020-04-23,Not Reported,64,1,0
Pittsylvania-Danville,2020-04-23,Not Reported,8,2,0
Fairfax,2020-04-23,White,724,150,43
