"﻿Report Date","Health District",Race,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-29,Hampton,"Not Reported",41,0,0
2020-05-29,"Mount Rogers",White,268,20,6
2020-05-29,Alexandria,"Not Reported",620,15,5
2020-05-29,Chickahominy,"Black or African American",74,25,9
2020-05-29,Chesapeake,"Black or African American",174,43,5
2020-05-29,"Western Tidewater","Not Reported",188,2,1
2020-05-29,"Cumberland Plateau","Not Reported",1,0,0
2020-05-29,"Western Tidewater",Other,29,1,2
2020-05-29,Loudoun,"Black or African American",96,10,2
2020-05-29,"Virginia Beach",White,338,52,17
2020-05-29,Chickahominy,Other,21,6,0
2020-05-29,"New River","Black or African American",5,1,0
2020-05-29,"Virginia Beach","Not Reported",107,3,0
2020-05-29,"Rappahannock Rapidan",Other,68,12,0
2020-05-29,Piedmont,"Not Reported",289,7,2
2020-05-29,Portsmouth,Other,21,2,0
2020-05-29,Pittsylvania-Danville,"Not Reported",14,5,0
2020-05-29,"West Piedmont","Not Reported",32,3,0
2020-05-29,Norfolk,White,124,22,2
2020-05-29,Hampton,White,41,4,0
2020-05-29,"Western Tidewater","Black or African American",245,39,17
2020-05-29,"Prince William","Not Reported",3477,36,3
2020-05-29,Fairfax,White,2828,403,182
2020-05-29,Lenowisco,Other,1,0,0
2020-05-29,"Rappahannock Rapidan","Not Reported",553,20,4
2020-05-29,"Three Rivers","Black or African American",158,11,1
2020-05-29,Henrico,"Black or African American",570,102,56
2020-05-29,Lenowisco,"Not Reported",8,1,1
2020-05-29,Chesapeake,Other,43,5,2
2020-05-29,Crater,"Not Reported",189,3,2
2020-05-29,Chickahominy,"Not Reported",179,3,2
2020-05-29,"Eastern Shore","Black or African American",641,58,17
2020-05-29,Alexandria,Other,393,47,1
2020-05-29,Chesterfield,"Black or African American",246,36,9
2020-05-29,Roanoke,"Not Reported",54,0,0
2020-05-29,Rappahannock,"Black or African American",143,22,3
2020-05-29,"Lord Fairfax",White,854,93,36
2020-05-29,"Three Rivers",White,173,17,4
2020-05-29,"Central Virginia","Not Reported",103,3,0
2020-05-29,"Eastern Shore",Other,33,2,1
2020-05-29,Crater,"Black or African American",351,66,9
2020-05-29,"Mount Rogers","Black or African American",2,0,0
2020-05-29,"Central Shenandoah",White,959,93,26
2020-05-29,Southside,White,66,12,6
2020-05-29,Southside,"Not Reported",121,13,8
2020-05-29,Chesapeake,White,234,35,8
2020-05-29,"New River",Other,5,1,0
2020-05-29,Norfolk,"Black or African American",226,41,4
2020-05-29,"Central Shenandoah",Other,233,15,1
2020-05-29,Southside,Other,35,1,5
2020-05-29,Pittsylvania-Danville,Other,1,0,0
2020-05-29,"Cumberland Plateau",White,20,2,0
2020-05-29,"Rappahannock Rapidan","Black or African American",59,11,2
2020-05-29,Fairfax,"Not Reported",2934,105,102
2020-05-29,Chesapeake,"Not Reported",43,3,0
2020-05-29,"Thomas Jefferson",White,263,28,13
2020-05-29,Richmond,Other,325,43,1
2020-05-29,Peninsula,"Black or African American",143,31,9
2020-05-29,Henrico,Other,234,17,6
2020-05-29,"Cumberland Plateau","Black or African American",12,0,0
2020-05-29,Loudoun,Other,504,55,10
2020-05-29,Crater,Other,25,2,1
2020-05-29,Arlington,"Black or African American",144,51,27
2020-05-29,Alexandria,"Black or African American",264,50,11
2020-05-29,Richmond,"Black or African American",373,82,17
2020-05-29,"Lord Fairfax","Not Reported",202,4,7
2020-05-29,Fairfax,"Black or African American",635,132,26
2020-05-29,"Thomas Jefferson","Black or African American",116,36,4
2020-05-29,"West Piedmont",White,82,6,3
2020-05-29,Rappahannock,"Not Reported",513,27,0
2020-05-29,"Central Shenandoah","Not Reported",227,8,1
2020-05-29,Peninsula,White,283,74,22
2020-05-29,"Rappahannock Rapidan",White,443,34,8
2020-05-29,"Prince William",White,1285,253,80
2020-05-29,"New River","Not Reported",30,0,0
2020-05-29,Chesterfield,"Not Reported",705,3,10
2020-05-29,Alleghany,Other,2,0,0
2020-05-29,Lenowisco,White,33,15,3
2020-05-29,"Western Tidewater",White,164,28,19
