Report Date,Health District,Age Group,Number of Hospitalizations,Number of Deaths,Number of Cases
2020-04-24,Chesapeake,20-29,1,0,10
2020-04-24,Central Shenandoah,80+,5,4,49
2020-04-24,Norfolk,80+,4,2,6
2020-04-24,Rappahannock Rapidan,10-19,0,0,5
2020-04-24,Southside,20-29,2,0,7
2020-04-24,Virginia Beach,40-49,9,0,39
2020-04-24,Central Shenandoah,70-79,7,3,27
2020-04-24,Three Rivers,Missing,3,0,67
2020-04-24,Chesterfield,80+,4,8,35
2020-04-24,Rappahannock,Missing,7,0,116
2020-04-24,Fairfax,80+,37,33,126
2020-04-24,Chesterfield,60-69,9,7,43
2020-04-24,Arlington,30-39,12,0,82
2020-04-24,Southside,70-79,5,3,11
2020-04-24,Lord Fairfax,40-49,1,0,27
2020-04-24,Thomas Jefferson,80+,13,8,23
2020-04-24,Peninsula,0-9,0,0,2
2020-04-24,Mount Rogers,0-9,0,0,1
2020-04-24,Western Tidewater,50-59,3,0,27
2020-04-24,Southside,50-59,2,0,14
2020-04-24,Lenowisco,70-79,2,0,2
2020-04-24,West Piedmont,Missing,2,0,9
2020-04-24,Richmond,30-39,2,0,24
2020-04-24,Richmond,40-49,1,0,29
2020-04-24,Rappahannock,70-79,11,4,18
2020-04-24,Crater,50-59,7,0,30
2020-04-24,Peninsula,10-19,1,0,1
2020-04-24,Arlington,60-69,19,2,82
2020-04-24,Three Rivers,20-29,0,0,7
2020-04-24,Chickahominy,50-59,6,0,33
2020-04-24,Crater,20-29,1,0,12
2020-04-24,Southside,80+,1,4,16
2020-04-24,Prince William,80+,4,1,14
2020-04-24,Piedmont,40-49,0,0,13
2020-04-24,Hampton,70-79,5,0,7
2020-04-24,Hampton,20-29,1,0,14
2020-04-24,Hampton,10-19,0,0,1
2020-04-24,Chesterfield,Missing,2,0,169
2020-04-24,Prince William,70-79,16,5,35
2020-04-24,Loudoun,80+,11,9,31
2020-04-24,Prince William,30-39,15,1,144
2020-04-24,Richmond,60-69,13,3,39
2020-04-24,Central Virginia,50-59,0,0,17
2020-04-24,Henrico,40-49,8,0,67
2020-04-24,Alexandria,80+,5,1,16
2020-04-24,New River,Missing,1,0,20
2020-04-24,Prince William,Missing,11,3,594
2020-04-24,Hampton,Missing,1,0,20
2020-04-24,Prince William,10-19,1,0,15
2020-04-24,Crater,10-19,0,0,1
2020-04-24,Fairfax,10-19,1,0,32
2020-04-24,Thomas Jefferson,60-69,10,1,34
2020-04-24,Richmond,Missing,4,1,74
2020-04-24,Piedmont,50-59,5,0,12
2020-04-24,Cumberland Plateau,60-69,1,0,1
2020-04-24,Arlington,50-59,20,1,101
2020-04-24,Rappahannock Rapidan,40-49,1,0,20
2020-04-24,Alexandria,0-9,0,0,2
2020-04-24,Lord Fairfax,80+,1,0,2
2020-04-24,Mount Rogers,60-69,1,0,7
2020-04-24,Virginia Beach,0-9,0,0,1
2020-04-24,Eastern Shore,Missing,7,2,88
2020-04-24,Chesapeake,10-19,0,0,3
2020-04-24,New River,20-29,0,0,12
2020-04-24,Peninsula,20-29,1,0,23
2020-04-24,Thomas Jefferson,Missing,6,0,46
2020-04-24,Eastern Shore,50-59,1,0,3
2020-04-24,Rappahannock,20-29,5,0,29
2020-04-24,Thomas Jefferson,20-29,0,0,21
2020-04-24,Western Tidewater,40-49,3,0,19
2020-04-24,Arlington,40-49,10,1,61
2020-04-24,Lenowisco,0-9,0,0,2
2020-04-24,Central Shenandoah,40-49,0,0,46
2020-04-24,Loudoun,20-29,1,0,36
2020-04-24,Crater,60-69,8,4,29
2020-04-24,Virginia Beach,80+,11,3,20
2020-04-24,Peninsula,40-49,2,0,32
2020-04-24,Norfolk,Missing,2,0,36
2020-04-24,Loudoun,Missing,12,0,145
2020-04-24,Rappahannock,80+,6,2,9
2020-04-24,Central Shenandoah,30-39,1,0,43
2020-04-24,Rappahannock,40-49,10,0,51
2020-04-24,Southside,30-39,0,0,7
2020-04-24,Virginia Beach,30-39,3,0,40
2020-04-24,Alexandria,60-69,6,0,29
2020-04-24,Piedmont,30-39,0,0,8
2020-04-24,Rappahannock Rapidan,70-79,1,0,4
2020-04-24,Lord Fairfax,60-69,7,0,34
2020-04-24,Central Shenandoah,60-69,8,1,45
2020-04-24,Pittsylvania-Danville,40-49,3,0,5
2020-04-24,Henrico,30-39,2,0,47
2020-04-24,Thomas Jefferson,30-39,2,0,31
2020-04-24,Lenowisco,20-29,0,0,5
2020-04-24,Central Shenandoah,Missing,8,3,275
2020-04-24,Piedmont,70-79,6,2,9
2020-04-24,Crater,Missing,6,1,37
2020-04-24,Portsmouth,60-69,4,2,12
2020-04-24,Eastern Shore,70-79,3,1,3
2020-04-24,Hampton,80+,2,0,3
2020-04-24,Mount Rogers,40-49,0,0,7
2020-04-24,Central Shenandoah,10-19,0,0,7
2020-04-24,Rappahannock Rapidan,60-69,1,0,9
2020-04-24,Western Tidewater,70-79,6,2,21
2020-04-24,Alexandria,20-29,2,1,48
2020-04-24,Chesterfield,10-19,0,0,24
2020-04-24,Henrico,70-79,20,24,92
2020-04-24,Lord Fairfax,10-19,0,0,6
2020-04-24,Chickahominy,30-39,0,0,15
2020-04-24,Virginia Beach,10-19,0,0,4
2020-04-24,Chesterfield,30-39,1,0,43
2020-04-24,Eastern Shore,60-69,3,0,7
2020-04-24,Cumberland Plateau,10-19,0,0,8
2020-04-24,Alexandria,50-59,12,3,42
2020-04-24,Southside,Missing,7,0,26
2020-04-24,Three Rivers,0-9,0,0,1
2020-04-24,Arlington,Missing,13,3,230
2020-04-24,Rappahannock Rapidan,20-29,0,0,14
2020-04-24,West Piedmont,70-79,2,1,4
2020-04-24,Henrico,10-19,0,0,2
2020-04-24,Pittsylvania-Danville,30-39,0,0,4
2020-04-24,Mount Rogers,70-79,5,1,6
2020-04-24,Richmond,20-29,2,0,28
2020-04-24,Central Virginia,30-39,1,0,10
2020-04-24,Norfolk,50-59,5,0,17
2020-04-24,Alleghany,30-39,0,0,3
2020-04-24,Mount Rogers,10-19,0,0,2
2020-04-24,Roanoke,30-39,0,0,2
2020-04-24,Henrico,60-69,11,13,99
2020-04-24,Peninsula,60-69,23,2,74
2020-04-24,Portsmouth,70-79,4,0,6
2020-04-24,Chesterfield,70-79,4,2,25
2020-04-24,Arlington,10-19,1,0,3
2020-04-24,Norfolk,10-19,0,0,2
2020-04-24,Hampton,40-49,2,0,8
2020-04-24,Loudoun,40-49,10,0,86
2020-04-24,Central Virginia,60-69,1,1,16
2020-04-24,Norfolk,70-79,5,0,6
2020-04-24,Alleghany,70-79,2,1,4
2020-04-24,Richmond,10-19,1,0,1
2020-04-24,Chesapeake,Missing,5,1,52
2020-04-24,Norfolk,40-49,3,0,22
2020-04-24,Peninsula,50-59,14,1,51
2020-04-24,Lord Fairfax,50-59,3,0,39
2020-04-24,Pittsylvania-Danville,Missing,1,0,13
2020-04-24,Western Tidewater,60-69,7,2,27
2020-04-24,Three Rivers,30-39,1,0,5
2020-04-24,Three Rivers,80+,1,0,6
2020-04-24,Portsmouth,20-29,2,0,8
2020-04-24,New River,70-79,3,0,5
2020-04-24,Roanoke,70-79,1,0,3
2020-04-24,Lenowisco,40-49,1,0,1
2020-04-24,Portsmouth,80+,2,1,4
2020-04-24,Three Rivers,50-59,0,0,9
2020-04-24,Mount Rogers,Missing,2,0,9
2020-04-24,Rappahannock,0-9,0,0,4
2020-04-24,Loudoun,70-79,7,1,21
2020-04-24,Fairfax,0-9,2,0,9
2020-04-24,Three Rivers,70-79,1,0,4
2020-04-24,Thomas Jefferson,70-79,8,1,28
2020-04-24,West Piedmont,40-49,0,0,4
2020-04-24,Alleghany,80+,2,1,4
2020-04-24,West Piedmont,60-69,1,0,10
2020-04-24,Portsmouth,Missing,6,0,37
2020-04-24,Peninsula,Missing,0,0,23
2020-04-24,Lenowisco,30-39,1,0,2
2020-04-24,Western Tidewater,20-29,0,0,16
2020-04-24,Lenowisco,10-19,0,0,1
2020-04-24,Arlington,70-79,18,6,38
2020-04-24,Rappahannock,30-39,4,0,37
2020-04-24,Central Virginia,40-49,0,0,11
2020-04-24,Chesapeake,60-69,9,2,23
2020-04-24,Central Virginia,80+,1,0,2
2020-04-24,Thomas Jefferson,50-59,7,1,36
2020-04-24,Chesapeake,50-59,9,1,40
2020-04-24,Henrico,Missing,22,6,179
2020-04-24,Rappahannock,10-19,0,0,4
2020-04-24,Richmond,70-79,11,5,23
2020-04-24,Chesapeake,40-49,5,0,25
2020-04-24,Peninsula,30-39,4,0,26
2020-04-24,Three Rivers,40-49,2,1,12
2020-04-24,Prince William,40-49,29,2,161
2020-04-24,Norfolk,60-69,10,1,16
2020-04-24,Pittsylvania-Danville,80+,1,1,2
2020-04-24,Crater,80+,1,0,5
2020-04-24,Roanoke,20-29,0,0,3
2020-04-24,Alexandria,30-39,9,0,73
2020-04-24,Richmond,50-59,10,0,32
2020-04-24,Loudoun,30-39,2,0,47
2020-04-24,Fairfax,20-29,15,0,178
2020-04-24,Roanoke,Missing,1,0,9
2020-04-24,Henrico,0-9,0,0,12
2020-04-24,Lenowisco,Missing,3,1,8
2020-04-24,Alexandria,Missing,29,6,258
2020-04-24,Mount Rogers,80+,3,3,3
2020-04-24,Henrico,50-59,10,2,79
2020-04-24,Chesapeake,0-9,1,0,1
2020-04-24,Thomas Jefferson,10-19,0,0,3
2020-04-24,Chickahominy,80+,12,6,19
2020-04-24,Hampton,50-59,6,0,16
2020-04-24,Piedmont,80+,0,1,2
2020-04-24,Roanoke,80+,1,0,1
2020-04-24,Hampton,60-69,8,1,19
2020-04-24,Crater,70-79,8,4,15
2020-04-24,Fairfax,30-39,25,1,244
2020-04-24,Chickahominy,60-69,8,1,24
2020-04-24,Alleghany,Missing,4,1,27
2020-04-24,Lenowisco,50-59,2,0,9
2020-04-24,Eastern Shore,80+,2,0,2
2020-04-24,Rappahannock Rapidan,80+,6,2,6
2020-04-24,Piedmont,20-29,0,0,13
2020-04-24,Loudoun,0-9,0,0,4
2020-04-24,Pittsylvania-Danville,50-59,3,0,3
2020-04-24,Lord Fairfax,70-79,2,0,8
2020-04-24,Virginia Beach,20-29,0,0,27
2020-04-24,Central Shenandoah,50-59,10,0,71
2020-04-24,Alleghany,20-29,1,0,6
2020-04-24,Prince William,50-59,32,3,145
2020-04-24,Alexandria,70-79,11,4,22
2020-04-24,Chesterfield,50-59,11,1,51
2020-04-24,Thomas Jefferson,0-9,1,0,3
2020-04-24,Eastern Shore,40-49,2,0,7
2020-04-24,Chesapeake,70-79,8,0,15
2020-04-24,Portsmouth,30-39,3,0,9
2020-04-24,Western Tidewater,0-9,0,0,1
2020-04-24,Mount Rogers,50-59,1,0,8
2020-04-24,Thomas Jefferson,40-49,2,0,19
2020-04-24,Portsmouth,50-59,6,1,13
2020-04-24,Hampton,30-39,1,0,11
2020-04-24,Fairfax,70-79,43,8,120
2020-04-24,Prince William,0-9,1,0,13
2020-04-24,Central Shenandoah,0-9,0,0,2
2020-04-24,Western Tidewater,10-19,0,0,1
2020-04-24,New River,60-69,1,0,7
2020-04-24,Central Virginia,20-29,1,0,13
2020-04-24,West Piedmont,80+,0,0,2
2020-04-24,Rappahannock,60-69,18,2,38
2020-04-24,West Piedmont,50-59,0,0,4
2020-04-24,Crater,30-39,0,0,20
