Report Date,ZIP Code,Number of Cases,Total Number of People Tested
5/9/2020,22637,0,5
5/9/2020,22639,0,2
5/9/2020,22640,Suppressed*,4
5/9/2020,22641,0,1
5/9/2020,22642,12,37
5/9/2020,22643,0,5
5/9/2020,22644,26,28
5/9/2020,22645,14,25
5/9/2020,22646,0,3
5/9/2020,22650,Suppressed*,11
5/9/2020,22652,Suppressed*,9
5/9/2020,22654,Suppressed*,7
5/9/2020,22655,36,106
5/9/2020,22656,Suppressed*,33
5/9/2020,22657,24,80
5/9/2020,22660,5,10
5/9/2020,22663,Suppressed*,4
5/9/2020,22664,62,74
5/9/2020,22701,209,567
5/9/2020,22709,0,14
5/9/2020,22712,42,187
5/9/2020,22713,5,15
5/9/2020,22714,Suppressed*,16
5/9/2020,22715,Suppressed*,14
5/9/2020,22716,0,5
5/9/2020,22718,Suppressed*,8
5/9/2020,22719,0,3
5/9/2020,22720,0,6
5/9/2020,22723,0,2
5/9/2020,22724,6,26
5/9/2020,22726,Suppressed*,10
5/9/2020,22727,11,81
5/9/2020,22728,Suppressed*,34
5/9/2020,22729,0,5
5/9/2020,22730,0,1
5/9/2020,22731,0,2
5/9/2020,22732,Suppressed*,5
5/9/2020,22733,6,27
5/9/2020,22734,13,54
5/9/2020,22735,Suppressed*,20
5/9/2020,22736,Suppressed*,7
5/9/2020,22737,Suppressed*,30
5/9/2020,22738,Suppressed*,19
5/9/2020,22740,Suppressed*,22
5/9/2020,22741,0,5
5/9/2020,22742,6,33
5/9/2020,22747,0,9
5/9/2020,22749,0,1
5/9/2020,22801,400,781
5/9/2020,22802,335,735
5/9/2020,22807,Suppressed*,2
5/9/2020,22810,Suppressed*,7
5/9/2020,22811,Suppressed*,9
5/9/2020,22812,12,113
5/9/2020,22815,43,135
5/9/2020,22820,0,1
5/9/2020,22821,13,52
5/9/2020,22824,38,42
5/9/2020,22827,28,170
5/9/2020,22830,13,27
5/9/2020,22831,Suppressed*,7
5/9/2020,22832,Suppressed*,12
5/9/2020,22834,0,12
5/9/2020,22835,76,182
5/9/2020,22840,Suppressed*,54
5/9/2020,22841,7,36
5/9/2020,22842,40,63
5/9/2020,22843,Suppressed*,23
5/9/2020,22844,23,70
5/9/2020,22846,6,37
5/9/2020,22847,0,8
5/9/2020,22849,10,70
5/9/2020,22850,Suppressed*,19
5/9/2020,22851,37,88
5/9/2020,22853,32,91
5/9/2020,22901,80,859
5/9/2020,22902,24,498
5/9/2020,22903,39,613
5/9/2020,22904,0,5
5/9/2020,22911,14,320
5/9/2020,22920,Suppressed*,31
5/9/2020,22922,Suppressed*,34
5/9/2020,22923,5,79
5/9/2020,22931,0,7
5/9/2020,22932,10,137
5/9/2020,22935,Suppressed*,16
5/9/2020,22936,Suppressed*,76
5/9/2020,22937,Suppressed*,31
5/9/2020,22938,Suppressed*,15
5/9/2020,22939,Suppressed*,48
5/9/2020,22940,Suppressed*,18
5/9/2020,22942,5,194
5/9/2020,22943,0,6
5/9/2020,22946,Suppressed*,3
5/9/2020,22947,Suppressed*,76
5/9/2020,22948,0,1
5/9/2020,22949,0,22
5/9/2020,22952,0,23
5/9/2020,22958,Suppressed*,22
5/9/2020,22959,Suppressed*,41
5/9/2020,22960,15,224
5/9/2020,22963,24,308
5/9/2020,22964,0,1
5/9/2020,22967,0,18
5/9/2020,22968,6,158
5/9/2020,22969,Suppressed*,23
5/9/2020,22971,0,35
5/9/2020,22972,Suppressed*,15
5/9/2020,22973,Suppressed*,117
5/9/2020,22974,6,103
5/9/2020,22976,0,7
5/9/2020,22980,29,322
5/9/2020,22989,0,2
5/9/2020,23002,16,207
5/9/2020,23004,9,33
5/9/2020,23005,20,186
5/9/2020,23009,9,86
5/9/2020,23011,Suppressed*,19
5/9/2020,23015,Suppressed*,57
5/9/2020,23021,0,4
5/9/2020,23022,5,26
5/9/2020,23023,Suppressed*,5
5/9/2020,23024,18,107
5/9/2020,23025,0,6
5/9/2020,23027,Suppressed*,23
5/9/2020,23030,14,72
5/9/2020,23032,0,1
5/9/2020,23035,Suppressed*,15
5/9/2020,23038,6,27
5/9/2020,23039,Suppressed*,17
5/9/2020,23040,6,72
5/9/2020,23043,Suppressed*,10
5/9/2020,23045,0,2
5/9/2020,23047,0,16
5/9/2020,23050,Suppressed*,6
5/9/2020,23055,36,54
5/9/2020,23056,0,2
5/9/2020,23059,37,439
5/9/2020,23060,66,542
5/9/2020,23061,16,226
5/9/2020,23062,Suppressed*,42
5/9/2020,23063,53,160
5/9/2020,23064,0,2
5/9/2020,23065,Suppressed*,18
5/9/2020,23066,0,2
5/9/2020,23068,0,4
5/9/2020,23069,Suppressed*,40
5/9/2020,23070,0,5
5/9/2020,23071,Suppressed*,11
5/9/2020,23072,6,147
5/9/2020,23075,102,237
5/9/2020,23076,0,8
5/9/2020,23079,0,1
5/9/2020,23083,Suppressed*,32
5/9/2020,23084,5,52
5/9/2020,23085,Suppressed*,4
5/9/2020,23086,Suppressed*,22
5/9/2020,23089,8,100
5/9/2020,23091,0,8
5/9/2020,23092,0,5
5/9/2020,23093,23,287
5/9/2020,23102,6,27
5/9/2020,23103,13,90
5/9/2020,23106,Suppressed*,12
5/9/2020,23109,Suppressed*,23
5/9/2020,23110,0,14
5/9/2020,23111,56,502
5/9/2020,23112,79,697
5/9/2020,23113,57,454
5/9/2020,23114,30,299
5/9/2020,23115,0,4
5/9/2020,23116,64,516
5/9/2020,23117,6,158
5/9/2020,23119,Suppressed*,0
5/9/2020,23120,20,196
5/9/2020,23123,16,74
5/9/2020,23124,Suppressed*,56
5/9/2020,23126,0,4
5/9/2020,23128,Suppressed*,16
5/9/2020,23129,0,2
5/9/2020,23130,Suppressed*,4
5/9/2020,23138,0,3
5/9/2020,23139,19,350
5/9/2020,23140,14,93
5/9/2020,23141,10,96
5/9/2020,23146,5,30
5/9/2020,23148,0,18
5/9/2020,23149,Suppressed*,49
5/9/2020,23150,25,179
5/9/2020,23153,Suppressed*,19
5/9/2020,23156,Suppressed*,17
5/9/2020,23160,0,6
5/9/2020,23161,0,1
5/9/2020,23163,0,1
5/9/2020,23168,8,173
5/9/2020,23169,0,10
5/9/2020,23173,0,1
5/9/2020,23175,Suppressed*,14
5/9/2020,23176,0,1
5/9/2020,23177,0,11
5/9/2020,23180,0,2
5/9/2020,23181,0,87
5/9/2020,23185,103,1040
5/9/2020,23187,0,13
5/9/2020,23188,118,1053
5/9/2020,23192,10,74
5/9/2020,23219,11,77
5/9/2020,23220,50,383
5/9/2020,23221,14,173
5/9/2020,23222,62,380
5/9/2020,23223,178,932
5/9/2020,23224,157,752
5/9/2020,23225,126,779
5/9/2020,23226,65,304
5/9/2020,23227,46,401
5/9/2020,23228,75,582
5/9/2020,23229,52,484
5/9/2020,23230,9,109
5/9/2020,23231,94,565
5/9/2020,23233,95,558
5/9/2020,23234,163,703
5/9/2020,23235,79,643
5/9/2020,23236,45,478
5/9/2020,23237,59,364
5/9/2020,23238,209,516
5/9/2020,23250,0,2
5/9/2020,23294,31,274
5/9/2020,23301,42,86
5/9/2020,23302,Suppressed*,6
5/9/2020,23303,9,25
5/9/2020,23304,Suppressed*,5
5/9/2020,23306,15,41
5/9/2020,23307,9,24
5/9/2020,23308,31,68
5/9/2020,23310,15,64
5/9/2020,23313,Suppressed*,3
5/9/2020,23314,7,119
5/9/2020,23315,Suppressed*,20
5/9/2020,23316,8,31
5/9/2020,23320,115,1048
5/9/2020,23321,42,491
5/9/2020,23322,59,660
5/9/2020,23323,50,465
5/9/2020,23324,28,305
5/9/2020,23325,31,260
5/9/2020,23336,Suppressed*,33
5/9/2020,23337,0,7
5/9/2020,23347,7,22
5/9/2020,23350,40,116
5/9/2020,23354,8,17
5/9/2020,23356,Suppressed*,22
5/9/2020,23357,20,36
5/9/2020,23359,8,16
5/9/2020,23389,0,2
5/9/2020,23395,8,19
5/9/2020,23398,Suppressed*,7
5/9/2020,23401,Suppressed*,10
5/9/2020,23405,9,26
5/9/2020,23407,26,42
5/9/2020,23408,Suppressed*,1
5/9/2020,23409,Suppressed*,2
5/9/2020,23410,36,85
5/9/2020,23413,57,160
5/9/2020,23414,17,29
5/9/2020,23415,29,71
5/9/2020,23416,6,24
5/9/2020,23417,32,105
5/9/2020,23418,27,63
5/9/2020,23420,47,105
5/9/2020,23421,86,201
5/9/2020,23422,Suppressed*,12
5/9/2020,23423,Suppressed*,8
5/9/2020,23426,5,6
5/9/2020,23427,Suppressed*,3
5/9/2020,23430,24,237
5/9/2020,23432,Suppressed*,19
5/9/2020,23433,0,22
5/9/2020,23434,114,945
5/9/2020,23435,92,462
5/9/2020,23436,0,14
5/9/2020,23437,5,64
5/9/2020,23438,Suppressed*,36
5/9/2020,23440,0,2
5/9/2020,23441,12,26
5/9/2020,23442,12,37
5/9/2020,23451,38,699
5/9/2020,23452,71,1063
5/9/2020,23453,45,543
5/9/2020,23454,68,983
5/9/2020,23455,32,757
5/9/2020,23456,55,856
5/9/2020,23457,Suppressed*,52
5/9/2020,23459,Suppressed*,19
5/9/2020,23460,0,6
5/9/2020,23461,0,5
5/9/2020,23462,97,1094
5/9/2020,23464,65,1013
5/9/2020,23480,Suppressed*,8
5/9/2020,23486,0,3
5/9/2020,23487,58,110
5/9/2020,23488,7,16
5/9/2020,23502,37,411
5/9/2020,23503,24,411
5/9/2020,23504,47,761
5/9/2020,23505,25,348
5/9/2020,23507,6,123
5/9/2020,23508,20,201
5/9/2020,23509,23,209
5/9/2020,23510,46,376
5/9/2020,23511,0,24
5/9/2020,23513,20,394
5/9/2020,23517,5,66
5/9/2020,23518,29,508
5/9/2020,23523,5,105
5/9/2020,23551,0,1
5/9/2020,23601,19,312
5/9/2020,23602,31,494
5/9/2020,23603,Suppressed*,38
5/9/2020,23604,0,22
5/9/2020,23605,12,170
5/9/2020,23606,18,348
5/9/2020,23607,18,193
5/9/2020,23608,49,540
5/9/2020,23651,Suppressed*,7
5/9/2020,23661,13,163
5/9/2020,23662,7,142
5/9/2020,23663,10,156
5/9/2020,23664,7,109
5/9/2020,23665,Suppressed*,23
5/9/2020,23666,61,660
5/9/2020,23669,42,504
5/9/2020,23690,0,42
5/9/2020,23691,0,5
5/9/2020,23692,9,263
5/9/2020,23693,11,253
5/9/2020,23696,0,45
5/9/2020,23701,97,527
5/9/2020,23702,13,140
5/9/2020,23703,40,378
5/9/2020,23704,30,361
5/9/2020,23707,19,197
5/9/2020,23708,Suppressed*,65
5/9/2020,23709,0,59
5/9/2020,23801,10,92
5/9/2020,23803,53,516
5/9/2020,23805,21,260
5/9/2020,23821,Suppressed*,26
5/9/2020,23824,7,129
5/9/2020,23827,Suppressed*,12
5/9/2020,23828,0,4
5/9/2020,23829,78,454
5/9/2020,23830,Suppressed*,24
5/9/2020,23831,51,376
5/9/2020,23832,123,600
5/9/2020,23833,0,20
5/9/2020,23834,84,389
5/9/2020,23836,17,152
5/9/2020,23837,44,48
5/9/2020,23838,24,196
5/9/2020,23839,0,14
5/9/2020,23840,Suppressed*,28
5/9/2020,23841,Suppressed*,45
5/9/2020,23842,6,78
5/9/2020,23843,0,2
5/9/2020,23844,Suppressed*,6
5/9/2020,23845,0,4
5/9/2020,23846,0,13
5/9/2020,23847,70,294
5/9/2020,23850,0,21
5/9/2020,23851,25,195
5/9/2020,23856,Suppressed*,3
5/9/2020,23857,Suppressed*,6
5/9/2020,23860,38,450
5/9/2020,23866,Suppressed*,33
5/9/2020,23867,16,50
5/9/2020,23868,10,54
5/9/2020,23872,Suppressed*,43
5/9/2020,23874,0,11
5/9/2020,23875,18,169
5/9/2020,23876,0,2
5/9/2020,23878,Suppressed*,15
5/9/2020,23879,5,13
5/9/2020,23881,Suppressed*,18
5/9/2020,23882,5,43
5/9/2020,23883,Suppressed*,39
5/9/2020,23884,Suppressed*,0
5/9/2020,23885,Suppressed*,35
5/9/2020,23887,0,3
5/9/2020,23888,Suppressed*,34
5/9/2020,23889,Suppressed*,7
5/9/2020,23890,Suppressed*,41
5/9/2020,23891,22,100
5/9/2020,23893,Suppressed*,5
5/9/2020,23894,0,4
5/9/2020,23897,Suppressed*,3
5/9/2020,23898,5,27
5/9/2020,23899,Suppressed*,8
5/9/2020,23901,56,290
5/9/2020,23915,Suppressed*,13
5/9/2020,23917,10,46
5/9/2020,23919,Suppressed*,22
5/9/2020,23920,Suppressed*,28
5/9/2020,23921,7,61
5/9/2020,23922,6,80
5/9/2020,23923,5,40
5/9/2020,23924,14,88
5/9/2020,23927,56,163
5/9/2020,23930,Suppressed*,124
5/9/2020,23934,Suppressed*,15
5/9/2020,23936,210,189
5/9/2020,23937,Suppressed*,38
5/9/2020,23938,0,4
5/9/2020,23942,Suppressed*,26
5/9/2020,23944,Suppressed*,43
5/9/2020,23947,0,67
5/9/2020,23950,8,51
5/9/2020,23952,0,3
5/9/2020,23954,Suppressed*,40
5/9/2020,23958,8,70
5/9/2020,23959,0,22
5/9/2020,23960,Suppressed*,43
5/9/2020,23962,Suppressed*,13
5/9/2020,23963,0,6
5/9/2020,23964,Suppressed*,20
5/9/2020,23966,Suppressed*,47
5/9/2020,23967,0,12
5/9/2020,23968,Suppressed*,11
5/9/2020,23970,11,86
5/9/2020,23974,Suppressed*,85
5/9/2020,23976,0,6
5/9/2020,24011,0,4
5/9/2020,24012,24,140
5/9/2020,24013,Suppressed*,34
5/9/2020,24014,47,93
5/9/2020,24015,11,53
5/9/2020,24016,Suppressed*,47
5/9/2020,24017,13,118
5/9/2020,24018,23,190
5/9/2020,24019,8,131
5/9/2020,24053,0,24
5/9/2020,24054,Suppressed*,32
5/9/2020,24055,Suppressed*,75
5/9/2020,24058,0,3
5/9/2020,24059,0,1
5/9/2020,24060,33,446
5/9/2020,24064,0,20
5/9/2020,24065,Suppressed*,25
5/9/2020,24066,Suppressed*,11
5/9/2020,24067,Suppressed*,7
5/9/2020,24069,0,15
5/9/2020,24070,0,8
5/9/2020,24072,0,10
5/9/2020,24073,18,344
5/9/2020,24076,0,5
5/9/2020,24077,Suppressed*,3
5/9/2020,24078,Suppressed*,63
5/9/2020,24079,0,12
5/9/2020,24082,0,2
5/9/2020,24083,6,17
5/9/2020,24084,6,135
5/9/2020,24085,6,6
5/9/2020,24087,6,41
5/9/2020,24088,0,8
5/9/2020,24089,Suppressed*,23
5/9/2020,24090,9,20
5/9/2020,24091,Suppressed*,50
5/9/2020,24092,0,7
5/9/2020,24093,0,1
5/9/2020,24095,Suppressed*,17
5/9/2020,24101,Suppressed*,26
5/9/2020,24102,0,2
5/9/2020,24104,Suppressed*,36
5/9/2020,24105,0,2
5/9/2020,24112,12,202
5/9/2020,24120,0,7
5/9/2020,24121,Suppressed*,61
5/9/2020,24122,Suppressed*,11
5/9/2020,24124,Suppressed*,33
5/9/2020,24127,Suppressed*,24
5/9/2020,24128,Suppressed*,17
5/9/2020,24131,0,1
5/9/2020,24132,0,4
5/9/2020,24133,0,21
5/9/2020,24134,Suppressed*,24
5/9/2020,24136,0,12
5/9/2020,24137,Suppressed*,9
5/9/2020,24138,0,18
5/9/2020,24139,0,4
5/9/2020,24141,Suppressed*,141
5/9/2020,24142,0,1
5/9/2020,24147,Suppressed*,9
5/9/2020,24148,Suppressed*,51
5/9/2020,24149,0,27
5/9/2020,24150,Suppressed*,3
5/9/2020,24151,12,33
5/9/2020,24153,48,329
5/9/2020,24161,0,3
5/9/2020,24162,5,39
5/9/2020,24165,0,12
5/9/2020,24167,0,3
5/9/2020,24168,Suppressed*,6
5/9/2020,24171,Suppressed*,54
5/9/2020,24174,Suppressed*,13
5/9/2020,24175,Suppressed*,28
5/9/2020,24176,Suppressed*,6
5/9/2020,24179,9,62
5/9/2020,24184,6,8
5/9/2020,24185,0,1
5/9/2020,24201,Suppressed*,148
5/9/2020,24202,7,112
5/9/2020,24210,14,254
5/9/2020,24211,8,130
5/9/2020,24216,9,53
5/9/2020,24217,0,1
5/9/2020,24219,9,358
5/9/2020,24220,0,6
5/9/2020,24221,0,4
5/9/2020,24224,5,59
5/9/2020,24225,0,8
5/9/2020,24226,0,12
5/9/2020,24228,0,91
5/9/2020,24230,0,88
5/9/2020,24236,5,43
5/9/2020,24237,0,7
5/9/2020,24239,0,4
5/9/2020,24243,0,30
5/9/2020,24244,Suppressed*,81
5/9/2020,24245,0,12
5/9/2020,24246,0,4
5/9/2020,24248,Suppressed*,29
5/9/2020,24250,0,9
5/9/2020,24251,Suppressed*,122
5/9/2020,24256,0,36
5/9/2020,24258,0,16
5/9/2020,24260,0,49
5/9/2020,24263,Suppressed*,82
5/9/2020,24265,0,8
5/9/2020,24266,Suppressed*,100
5/9/2020,24269,0,4
5/9/2020,24270,Suppressed*,6
5/9/2020,24271,0,17
5/9/2020,24272,0,6
5/9/2020,24273,Suppressed*,69
5/9/2020,24277,Suppressed*,84
5/9/2020,24279,0,29
5/9/2020,24280,0,5
5/9/2020,24281,0,19
5/9/2020,24282,0,10
5/9/2020,24283,0,33
5/9/2020,24290,0,18
5/9/2020,24292,0,8
5/9/2020,24293,Suppressed*,118
5/9/2020,24301,Suppressed*,201
5/9/2020,24311,0,23
5/9/2020,24312,0,13
5/9/2020,24313,Suppressed*,5
5/9/2020,24314,0,28
5/9/2020,24315,0,34
5/9/2020,24316,0,2
5/9/2020,24317,Suppressed*,22
5/9/2020,24318,0,8
5/9/2020,24319,5,79
5/9/2020,24322,0,2
5/9/2020,24323,Suppressed*,7
5/9/2020,24324,0,32
5/9/2020,24325,0,3
5/9/2020,24326,0,4
5/9/2020,24328,0,9
5/9/2020,24330,Suppressed*,26
5/9/2020,24333,51,235
5/9/2020,24340,Suppressed*,78
5/9/2020,24343,8,81
5/9/2020,24347,0,14
5/9/2020,24348,0,58
5/9/2020,24350,0,7
5/9/2020,24351,0,2
5/9/2020,24352,0,7
5/9/2020,24354,Suppressed*,183
5/9/2020,24360,Suppressed*,79
5/9/2020,24361,Suppressed*,67
5/9/2020,24363,0,4
5/9/2020,24366,Suppressed*,13
5/9/2020,24368,Suppressed*,53
5/9/2020,24370,Suppressed*,68
5/9/2020,24374,0,13
5/9/2020,24375,0,10
5/9/2020,24377,0,2
5/9/2020,24378,0,6
5/9/2020,24380,Suppressed*,8
5/9/2020,24381,Suppressed*,26
5/9/2020,24382,Suppressed*,153
5/9/2020,24401,20,292
5/9/2020,24412,0,1
5/9/2020,24413,0,4
5/9/2020,24415,0,2
5/9/2020,24416,9,21
5/9/2020,24421,Suppressed*,10
5/9/2020,24422,6,76
5/9/2020,24426,Suppressed*,132
5/9/2020,24430,0,18
5/9/2020,24431,5,21
5/9/2020,24432,Suppressed*,1
5/9/2020,24433,0,1
5/9/2020,24435,Suppressed*,6
5/9/2020,24437,0,4
5/9/2020,24439,0,8
5/9/2020,24440,7,26
5/9/2020,24441,14,77
5/9/2020,24442,0,2
5/9/2020,24445,0,24
5/9/2020,24448,0,3
5/9/2020,24450,6,55
5/9/2020,24457,0,9
5/9/2020,24458,0,4
5/9/2020,24460,0,7
5/9/2020,24465,Suppressed*,10
5/9/2020,24467,Suppressed*,12
5/9/2020,24471,Suppressed*,20
5/9/2020,24472,0,13
5/9/2020,24473,0,2
5/9/2020,24474,0,5
5/9/2020,24476,0,4
5/9/2020,24477,11,106
5/9/2020,24479,0,13
5/9/2020,24482,Suppressed*,40
5/9/2020,24483,Suppressed*,3
5/9/2020,24484,0,4
5/9/2020,24485,0,1
5/9/2020,24486,13,44
5/9/2020,24487,0,2
5/9/2020,24501,23,346
5/9/2020,24502,32,455
5/9/2020,24503,11,224
5/9/2020,24504,5,102
5/9/2020,24517,0,67
5/9/2020,24520,0,25
5/9/2020,24521,Suppressed*,152
5/9/2020,24522,15,140
5/9/2020,24523,6,201
5/9/2020,24526,Suppressed*,19
5/9/2020,24527,Suppressed*,32
5/9/2020,24528,Suppressed*,42
5/9/2020,24529,Suppressed*,42
5/9/2020,24530,0,12
5/9/2020,24531,Suppressed*,57
5/9/2020,24534,Suppressed*,23
5/9/2020,24536,0,2
5/9/2020,24538,Suppressed*,62
5/9/2020,24539,0,7
5/9/2020,24540,18,280
5/9/2020,24541,21,283
5/9/2020,24549,0,38
5/9/2020,24550,5,74
5/9/2020,24551,19,267
5/9/2020,24553,Suppressed*,26
5/9/2020,24554,Suppressed*,43
5/9/2020,24555,0,4
5/9/2020,24556,0,37
5/9/2020,24557,Suppressed*,55
5/9/2020,24558,Suppressed*,86
5/9/2020,24562,0,11
5/9/2020,24563,Suppressed*,62
5/9/2020,24565,0,7
5/9/2020,24566,Suppressed*,9
5/9/2020,24569,0,12
5/9/2020,24571,Suppressed*,19
5/9/2020,24572,9,228
5/9/2020,24574,Suppressed*,34
5/9/2020,24577,Suppressed*,43
5/9/2020,24578,Suppressed*,3
5/9/2020,24579,0,4
5/9/2020,24580,Suppressed*,12
5/9/2020,24586,Suppressed*,47
5/9/2020,24588,Suppressed*,116
5/9/2020,24589,0,26
5/9/2020,24590,10,159
5/9/2020,24592,10,226
5/9/2020,24593,Suppressed*,22
5/9/2020,24594,Suppressed*,24
5/9/2020,24595,0,2
5/9/2020,24597,Suppressed*,12
5/9/2020,24598,Suppressed*,22
5/9/2020,24599,Suppressed*,11
5/9/2020,24602,0,9
5/9/2020,24603,Suppressed*,9
5/9/2020,24605,Suppressed*,108
5/9/2020,24606,0,2
5/9/2020,24607,0,2
5/9/2020,24609,Suppressed*,75
5/9/2020,24612,0,3
5/9/2020,24613,0,19
5/9/2020,24614,15,114
5/9/2020,24620,0,18
5/9/2020,24622,0,15
5/9/2020,24628,0,5
5/9/2020,24630,0,60
5/9/2020,24631,0,19
5/9/2020,24634,0,7
5/9/2020,24635,0,11
5/9/2020,24637,0,22
5/9/2020,24639,Suppressed*,50
5/9/2020,24641,0,83
5/9/2020,24646,0,5
5/9/2020,24649,0,19
5/9/2020,24651,0,60
5/9/2020,24656,0,32
5/9/2020,24657,0,2
5/9/2020,Not Reported,437,18622
5/9/2020,Out-of-State,0,2092
