"﻿Report Date","Health District",Ethnicity,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-31,Chickahominy,"Not Reported",253,18,4
2020-05-31,Loudoun,"Hispanic or Latino",624,58,4
2020-05-31,"Rappahannock Rapidan","Hispanic or Latino",541,37,4
2020-05-31,Roanoke,"Not Reported",48,0,1
2020-05-31,Rappahannock,"Hispanic or Latino",542,56,2
2020-05-31,Lenowisco,"Hispanic or Latino",0,0,0
2020-05-31,"Virginia Beach","Hispanic or Latino",54,6,1
2020-05-31,"Prince William","Not Hispanic or Latino",1010,207,87
2020-05-31,"Central Virginia","Not Reported",123,3,0
2020-05-31,"Central Shenandoah","Not Hispanic or Latino",631,75,22
2020-05-31,Hampton,"Hispanic or Latino",14,0,0
2020-05-31,Roanoke,"Hispanic or Latino",35,0,0
