Report Date,FIPS,Locality,Health District,Total Cases
2020-04-16,51690,Martinsville,West Piedmont,0
2020-04-16,51700,Newport News,Peninsula,97
2020-04-16,51710,Norfolk,Norfolk,105
2020-04-16,51775,Salem,Alleghany,4
2020-04-16,51820,Waynesboro,Central Shenandoah,6
2020-04-16,51830,Williamsburg,Peninsula,19
2020-04-16,51840,Winchester,Lord Fairfax,21
2020-04-16,51001,Accomack,Eastern Shore,19
2020-04-16,51005,Alleghany,Alleghany,4
2020-04-16,51007,Amelia,Piedmont,13
2020-04-16,51017,Bath,Central Shenandoah,0
2020-04-16,51023,Botetourt,Alleghany,23
2020-04-16,51041,Chesterfield,Chesterfield,267
2020-04-16,51045,Craig,Alleghany,2
2020-04-16,51051,Dickenson,Cumberland Plateau,0
2020-04-16,51059,Fairfax,Fairfax,1375
2020-04-16,51061,Fauquier,Rappahannock Rapidan,32
2020-04-16,51063,Floyd,New River,1
2020-04-16,51065,Fluvanna,Thomas Jefferson,64
2020-04-16,51067,Franklin County,West Piedmont,15
2020-04-16,51069,Frederick,Lord Fairfax,72
2020-04-16,51071,Giles,New River,4
2020-04-16,51073,Gloucester,Three Rivers,20
2020-04-16,51075,Goochland,Chickahominy,41
2020-04-16,51089,Henry,West Piedmont,8
2020-04-16,51095,James City,Peninsula,135
2020-04-16,51099,King George,Rappahannock,18
2020-04-16,51101,King William,Three Rivers,2
2020-04-16,51103,Lancaster,Three Rivers,1
2020-04-16,51107,Loudoun,Loudoun,378
2020-04-16,51117,Mecklenburg,Southside,61
2020-04-16,51121,Montgomery,New River,34
2020-04-16,51125,Nelson,Thomas Jefferson,5
2020-04-16,51135,Nottoway,Piedmont,5
2020-04-16,51137,Orange,Rappahannock Rapidan,18
2020-04-16,51139,Page,Lord Fairfax,7
2020-04-16,51147,Prince Edward,Piedmont,15
2020-04-16,51157,Rappahannock,Rappahannock Rapidan,1
2020-04-16,51159,Richmond County,Three Rivers,7
2020-04-16,51161,Roanoke County,Alleghany,19
2020-04-16,51169,Scott,Lenowisco,3
2020-04-16,51171,Shenandoah,Lord Fairfax,28
2020-04-16,51173,Smyth,Mount Rogers,11
2020-04-16,51175,Southampton,Western Tidewater,6
2020-04-16,51177,Spotsylvania,Rappahannock,62
2020-04-16,51179,Stafford,Rappahannock,120
2020-04-16,51181,Surry,Crater,3
2020-04-16,51183,Sussex,Crater,9
2020-04-16,51191,Washington,Mount Rogers,27
2020-04-16,51195,Wise,Lenowisco,18
2020-04-16,51530,Buena Vista City,Central Shenandoah,4
2020-04-16,51540,Charlottesville,Thomas Jefferson,38
2020-04-16,51570,Colonial Heights,Chesterfield,18
2020-04-16,51580,Covington,Alleghany,1
2020-04-16,51595,Emporia,Crater,7
2020-04-16,51610,Falls Church,Fairfax,0
2020-04-16,51630,Fredericksburg,Rappahannock,15
2020-04-16,51640,Galax,Mount Rogers,1
2020-04-16,51650,Hampton,Hampton,77
2020-04-16,51670,Hopewell,Crater,14
2020-04-16,51678,Lexington,Central Shenandoah,3
2020-04-16,51683,Manassas City,Prince William,62
2020-04-16,51720,Norton,Lenowisco,0
2020-04-16,51730,Petersburg,Crater,19
2020-04-16,51735,Poquoson,Peninsula,6
2020-04-16,51740,Portsmouth,Portsmouth,62
2020-04-16,51750,Radford,New River,1
2020-04-16,51760,Richmond City,Richmond,188
2020-04-16,51770,Roanoke City,Roanoke,24
2020-04-16,51790,Staunton,Central Shenandoah,3
2020-04-16,51800,Suffolk,Western Tidewater,65
2020-04-16,51810,Virginia Beach,Virginia Beach,258
