"﻿Report Date","Health District",Ethnicity,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-17,Pittsylvania-Danville,"Not Reported",16,5,0
2020-05-17,Norfolk,"Hispanic or Latino",37,5,0
2020-05-17,Portsmouth,"Not Hispanic or Latino",103,29,8
2020-05-17,"West Piedmont","Not Reported",17,4,0
2020-05-17,Richmond,"Not Hispanic or Latino",307,72,16
2020-05-17,"West Piedmont","Hispanic or Latino",5,0,0
2020-05-17,"Prince William","Not Reported",2080,16,4
2020-05-17,"Rappahannock Rapidan","Not Reported",220,8,1
2020-05-17,Chickahominy,"Hispanic or Latino",14,2,0
2020-05-17,Lenowisco,"Not Reported",19,4,2
2020-05-17,"New River","Hispanic or Latino",3,0,0
2020-05-17,Crater,"Not Reported",167,29,7
2020-05-17,Chickahominy,"Not Reported",173,15,4
2020-05-17,Loudoun,"Hispanic or Latino",421,46,3
2020-05-17,"Rappahannock Rapidan","Hispanic or Latino",316,28,3
2020-05-17,Roanoke,"Not Reported",32,0,1
2020-05-17,Rappahannock,"Hispanic or Latino",306,43,1
2020-05-17,Lenowisco,"Hispanic or Latino",0,0,0
2020-05-17,"Virginia Beach","Hispanic or Latino",37,5,1
2020-05-17,"Prince William","Not Hispanic or Latino",756,155,57
2020-05-17,"Central Virginia","Not Reported",97,3,0
2020-05-17,"Central Shenandoah","Not Hispanic or Latino",473,53,17
2020-05-17,Hampton,"Hispanic or Latino",10,0,0
2020-05-17,Roanoke,"Hispanic or Latino",18,0,0
