Report Date,Health District,Ethnicity,Number of Cases,Number of Hospitalizations,Number of Deaths
2020-05-04,Piedmont,Not Reported,99,6,0
2020-05-04,Southside,Not Hispanic or Latino,45,6,3
2020-05-04,Thomas Jefferson,Hispanic or Latino,12,0,0
2020-05-04,Pittsylvania-Danville,Not Reported,11,4,0
2020-05-04,Norfolk,Hispanic or Latino,18,4,0
2020-05-04,Portsmouth,Not Hispanic or Latino,74,24,7
2020-05-04,West Piedmont,Not Reported,8,1,0
2020-05-04,Richmond,Not Hispanic or Latino,247,55,15
2020-05-04,West Piedmont,Hispanic or Latino,3,0,0
2020-05-04,Prince William,Not Reported,1267,11,0
2020-05-04,Rappahannock Rapidan,Not Reported,162,5,1
2020-05-04,Chickahominy,Hispanic or Latino,2,1,0
2020-05-04,Lenowisco,Not Reported,20,5,1
2020-05-04,New River,Hispanic or Latino,0,0,0
2020-05-04,Crater,Not Reported,137,28,7
2020-05-04,Chickahominy,Not Reported,176,27,7
2020-05-04,Loudoun,Hispanic or Latino,253,31,2
2020-05-04,Rappahannock Rapidan,Hispanic or Latino,158,15,2
2020-05-04,Roanoke,Not Reported,27,0,0
2020-05-04,Rappahannock,Hispanic or Latino,160,24,0
2020-05-04,Lenowisco,Hispanic or Latino,0,0,0
2020-05-04,Virginia Beach,Hispanic or Latino,21,5,1
2020-05-04,Prince William,Not Hispanic or Latino,492,113,32
2020-05-04,Central Virginia,Not Reported,104,3,0
2020-05-04,Central Shenandoah,Not Hispanic or Latino,332,30,13
2020-05-04,Hampton,Hispanic or Latino,5,0,0
2020-05-04,Roanoke,Hispanic or Latino,5,0,0
