Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,Dose 1 of 2 (Pfizer or Moderna),Dose 2 of 2 (Pfizer or Moderna),Dose 1 of 1 (Janssen)
"Wichita, KS HCS",1358,17,1271,70,8384,4882,99
"Memphis, TN HCS",1330,19,1235,76,14470,11262,297
"Sioux Falls, SD HCS",1330,24,1232,74,8763,7023,376
Eastern Kansas HCS,1305,17,1250,38,12914,8046,572
"St. Cloud, MN HCS",1304,23,1223,58,16277,10982,981
"Martinsburg, WV HCS",1281,30,1194,57,13473,8107,449
"Amarillo, TX HCS",1280,12,1207,61,6915,4823,76
Central Iowa HCS,1264,21,1178,65,9349,6341,169
Montana HCS,1220,11,1157,52,9909,6751,200
"Portland, OR HCS",1192,17,1127,48,29548,22535,484
"Jackson, MS HCS",1184,10,1098,76,10672,7546,599
"Providence, RI HCS",1158,26,1052,80,12971,8148,19
"Poplar Bluff, MO HCS",1152,13,1059,80,3722,2430,328
"Salem, VA HCS",1127,17,1039,71,10090,5986,529
"Alexandria, LA HCS",1120,15,1056,49,7591,5000,92
"San Juan, PR HCS",1095,50,997,48,27931,19580,462
"Battle Creek, MI HCS",1077,39,970,68,11119,6772,997
"Wilkes-Barre, PA HCS",1056,34,957,65,13572,7899,500
"Reno, NV HCS",1037,18,956,63,10263,7111,515
"Black Hills, SD HCS",1030,5,987,38,7685,6360,74
"Altoona, PA HCS",1017,25,940,52,9648,6048,416
"Northport, NY HCS",1001,34,902,65,12302,9486,<10
"Marion, IL HCS",994,10,929,55,6388,4104,307
"Wilmington, DE HCS",972,22,912,38,14803,11430,477
"Syracuse, NY HCS",961,13,887,61,11560,8020,72
"Tomah, WI HCS",935,8,898,29,9858,6275,403
Northern Arizona HCS,870,11,815,44,9871,6492,<10
"Detroit, MI HCS",863,25,754,84,10601,6162,<10
"Huntington, WV HCS",850,20,763,67,9721,6898,179
"Danville, IL HCS",836,12,773,51,7285,5348,203
"Hudson Valley, NY HCS",832,18,779,35,10846,7999,495
"Saginaw, MI HCS",800,33,718,49,9817,6337,416
"Bedford, MA HCS",797,11,739,47,15739,12643,<10
"Finger Lakes, NY HCS",763,17,711,35,11125,7883,387
Central Western Massachusetts HCS,744,16,675,53,10310,5520,615
"Erie, PA HCS",719,9,677,33,7442,5371,395
"Anchorage, AK HCS",705,20,674,11,5065,3677,596
"Iron Mountain, MI HCS",700,8,663,29,8008,6609,297
"Tuscaloosa, AL HCS",690,2,650,38,5197,3444,<10
"San Francisco, CA HCS",683,10,636,37,13597,10485,558
"Cheyenne, WY HCS",679,12,639,28,6404,4560,92
"Albany, NY HCS",652,14,596,42,9988,6835,396
"Chillicothe, OH HCS",639,10,609,20,8501,6118,314
"Manchester, NH HCS",611,16,564,31,8039,4795,426
"Togus, ME HCS",573,24,523,26,11757,6220,874
"Big Spring, TX HCS",568,6,517,45,4011,2734,214
"Clarksburg, WV HCS",536,19,479,38,6482,5080,122
"Butler, PA HCS",529,8,506,15,7150,5124,202
"Coatesville, PA HCS",473,11,440,22,6665,4992,202
"Grand Junction, CO HCS",469,9,433,27,5451,4450,209
"Walla Walla, WA HCS",417,6,386,25,5228,3747,449
"Sheridan, WY HCS",355,2,347,6,3763,2979,18
"Honolulu, HI HCS",313,7,292,14,12255,8582,485
"Beckley, WV HCS",309,14,282,13,5018,3717,58
"Spokane, WA HCS",279,3,255,21,8217,4709,519
"Roseburg, OR HCS",266,9,247,10,7695,4219,30
"White River Junction, VT HCS",251,12,228,11,8278,5191,461
"White City, OR HCS",234,8,204,22,5499,3549,<10
"Manila, PI HCS",3,1,2,0,0,0,0
,0,0,0,0,775,731,0
