Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,InitialVaccineVeteranTotal,CompletedVaccineVeteranTotal
"Augusta, GA HCS",1677,92,1505,80,7113,4458
"Palo Alto, CA HCS",1635,62,1490,83,8566,2803
"Shreveport, LA HCS",1607,32,1479,96,5723,2427
"Cincinnati, OH HCS",1601,49,1502,50,5156,1848
Central Alabama HCS,1568,63,1457,48,4737,1082
"West Palm Beach, FL HCS",1520,59,1400,61,15784,8258
"Pittsburgh, PA HCS",1519,40,1399,80,14504,6339
"Dayton, OH HCS",1518,49,1414,55,5931,2028
"Madison, WI HCS",1518,23,1422,73,7449,2293
"Salt Lake City, UT HCS",1511,41,1411,59,6504,1727
"Boise, ID HCS",1507,30,1416,61,5464,2890
"Bronx, NY HCS",1491,49,1330,112,4432,379
"Fresno, CA HCS",1479,39,1361,79,5700,1024
"Dublin, GA HCS",1469,60,1364,45,6597,2051
"Ann Arbor, MI HCS",1467,22,1392,53,18292,8459
"Iowa City, IA HCS",1460,45,1348,67,5583,565
"Baltimore, MD HCS",1429,62,1311,56,9845,3845
New Mexico HCS,1401,44,1275,82,8076,2778
"El Paso, TX HCS",1348,51,1197,100,2490,998
Northern Indiana HCS,1331,34,1237,60,5734,1834
"Columbus, OH HCS",1322,30,1237,55,4699,1105
"Fargo, ND HCS",1313,14,1191,108,8125,2146
"Hampton, VA HCS",1286,64,1202,20,3626,969
Western New York HCS,1281,35,1172,74,9991,3780
"Wichita, KS HCS",1276,35,1172,69,3690,1088
"Lexington, KY HCS",1268,35,1148,85,8828,5991
"Puget Sound, WA HCS",1262,37,1174,51,9704,3455
"Memphis, TN HCS",1251,31,1148,72,8141,2547
"Sioux Falls, SD HCS",1246,33,1144,69,5769,1156
Eastern Kansas HCS,1239,21,1185,33,5614,1717
"Amarillo, TX HCS",1227,12,1158,57,3587,1600
"St. Cloud, MN HCS",1220,21,1143,56,6855,1716
Central Iowa HCS,1185,41,1086,58,4520,567
"Martinsburg, WV HCS",1163,37,1078,48,5338,621
Montana HCS,1160,20,1091,49,4721,895
"Poplar Bluff, MO HCS",1109,16,1014,79,1801,412
"Jackson, MS HCS",1107,23,1015,69,5768,2314
"Portland, OR HCS",1091,32,1017,42,12157,9251
"Salem, VA HCS",1041,35,937,69,3726,1005
"Alexandria, LA HCS",1038,15,976,47,3864,1487
"Providence, RI HCS",1036,49,911,76,4343,888
"San Juan, PR HCS",1008,14,946,48,13125,4435
"Black Hills, SD HCS",998,23,937,38,5173,2014
"Battle Creek, MI HCS",991,22,903,66,4740,1153
"Reno, NV HCS",977,23,896,58,4690,1047
"Marion, IL HCS",935,28,857,50,3370,1078
"Wilkes-Barre, PA HCS",921,37,830,54,5765,1234
"Altoona, PA HCS",918,21,849,48,4994,1715
"Tomah, WI HCS",890,16,848,26,4913,1329
"Wilmington, DE HCS",887,37,815,35,7682,2896
"Syracuse, NY HCS",875,33,784,58,5786,1044
"Northport, NY HCS",867,38,771,58,5803,1075
"Detroit, MI HCS",785,10,693,82,3846,1021
"Huntington, WV HCS",784,36,689,59,5058,1330
Northern Arizona HCS,783,13,731,39,4744,1752
"Danville, IL HCS",769,14,712,43,4172,1065
"Hudson Valley, NY HCS",768,13,721,34,5996,1524
"Bedford, MA HCS",745,9,692,44,8415,4089
"Saginaw, MI HCS",698,22,636,40,4515,1194
"Finger Lakes, NY HCS",697,27,640,30,5420,907
"Iron Mountain, MI HCS",675,10,637,28,5248,1369
"Erie, PA HCS",667,19,618,30,3999,1106
"Tuscaloosa, AL HCS",666,14,617,35,2333,394
Central Western Massachusetts HCS,653,27,580,46,4091,1308
"Cheyenne, WY HCS",633,14,591,28,3698,1033
"San Francisco, CA HCS",633,27,574,32,5885,421
"Anchorage, AK HCS",630,19,600,11,2833,1002
"Chillicothe, OH HCS",576,19,544,13,4372,2290
"Albany, NY HCS",575,34,504,37,5329,1014
"Big Spring, TX HCS",540,7,492,41,2070,538
"Manchester, NH HCS",539,26,489,24,3315,581
"Togus, ME HCS",505,24,458,23,3819,926
"Butler, PA HCS",493,14,464,15,4225,1443
"Clarksburg, WV HCS",471,23,422,26,3608,997
"Coatesville, PA HCS",438,15,404,19,3820,1286
"Grand Junction, CO HCS",437,13,403,21,2881,1220
"Walla Walla, WA HCS",387,10,353,24,2873,1019
"Sheridan, WY HCS",343,3,334,6,2448,550
"Honolulu, HI HCS",290,2,275,13,5696,1774
"Beckley, WV HCS",280,18,252,10,2408,522
"Spokane, WA HCS",264,1,243,20,2932,0
"Roseburg, OR HCS",223,18,197,8,2947,390
"White City, OR HCS",206,8,178,20,2614,645
"White River Junction, VT HCS",199,5,188,6,3491,663
"Manila, PI HCS",2,0,2,0,0,0
