Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,CompletedVaccineVeteranCount,_SecondDoseCountVeteran
"Amarillo, TX HCS",1197,40,1107,50,98,98
Eastern Kansas HCS,1191,64,1096,31,126,126
"Sioux Falls, SD HCS",1188,56,1066,66,55,55
"Puget Sound, WA HCS",1185,41,1095,49,102,102
"Lexington, KY HCS",1180,92,1009,79,224,224
"St. Cloud, MN HCS",1175,21,1099,55,126,126
"Memphis, TN HCS",1155,80,1011,64,27,27
"Hampton, VA HCS",1138,106,1014,18,197,197
Montana HCS,1117,35,1036,46,38,38
Central Iowa HCS,1114,41,1021,52,49,49
"Martinsburg, WV HCS",1077,74,960,43,104,104
"Poplar Bluff, MO HCS",1067,44,946,77,5,5
"Jackson, MS HCS",1052,42,947,63,493,493
"Portland, OR HCS",1033,57,936,40,623,623
"Alexandria, LA HCS",996,38,913,45,250,250
"San Juan, PR HCS",985,28,912,45,69,69
"Salem, VA HCS",964,62,842,60,19,19
"Black Hills, SD HCS",959,22,899,38,54,54
"Battle Creek, MI HCS",951,30,859,62,43,43
"Providence, RI HCS",946,51,829,66,8,8
"Reno, NV HCS",936,42,840,54,21,21
"Altoona, PA HCS",882,53,785,44,458,458
"Marion, IL HCS",876,42,785,49,228,228
"Wilkes-Barre, PA HCS",859,79,731,49,102,102
"Tomah, WI HCS",852,18,810,24,91,91
"Wilmington, DE HCS",809,47,731,31,345,345
"Syracuse, NY HCS",804,62,696,46,32,32
"Northport, NY HCS",791,42,694,55,59,59
"Detroit, MI HCS",770,28,662,80,172,172
Northern Arizona HCS,758,38,683,37,58,58
"Danville, IL HCS",736,34,663,39,58,58
"Hudson Valley, NY HCS",729,38,661,30,106,106
"Bedford, MA HCS",715,25,648,42,992,992
"Huntington, WV HCS",703,56,592,55,266,266
"Iron Mountain, MI HCS",654,18,608,28,116,116
"Finger Lakes, NY HCS",652,39,585,28,179,179
"Saginaw, MI HCS",652,24,588,40,8,8
"Tuscaloosa, AL HCS",632,20,578,34,74,74
"Erie, PA HCS",629,45,557,27,70,70
"Cheyenne, WY HCS",615,23,571,21,28,28
Central Western Massachusetts HCS,611,29,539,43,88,88
"Anchorage, AK HCS",595,12,574,9,52,52
"San Francisco, CA HCS",590,44,518,28,64,64
"Chillicothe, OH HCS",543,31,500,12,234,234
"Albany, NY HCS",522,48,442,32,37,37
"Big Spring, TX HCS",522,10,473,39,14,14
"Manchester, NH HCS",498,34,441,23,117,117
"Butler, PA HCS",468,26,428,14,329,329
"Togus, ME HCS",448,46,384,18,45,45
"Clarksburg, WV HCS",414,45,350,19,188,188
"Grand Junction, CO HCS",410,28,362,20,40,40
"Coatesville, PA HCS",409,20,371,18,90,90
"Walla Walla, WA HCS",365,8,336,21,56,56
"Sheridan, WY HCS",336,13,317,6,67,67
"Honolulu, HI HCS",283,10,261,12,135,135
"Spokane, WA HCS",256,2,234,20,0,0
"Beckley, WV HCS",244,13,224,7,27,27
"Roseburg, OR HCS",193,6,181,6,22,22
"White City, OR HCS",188,14,155,19,26,26
"White River Junction, VT HCS",185,27,153,5,21,21
"Manila, PI HCS",2,0,2,0,0,0
