Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,Dose 1 of 2 (Pfizer or Moderna),Dose 2 of 2 (Pfizer or Moderna),Dose 1 of 1 (Janssen)
"Fayetteville, AR HCS",1909,25,1780,104,11341,6659,419
"Chicago, IL HCS",1864,20,1761,83,16576,10200,119
New York Harbor HCS,1856,54,1672,130,18479,13525,35
"Richmond, VA HCS",1854,63,1706,85,19071,11118,<10
"Lebanon, PA HCS",1831,42,1675,114,14682,8349,573
"Augusta, GA HCS",1787,29,1673,85,15131,9908,<10
"Palo Alto, CA HCS",1734,25,1617,92,20711,13679,381
"Cincinnati, OH HCS",1704,23,1625,56,11044,6687,229
Central Alabama HCS,1677,35,1584,58,9837,5266,<10
"West Palm Beach, FL HCS",1671,40,1565,66,23814,16778,<10
"Shreveport, LA HCS",1654,9,1546,99,9241,6483,591
"Pittsburgh, PA HCS",1649,35,1526,88,21364,17676,41
"Fresno, CA HCS",1598,41,1474,83,10148,6467,399
"Bronx, NY HCS",1594,38,1440,116,7676,4813,86
"Boise, ID HCS",1589,33,1495,61,9527,6576,601
"Dayton, OH HCS",1588,18,1506,64,11069,7355,<10
"Salt Lake City, UT HCS",1583,24,1496,63,13748,8347,459
"Madison, WI HCS",1579,21,1480,78,14649,9195,598
"Ann Arbor, MI HCS",1545,30,1457,58,27459,21628,<10
"Baltimore, MD HCS",1538,38,1435,65,18946,13332,<10
"Dublin, GA HCS",1531,15,1467,49,10782,6570,<10
"Iowa City, IA HCS",1530,20,1432,78,9936,6635,<10
New Mexico HCS,1481,13,1380,88,16375,10946,16
"El Paso, TX HCS",1441,30,1306,105,8070,3706,<10
"Columbus, OH HCS",1421,36,1326,59,9188,5344,131
"Hampton, VA HCS",1415,31,1358,26,7523,4756,10
Northern Indiana HCS,1413,28,1323,62,10507,7220,201
Western New York HCS,1375,29,1269,77,19000,13221,22
"Puget Sound, WA HCS",1359,38,1266,55,28236,13627,17
"Fargo, ND HCS",1358,14,1233,111,12629,9818,22
"Lexington, KY HCS",1349,32,1224,93,12666,10368,<10
"Wichita, KS HCS",1343,20,1253,70,7019,4389,99
"Memphis, TN HCS",1314,21,1219,74,13574,9695,279
"Sioux Falls, SD HCS",1306,20,1212,74,8098,5993,306
Eastern Kansas HCS,1293,23,1234,36,11107,6958,461
"St. Cloud, MN HCS",1281,21,1204,56,12029,7261,593
"Amarillo, TX HCS",1273,11,1202,60,6536,4232,26
"Martinsburg, WV HCS",1249,31,1162,56,11455,5854,138
Central Iowa HCS,1240,22,1154,64,8418,5167,45
Montana HCS,1210,21,1138,51,8134,5322,98
"Portland, OR HCS",1176,23,1105,48,26551,17572,442
"Jackson, MS HCS",1171,15,1083,73,9943,6435,184
"Poplar Bluff, MO HCS",1142,8,1054,80,3353,2087,199
"Providence, RI HCS",1138,34,1025,79,10982,5708,<10
"Salem, VA HCS",1110,23,1016,71,8444,4879,231
"Alexandria, LA HCS",1105,19,1037,49,6882,4404,30
"San Juan, PR HCS",1051,15,988,48,24784,16194,<10
"Battle Creek, MI HCS",1049,24,958,67,9452,5631,994
"Wilkes-Barre, PA HCS",1024,29,933,62,11765,6089,499
"Reno, NV HCS",1023,17,943,63,8807,5960,297
"Black Hills, SD HCS",1022,6,978,38,7425,5584,<10
"Altoona, PA HCS",994,24,919,51,7941,5142,307
"Marion, IL HCS",982,13,915,54,5594,3378,<10
"Northport, NY HCS",974,38,872,64,10884,7712,<10
"Syracuse, NY HCS",950,19,871,60,10554,7057,50
"Wilmington, DE HCS",946,19,889,38,13203,8995,362
"Tomah, WI HCS",927,9,889,29,8927,5565,174
Northern Arizona HCS,860,9,807,44,8725,4030,<10
"Detroit, MI HCS",839,22,734,83,9183,4972,<10
"Huntington, WV HCS",832,18,748,66,8508,6125,95
"Danville, IL HCS",824,6,769,49,6547,4726,97
"Hudson Valley, NY HCS",816,15,766,35,10109,5969,253
"Bedford, MA HCS",790,8,735,47,15541,10829,<10
"Saginaw, MI HCS",769,25,696,48,8446,5208,398
"Finger Lakes, NY HCS",746,9,703,34,10094,6854,240
Central Western Massachusetts HCS,728,19,656,53,8441,4820,<10
"Erie, PA HCS",714,15,666,33,6598,4716,264
"Iron Mountain, MI HCS",696,9,658,29,7248,5447,194
"Tuscaloosa, AL HCS",689,6,645,38,4621,2902,<10
"Anchorage, AK HCS",688,13,664,11,4626,3274,562
"San Francisco, CA HCS",673,12,626,35,12475,8913,143
"Cheyenne, WY HCS",666,13,625,28,5928,3706,40
"Albany, NY HCS",639,18,581,40,8935,5793,387
"Chillicothe, OH HCS",629,18,594,17,7796,5069,302
"Manchester, NH HCS",592,12,550,30,6054,3732,385
"Big Spring, TX HCS",565,7,514,44,3764,2428,25
"Togus, ME HCS",551,20,506,25,9494,5396,599
"Butler, PA HCS",521,8,498,15,6316,4582,191
"Clarksburg, WV HCS",520,16,469,35,5843,4049,50
"Coatesville, PA HCS",467,11,434,22,5645,4479,201
"Grand Junction, CO HCS",461,9,425,27,5163,3439,135
"Walla Walla, WA HCS",413,9,379,25,4692,3076,258
"Sheridan, WY HCS",353,0,347,6,3537,2582,<10
"Honolulu, HI HCS",307,3,290,14,10870,6384,35
"Beckley, WV HCS",299,9,278,12,4437,2849,20
"Spokane, WA HCS",277,3,254,20,7147,1031,510
"Roseburg, OR HCS",258,11,237,10,6382,3132,<10
"White River Junction, VT HCS",234,6,218,10,7245,4412,61
"White City, OR HCS",227,10,196,21,4679,2910,<10
"Manila, PI HCS",2,0,2,0,<10,<10,<10
,0,0,0,0,774,692,<10
