Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,Dose 1 of 2 (Pfizer or Moderna),Dose 2 of 2 (Pfizer or Moderna),Dose 1 of 1 (Janssen)
"Dublin, GA HCS",1532,11,1472,49,11150,7062,<10
"Iowa City, IA HCS",1530,21,1431,78,10184,6986,0
New Mexico HCS,1484,11,1385,88,17257,11591,28
"El Paso, TX HCS",1441,28,1308,105,8209,3821,<10
"Columbus, OH HCS",1422,29,1334,59,9611,5651,136
"Hampton, VA HCS",1418,29,1363,26,7820,4957,201
Northern Indiana HCS,1414,28,1324,62,10776,7684,201
Western New York HCS,1379,25,1277,77,19423,13972,28
"Puget Sound, WA HCS",1361,35,1270,56,29433,15317,60
"Fargo, ND HCS",1360,14,1235,111,13195,10614,26
"Lexington, KY HCS",1350,30,1226,94,12836,10590,41
"Wichita, KS HCS",1343,17,1256,70,7081,4393,99
"Memphis, TN HCS",1315,21,1220,74,13940,9927,289
"Sioux Falls, SD HCS",1307,16,1217,74,8263,6248,327
Eastern Kansas HCS,1296,24,1236,36,11727,7167,461
"St. Cloud, MN HCS",1287,24,1207,56,12665,7899,595
"Amarillo, TX HCS",1273,11,1202,60,6600,4263,29
"Martinsburg, WV HCS",1253,32,1165,56,11960,6436,220
Central Iowa HCS,1249,20,1165,64,8727,5571,82
Montana HCS,1211,20,1140,51,8181,5430,135
"Portland, OR HCS",1176,20,1108,48,26703,18760,447
"Jackson, MS HCS",1174,14,1087,73,10092,6753,311
"Poplar Bluff, MO HCS",1143,9,1054,80,3582,2146,199
"Providence, RI HCS",1139,30,1030,79,11516,6232,12
"Salem, VA HCS",1112,20,1021,71,8866,5134,301
"Alexandria, LA HCS",1106,15,1042,49,7010,4460,45
"San Juan, PR HCS",1055,16,991,48,25610,16557,<10
"Battle Creek, MI HCS",1050,22,961,67,10104,5848,995
"Wilkes-Barre, PA HCS",1027,27,937,63,12268,6456,499
"Reno, NV HCS",1025,17,945,63,9075,6291,310
"Black Hills, SD HCS",1022,5,979,38,7495,5759,<10
"Altoona, PA HCS",996,24,921,51,8306,5412,308
"Marion, IL HCS",983,11,918,54,5829,3469,45
"Northport, NY HCS",976,32,880,64,11418,8212,<10
"Syracuse, NY HCS",950,18,872,60,10696,7215,60
"Wilmington, DE HCS",950,18,894,38,13557,9274,377
"Tomah, WI HCS",927,7,891,29,9100,5725,229
Northern Arizona HCS,864,10,810,44,9057,4871,<10
"Detroit, MI HCS",843,26,734,83,9464,5135,<10
"Huntington, WV HCS",833,17,750,66,8806,6203,98
"Danville, IL HCS",824,7,768,49,6733,4890,195
"Hudson Valley, NY HCS",818,16,767,35,10320,6574,294
"Bedford, MA HCS",790,7,736,47,15451,11004,<10
"Saginaw, MI HCS",771,19,704,48,8804,5469,405
"Finger Lakes, NY HCS",746,6,706,34,10098,7286,331
Central Western Massachusetts HCS,730,19,658,53,8857,4964,301
"Erie, PA HCS",715,12,670,33,6803,4819,284
"Iron Mountain, MI HCS",697,8,660,29,7338,5771,264
"Tuscaloosa, AL HCS",689,5,646,38,4782,2936,<10
"Anchorage, AK HCS",688,12,665,11,4749,3366,579
"San Francisco, CA HCS",675,13,627,35,12834,9373,303
"Cheyenne, WY HCS",668,15,625,28,5931,3706,40
"Albany, NY HCS",639,16,583,40,9168,6137,397
"Chillicothe, OH HCS",629,17,595,17,7954,5202,304
"Manchester, NH HCS",593,9,554,30,6523,4187,404
"Big Spring, TX HCS",565,5,516,44,3872,2446,70
"Togus, ME HCS",553,20,508,25,9663,5537,639
"Butler, PA HCS",523,8,500,15,6575,4706,201
"Clarksburg, WV HCS",520,13,472,35,5999,4218,50
"Coatesville, PA HCS",467,6,439,22,5937,4514,201
"Grand Junction, CO HCS",461,8,426,27,5247,3656,192
"Walla Walla, WA HCS",414,9,380,25,4823,3213,258
"Sheridan, WY HCS",353,0,347,6,3566,2614,<10
"Honolulu, HI HCS",307,2,291,14,11274,7310,133
"Beckley, WV HCS",299,9,278,12,4566,3103,40
"Spokane, WA HCS",277,2,255,20,7431,3687,515
"Roseburg, OR HCS",258,8,240,10,6683,3442,<10
"White River Junction, VT HCS",235,6,219,10,7643,4645,180
"White City, OR HCS",229,11,197,21,4850,3094,<10
"Manila, PI HCS",2,0,2,0,0,0,0
,0,0,0,0,773,707,0
