Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,Dose 1 of 2 (Pfizer or Moderna),Dose 2 of 2 (Pfizer or Moderna),Dose 1 of 1 (Janssen)
Texas Valley Coastal Bend HCS,2298,13,2132,153,12174,8276,558
"Muskogee, OK HCS",2255,13,2093,149,11686,8321,467
"Kansas City, MO HCS",2246,11,2138,97,20876,17323,1220
"Washington, DC HCS",2237,52,2067,118,23201,17678,858
Nebraska-W Iowa HCS,2215,43,2047,125,32749,27850,462
New Jersey HCS,2173,65,1959,149,15339,10310,370
"Miami, FL HCS",2161,41,2063,57,25441,20305,696
"Philadelphia, PA HCS",2118,75,1943,100,24353,18934,597
Southern Arizona HCS,2117,23,1931,163,22108,15646,1015
"Boston, MA HCS",2093,33,1929,131,20127,15771,243
"Columbia, MO HCS",2092,18,1938,136,14151,12448,329
"Oklahoma City, OK HCS",2073,25,1901,147,21163,17136,807
"Gulf Coast, MS HCS",2021,24,1911,86,19877,12572,1028
"Asheville, NC HCS",2020,32,1886,102,12566,9434,714
Connecticut HCS,2011,45,1869,97,26706,23630,14
"New Orleans, LA HCS",1982,16,1862,104,28171,25354,128
"Louisville, KY HCS",1979,27,1855,97,14415,9928,588
New York Harbor HCS,1958,58,1767,133,20675,17258,205
"Fayetteville, AR HCS",1947,26,1811,110,14059,9772,1123
"Richmond, VA HCS",1906,39,1779,88,23847,17446,443
"Chicago, IL HCS",1904,26,1791,87,19275,15222,263
"Lebanon, PA HCS",1902,52,1735,115,18562,13070,675
"Augusta, GA HCS",1815,11,1718,86,16991,14597,<10
"Palo Alto, CA HCS",1787,28,1664,95,24590,18463,664
"Cincinnati, OH HCS",1752,27,1668,57,13326,8973,525
Central Alabama HCS,1718,27,1631,60,11848,8031,<10
"West Palm Beach, FL HCS",1714,25,1618,71,25545,21687,534
"Pittsburgh, PA HCS",1707,41,1577,89,25066,20349,215
"Shreveport, LA HCS",1694,21,1571,102,11248,8309,731
"Ann Arbor, MI HCS",1644,71,1509,64,29225,26733,<10
"Salt Lake City, UT HCS",1639,31,1543,65,16006,11171,596
"Bronx, NY HCS",1633,30,1484,119,8357,6555,116
"Dayton, OH HCS",1633,30,1536,67,13255,9330,220
"Fresno, CA HCS",1621,16,1519,86,12105,8779,638
"Boise, ID HCS",1618,20,1536,62,11199,8308,710
"Madison, WI HCS",1617,21,1517,79,17279,13101,700
"Baltimore, MD HCS",1612,44,1500,68,22403,17684,12
"Iowa City, IA HCS",1566,25,1461,80,11411,8927,494
"Dublin, GA HCS",1558,13,1494,51,12799,8840,394
New Mexico HCS,1511,15,1406,90,22813,17392,866
"El Paso, TX HCS",1476,22,1348,106,9455,6146,<10
"Hampton, VA HCS",1467,27,1410,30,10668,6497,735
"Columbus, OH HCS",1464,27,1364,73,11641,8337,441
Northern Indiana HCS,1464,32,1369,63,12270,9743,469
Western New York HCS,1441,42,1318,81,21144,18668,73
"Puget Sound, WA HCS",1417,37,1323,57,34855,26053,556
"Fargo, ND HCS",1388,22,1255,111,16835,13914,106
"Lexington, KY HCS",1383,15,1273,95,14090,12370,271
"Wichita, KS HCS",1371,16,1284,71,8616,5984,99
"Sioux Falls, SD HCS",1360,39,1246,75,9226,7623,495
"Memphis, TN HCS",1343,15,1251,77,15389,12902,411
"St. Cloud, MN HCS",1333,34,1240,59,19296,13848,1146
"Martinsburg, WV HCS",1323,46,1219,58,14471,9589,508
Eastern Kansas HCS,1316,14,1264,38,13508,9232,573
"Amarillo, TX HCS",1290,13,1215,62,7097,5802,152
Central Iowa HCS,1277,22,1190,65,9822,7174,424
Montana HCS,1231,13,1165,53,10565,7385,295
"Portland, OR HCS",1210,13,1147,50,31377,25329,574
"Jackson, MS HCS",1193,12,1105,76,11112,8672,634
"Providence, RI HCS",1187,34,1073,80,13998,9911,20
"Poplar Bluff, MO HCS",1158,9,1068,81,3818,2957,329
"Salem, VA HCS",1136,15,1047,74,10844,7128,841
"Alexandria, LA HCS",1130,12,1069,49,8208,5875,104
"San Juan, PR HCS",1122,63,1009,50,29535,22579,500
"Battle Creek, MI HCS",1104,36,999,69,11962,7950,1051
"Wilkes-Barre, PA HCS",1084,43,974,67,14215,9420,564
"Reno, NV HCS",1049,9,973,67,10886,7893,538
"Black Hills, SD HCS",1040,9,993,38,7854,6972,131
"Northport, NY HCS",1040,47,926,67,12624,10471,<10
"Altoona, PA HCS",1034,22,959,53,10109,6915,418
"Marion, IL HCS",1000,10,934,56,6694,4713,508
"Wilmington, DE HCS",988,23,926,39,15502,12775,562
"Syracuse, NY HCS",978,18,898,62,12513,8941,76
"Tomah, WI HCS",938,5,904,29,10353,7370,412
"Detroit, MI HCS",914,54,775,85,11487,7534,69
Northern Arizona HCS,873,5,824,44,10144,7133,251
"Huntington, WV HCS",859,13,777,69,10292,7798,264
"Hudson Valley, NY HCS",850,19,796,35,11185,9112,516
"Saginaw, MI HCS",850,56,744,50,10731,7543,521
"Danville, IL HCS",843,10,782,51,7521,6120,206
"Bedford, MA HCS",804,8,748,48,16647,14620,<10
"Finger Lakes, NY HCS",772,14,723,35,11701,8489,446
Central Western Massachusetts HCS,755,14,688,53,10548,7236,624
"Erie, PA HCS",727,9,684,34,7804,5921,415
"Anchorage, AK HCS",719,16,690,13,5251,4223,621
"Iron Mountain, MI HCS",706,7,669,30,8262,7448,386
"Cheyenne, WY HCS",695,21,646,28,6978,5132,108
"Tuscaloosa, AL HCS",692,4,650,38,5403,3933,22
"San Francisco, CA HCS",687,7,643,37,14060,11613,699
"Albany, NY HCS",673,24,606,43,10460,7738,446
"Chillicothe, OH HCS",646,4,622,20,8739,6978,411
"Manchester, NH HCS",628,21,576,31,8452,5442,512
"Togus, ME HCS",589,20,543,26,13756,8575,1166
"Big Spring, TX HCS",573,4,524,45,4066,3325,258
"Clarksburg, WV HCS",545,15,491,39,6718,5432,137
"Butler, PA HCS",540,12,512,16,7353,5746,264
"Coatesville, PA HCS",487,10,455,22,7159,5299,309
"Grand Junction, CO HCS",471,4,440,27,5567,4780,247
"Walla Walla, WA HCS",420,4,390,26,5392,3999,454
"Sheridan, WY HCS",358,5,347,6,3851,3111,65
"Honolulu, HI HCS",322,12,296,14,12783,9966,605
"Beckley, WV HCS",313,11,289,13,5243,4053,85
"Spokane, WA HCS",280,1,258,21,8646,5565,524
"Roseburg, OR HCS",272,8,254,10,8312,4913,47
"White River Junction, VT HCS",262,14,237,11,8640,5883,483
"White City, OR HCS",243,12,208,23,5807,3984,30
"Manila, PI HCS",3,1,2,0,0,0,0
,0,0,0,0,781,754,0
