Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,Dose 1 of 2 (Pfizer or Moderna),Dose 2 of 2 (Pfizer or Moderna),Dose 1 of 1 (Janssen)
Central Alabama HCS,1685,22,1605,58,10377,5868,0
"West Palm Beach, FL HCS",1678,29,1583,66,23831,17511,50
"Pittsburgh, PA HCS",1660,27,1545,88,22961,17489,77
"Shreveport, LA HCS",1659,5,1555,99,9556,6294,589
"Fresno, CA HCS",1604,22,1497,85,10441,6702,490
"Bronx, NY HCS",1600,29,1454,117,7896,5761,107
"Salt Lake City, UT HCS",1599,26,1510,63,13554,8650,477
"Dayton, OH HCS",1595,16,1514,65,11986,7571,209
"Boise, ID HCS",1594,24,1509,61,9695,6950,697
"Madison, WI HCS",1591,16,1497,78,15399,9559,596
"Ann Arbor, MI HCS",1567,33,1474,60,27566,23871,0
"Baltimore, MD HCS",1563,37,1460,66,19760,14406,0
"Iowa City, IA HCS",1539,18,1442,79,10475,7511,0
"Dublin, GA HCS",1538,10,1479,49,11437,7397,271
New Mexico HCS,1495,13,1393,89,17129,11666,35
"El Paso, TX HCS",1446,14,1326,106,8562,4575,0
"Hampton, VA HCS",1431,21,1384,26,8242,5149,376
"Columbus, OH HCS",1428,23,1345,60,9572,5247,206
Northern Indiana HCS,1424,19,1343,62,10390,7470,395
Western New York HCS,1390,22,1289,79,17545,13890,0
"Puget Sound, WA HCS",1377,35,1286,56,29862,17205,72
"Lexington, KY HCS",1365,29,1242,94,12959,10718,115
"Fargo, ND HCS",1362,11,1240,111,10623,8523,0
"Wichita, KS HCS",1353,16,1267,70,8030,4523,99
"Memphis, TN HCS",1325,22,1229,74,13904,10283,290
"Sioux Falls, SD HCS",1316,13,1229,74,7746,6345,342
Eastern Kansas HCS,1299,15,1246,38,12510,7276,572
"St. Cloud, MN HCS",1295,22,1215,58,11771,7575,808
"Amarillo, TX HCS",1276,9,1206,61,5916,3908,47
"Martinsburg, WV HCS",1266,27,1183,56,11744,6527,259
Central Iowa HCS,1258,21,1173,64,9130,5880,83
Montana HCS,1216,11,1153,52,8276,5657,135
"Portland, OR HCS",1185,13,1124,48,27975,20898,464
"Jackson, MS HCS",1178,8,1096,74,10368,6835,574
"Providence, RI HCS",1152,31,1041,80,11328,6497,0
"Poplar Bluff, MO HCS",1150,13,1057,80,3580,2144,199
"Salem, VA HCS",1120,16,1033,71,8639,4742,427
"Alexandria, LA HCS",1112,12,1051,49,7026,4302,64
"San Juan, PR HCS",1065,24,993,48,25572,17092,435
"Battle Creek, MI HCS",1063,26,970,67,10272,6079,993
"Wilkes-Barre, PA HCS",1043,32,946,65,12261,6418,497
"Reno, NV HCS",1034,18,953,63,8838,5954,491
"Black Hills, SD HCS",1025,5,982,38,7063,5702,70
"Altoona, PA HCS",1003,20,931,52,8814,5297,400
"Marion, IL HCS",988,7,926,55,6130,3718,174
"Northport, NY HCS",984,28,891,65,11580,8928,0
"Wilmington, DE HCS",959,19,902,38,13756,9947,385
"Syracuse, NY HCS",955,13,882,60,11247,7859,63
"Tomah, WI HCS",932,5,898,29,8722,5554,383
Northern Arizona HCS,867,11,812,44,9096,5588,0
"Detroit, MI HCS",855,23,748,84,9538,5348,0
"Huntington, WV HCS",842,16,759,67,8568,6027,145
"Danville, IL HCS",830,7,774,49,6520,4676,197
"Hudson Valley, NY HCS",829,20,774,35,10197,7080,430
"Bedford, MA HCS",792,12,733,47,15199,11560,0
"Saginaw, MI HCS",782,22,711,49,8944,5460,397
"Finger Lakes, NY HCS",759,14,710,35,10737,7281,387
Central Western Massachusetts HCS,739,12,674,53,8290,4268,290
"Erie, PA HCS",717,10,674,33,6877,4639,376
"Iron Mountain, MI HCS",699,10,660,29,6976,5820,288
"Anchorage, AK HCS",691,9,671,11,4221,3021,582
"Tuscaloosa, AL HCS",689,0,651,38,4818,3080,0
"San Francisco, CA HCS",679,10,633,36,12624,9496,507
"Cheyenne, WY HCS",674,11,635,28,5992,4198,40
"Albany, NY HCS",646,15,590,41,9591,6367,396
"Chillicothe, OH HCS",636,9,610,17,8041,5154,298
"Manchester, NH HCS",599,8,560,31,6799,3936,394
"Big Spring, TX HCS",565,4,516,45,3890,2415,171
"Togus, ME HCS",558,16,516,26,8951,4682,749
"Butler, PA HCS",527,10,502,15,6465,4542,200
"Clarksburg, WV HCS",524,8,478,38,5934,4438,90
"Coatesville, PA HCS",470,9,439,22,6057,4490,200
"Grand Junction, CO HCS",466,7,432,27,4937,3911,189
"Walla Walla, WA HCS",414,5,384,25,4858,3388,444
"Sheridan, WY HCS",354,0,348,6,2909,2281,16
"Honolulu, HI HCS",308,3,291,14,9859,6268,428
"Beckley, WV HCS",303,10,281,12,4239,3047,40
"Spokane, WA HCS",278,2,256,20,7866,4225,519
"Roseburg, OR HCS",260,5,245,10,7096,3575,11
"White River Junction, VT HCS",242,5,226,11,7654,4537,178
"White City, OR HCS",229,7,200,22,5164,3052,0
"Manila, PI HCS",2,0,2,0,0,0,0
,0,0,0,0,140738,101270,1568
