Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,Dose 1 of 2 (Pfizer or Moderna),Dose 2 of 2 (Pfizer or Moderna),Dose 1 of 1 (Janssen)
"Fayetteville, NC HCS",2378,48,2257,73,23283,18031,540
"Hines, IL HCS",2378,52,2235,91,25594,20162,495
"St. Louis, MO HCS",2333,38,2208,87,24239,18949,53
"Durham, NC HCS",2314,43,2171,100,27981,22441,943
Texas Valley Coastal Bend HCS,2298,13,2132,153,12251,8483,599
"Muskogee, OK HCS",2258,16,2093,149,11741,8802,468
"Kansas City, MO HCS",2249,13,2139,97,20978,17654,1227
"Washington, DC HCS",2245,58,2069,118,23651,17710,860
Nebraska-W Iowa HCS,2217,43,2049,125,33025,28349,470
New Jersey HCS,2190,80,1961,149,15573,10369,437
"Miami, FL HCS",2164,43,2064,57,25622,21059,696
Southern Arizona HCS,2125,29,1933,163,22348,15903,1017
"Philadelphia, PA HCS",2121,79,1942,100,24617,19182,597
"Boston, MA HCS",2096,35,1930,131,20327,15876,256
"Columbia, MO HCS",2092,17,1939,136,14171,12681,340
"Oklahoma City, OK HCS",2077,27,1903,147,21397,17629,808
"Gulf Coast, MS HCS",2026,29,1911,86,20118,13332,1032
"Asheville, NC HCS",2023,34,1887,102,12598,9564,714
Connecticut HCS,2013,46,1870,97,26952,23802,15
"New Orleans, LA HCS",1983,17,1862,104,28251,25536,132
"Louisville, KY HCS",1981,29,1855,97,14675,10124,616
New York Harbor HCS,1960,58,1768,134,20851,17673,211
"Fayetteville, AR HCS",1954,31,1813,110,14260,10361,1172
"Richmond, VA HCS",1912,42,1782,88,24279,17954,443
"Lebanon, PA HCS",1910,59,1736,115,18709,13387,676
"Chicago, IL HCS",1907,28,1792,87,19426,15473,275
"Augusta, GA HCS",1819,14,1719,86,17104,14939,<10
"Palo Alto, CA HCS",1787,29,1663,95,24618,19816,711
"Cincinnati, OH HCS",1752,26,1669,57,13429,9835,524
Central Alabama HCS,1717,25,1631,61,11976,8163,<10
"West Palm Beach, FL HCS",1717,28,1618,71,25659,22324,559
"Pittsburgh, PA HCS",1710,42,1579,89,25222,20716,254
"Shreveport, LA HCS",1698,24,1572,102,11368,8336,739
"Ann Arbor, MI HCS",1650,77,1509,64,29306,26931,<10
"Salt Lake City, UT HCS",1640,33,1542,65,16162,11373,601
"Bronx, NY HCS",1637,33,1485,119,8425,6738,116
"Dayton, OH HCS",1636,32,1537,67,13379,9567,247
"Fresno, CA HCS",1623,17,1520,86,12198,8915,663
"Boise, ID HCS",1620,22,1536,62,11313,8399,710
"Baltimore, MD HCS",1619,50,1500,69,22525,18079,12
"Madison, WI HCS",1619,22,1518,79,17376,13426,890
"Iowa City, IA HCS",1568,25,1463,80,12258,9015,494
"Dublin, GA HCS",1560,15,1494,51,12866,9164,426
New Mexico HCS,1512,15,1407,90,23672,18822,1064
"El Paso, TX HCS",1478,23,1349,106,9504,6267,<10
"Hampton, VA HCS",1470,29,1411,30,10947,6605,774
"Columbus, OH HCS",1467,30,1364,73,11762,8544,565
Northern Indiana HCS,1467,35,1369,63,12373,9880,469
Western New York HCS,1446,43,1322,81,21309,19068,79
"Puget Sound, WA HCS",1430,50,1323,57,35478,26779,578
"Fargo, ND HCS",1394,28,1255,111,17071,14169,118
"Lexington, KY HCS",1385,14,1276,95,14138,12478,283
"Wichita, KS HCS",1371,16,1284,71,8638,6204,125
"Sioux Falls, SD HCS",1363,42,1246,75,9300,7741,503
"Memphis, TN HCS",1346,18,1251,77,15444,13153,410
"St. Cloud, MN HCS",1338,37,1242,59,19843,14722,1178
"Martinsburg, WV HCS",1336,57,1221,58,14704,9820,507
Eastern Kansas HCS,1317,16,1263,38,13609,9473,573
"Amarillo, TX HCS",1293,15,1216,62,7127,6007,169
Central Iowa HCS,1278,21,1192,65,9913,7252,424
Montana HCS,1231,13,1165,53,10581,7594,296
"Portland, OR HCS",1216,18,1148,50,31752,25387,576
"Jackson, MS HCS",1193,12,1105,76,11143,8891,739
"Providence, RI HCS",1191,36,1075,80,14154,10223,23
"Poplar Bluff, MO HCS",1160,11,1068,81,3809,2942,328
"Salem, VA HCS",1136,15,1047,74,10985,7484,845
"Alexandria, LA HCS",1132,13,1070,49,8264,6148,106
"San Juan, PR HCS",1125,66,1009,50,29610,22728,506
"Battle Creek, MI HCS",1109,41,999,69,12071,8131,1153
"Wilkes-Barre, PA HCS",1086,45,974,67,14286,9802,642
"Reno, NV HCS",1051,11,973,67,10988,8333,544
"Northport, NY HCS",1046,52,927,67,12696,10669,<10
"Black Hills, SD HCS",1040,9,993,38,7883,7125,144
"Altoona, PA HCS",1036,24,959,53,10181,7101,420
"Marion, IL HCS",1004,13,935,56,6740,4870,523
"Wilmington, DE HCS",990,23,928,39,15662,13136,569
"Syracuse, NY HCS",984,23,899,62,13110,9612,76
"Tomah, WI HCS",938,5,904,29,10734,8360,413
"Detroit, MI HCS",917,55,777,85,11720,7773,130
Northern Arizona HCS,874,6,824,44,10175,7193,262
"Huntington, WV HCS",860,13,778,69,10353,7933,268
"Saginaw, MI HCS",859,64,745,50,10819,7779,522
"Hudson Valley, NY HCS",852,21,796,35,11274,9292,517
"Danville, IL HCS",847,14,782,51,7681,6191,206
"Bedford, MA HCS",807,9,750,48,16819,14972,<10
"Finger Lakes, NY HCS",777,19,723,35,12026,9115,445
Central Western Massachusetts HCS,756,15,688,53,10739,7654,632
"Erie, PA HCS",728,10,684,34,7864,5955,415
"Anchorage, AK HCS",723,19,691,13,5284,4364,623
"Iron Mountain, MI HCS",706,7,669,30,8306,7563,413
"Cheyenne, WY HCS",693,20,645,28,6986,5403,119
"Tuscaloosa, AL HCS",692,4,650,38,5439,4066,42
"San Francisco, CA HCS",688,7,644,37,14196,11808,780
"Albany, NY HCS",673,25,605,43,10507,7850,612
"Chillicothe, OH HCS",647,4,623,20,8782,7162,427
"Manchester, NH HCS",630,23,576,31,8829,5466,563
"Togus, ME HCS",593,23,544,26,14782,8852,1170
"Big Spring, TX HCS",574,5,524,45,4079,3333,324
"Clarksburg, WV HCS",547,15,492,40,6759,5459,185
"Butler, PA HCS",542,14,512,16,7382,5855,309
"Coatesville, PA HCS",491,12,457,22,7259,5303,348
"Grand Junction, CO HCS",472,5,440,27,5577,4865,252
"Walla Walla, WA HCS",422,6,390,26,5528,4222,453
"Sheridan, WY HCS",358,5,347,6,3875,3194,104
"Honolulu, HI HCS",326,16,296,14,12929,10531,674
"Beckley, WV HCS",315,12,290,13,5274,4163,85
"Spokane, WA HCS",279,1,257,21,8780,5886,524
"Roseburg, OR HCS",273,9,254,10,8450,5028,48
"White River Junction, VT HCS",264,16,237,11,8674,6493,482
"White City, OR HCS",246,15,208,23,5820,4008,41
"Manila, PI HCS",3,1,2,0,0,0,0
,0,0,0,0,781,754,0
