Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,InitialVaccineVeteranTotal,CompletedVaccineVeteranTotal
"Cheyenne, WY HCS",626,16,586,24,2366,479
"San Francisco, CA HCS",610,31,548,31,3085,127
"Anchorage, AK HCS",604,13,580,11,2430,205
"Chillicothe, OH HCS",558,21,524,13,3580,890
"Albany, NY HCS",545,41,469,35,2533,73
"Big Spring, TX HCS",530,14,475,41,1846,400
"Manchester, NH HCS",517,28,465,24,1515,258
"Butler, PA HCS",476,15,446,15,2647,865
"Togus, ME HCS",467,39,409,19,1893,305
"Clarksburg, WV HCS",431,33,374,24,2943,480
"Grand Junction, CO HCS",423,26,377,20,2189,321
"Coatesville, PA HCS",419,15,386,18,2552,662
"Walla Walla, WA HCS",373,5,346,22,2347,406
"Sheridan, WY HCS",340,6,328,6,1376,194
"Honolulu, HI HCS",286,3,271,12,2917,465
"Spokane, WA HCS",256,3,233,20,1519,0
"Beckley, WV HCS",255,11,234,10,1702,179
"Roseburg, OR HCS",203,13,183,7,1926,36
"White City, OR HCS",194,8,166,20,1769,151
"White River Junction, VT HCS",192,18,168,6,1890,70
"Manila, PI HCS",2,0,2,0,0,0
