Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,Dose 1 of 2 (Pfizer or Moderna),Dose 2 of 2 (Pfizer or Moderna),Dose 1 of 1 (Janssen)
Central Iowa HCS,1270,24,1181,65,9678,6722,414
Montana HCS,1222,10,1160,52,9944,7183,217
"Portland, OR HCS",1198,14,1136,48,30812,24096,486
"Jackson, MS HCS",1188,13,1099,76,10912,8198,616
"Providence, RI HCS",1174,36,1058,80,13522,8619,19
"Poplar Bluff, MO HCS",1158,14,1064,80,3724,2721,329
"Salem, VA HCS",1131,16,1041,74,10426,6378,834
"Alexandria, LA HCS",1124,16,1059,49,7937,5561,97
"San Juan, PR HCS",1109,56,1004,49,28592,20447,491
"Battle Creek, MI HCS",1088,43,977,68,11532,7246,999
"Wilkes-Barre, PA HCS",1072,46,961,65,13926,8684,500
"Reno, NV HCS",1041,15,961,65,10487,7350,527
"Black Hills, SD HCS",1037,10,989,38,7772,6784,87
"Altoona, PA HCS",1024,27,944,53,9840,6336,418
"Northport, NY HCS",1023,43,914,66,12447,9849,<10
"Marion, IL HCS",998,12,931,55,6538,4357,459
"Wilmington, DE HCS",978,26,914,38,14983,11921,524
"Syracuse, NY HCS",972,21,889,62,12258,8799,72
"Tomah, WI HCS",937,8,900,29,10123,7117,407
"Detroit, MI HCS",890,44,762,84,10982,7034,68
Northern Arizona HCS,871,11,816,44,9881,6653,245
"Huntington, WV HCS",855,15,772,68,9958,7403,251
"Hudson Valley, NY HCS",843,25,783,35,10995,8504,511
"Danville, IL HCS",840,12,777,51,7364,5526,203
"Saginaw, MI HCS",822,50,723,49,10328,7033,418
"Bedford, MA HCS",802,12,743,47,15931,13553,<10
"Finger Lakes, NY HCS",766,13,718,35,11541,8236,406
Central Western Massachusetts HCS,748,17,678,53,10374,6313,623
"Erie, PA HCS",722,9,680,33,7646,5477,395
"Anchorage, AK HCS",708,20,677,11,5138,3891,597
"Iron Mountain, MI HCS",703,11,663,29,8101,7196,351
"Tuscaloosa, AL HCS",692,4,650,38,5292,3659,<10
"Cheyenne, WY HCS",687,19,640,28,6727,4869,93
"San Francisco, CA HCS",684,9,638,37,13795,11088,686
"Albany, NY HCS",662,23,596,43,10226,7415,445
"Chillicothe, OH HCS",643,9,614,20,8574,6550,351
"Manchester, NH HCS",619,24,564,31,8421,5220,428
"Togus, ME HCS",582,26,530,26,13243,7952,901
"Big Spring, TX HCS",570,7,518,45,4021,2916,257
"Clarksburg, WV HCS",540,20,482,38,6570,5252,127
"Butler, PA HCS",539,16,508,15,7194,5371,231
"Coatesville, PA HCS",477,11,444,22,6832,4991,202
"Grand Junction, CO HCS",470,9,434,27,5454,4542,226
"Walla Walla, WA HCS",418,4,389,25,5270,3796,452
"Sheridan, WY HCS",357,4,347,6,3769,2993,29
"Honolulu, HI HCS",315,9,292,14,12514,9406,490
"Beckley, WV HCS",313,15,285,13,5130,3863,59
"Spokane, WA HCS",280,4,255,21,8386,5047,524
"Roseburg, OR HCS",268,10,248,10,8067,4535,32
"White River Junction, VT HCS",255,13,231,11,8388,5351,478
"White City, OR HCS",236,10,204,22,5717,3627,<10
"Manila, PI HCS",3,1,2,0,0,0,0
,0,0,0,0,778,741,0
