Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,Dose 1 of 2 (Pfizer or Moderna),Dose 2 of 2 (Pfizer or Moderna),Dose 1 of 1 (Janssen)
"Cincinnati, OH HCS",1749,24,1669,56,13312,8959,523
Central Alabama HCS,1711,26,1625,60,11755,7634,<10
"West Palm Beach, FL HCS",1708,21,1617,70,25449,21265,484
"Pittsburgh, PA HCS",1699,34,1576,89,24932,20022,188
"Shreveport, LA HCS",1693,21,1570,102,11204,8271,731
"Salt Lake City, UT HCS",1637,34,1538,65,15905,10999,559
"Bronx, NY HCS",1631,31,1481,119,8326,6441,115
"Ann Arbor, MI HCS",1630,64,1502,64,29114,26547,<10
"Dayton, OH HCS",1628,28,1533,67,13154,9147,220
"Fresno, CA HCS",1620,17,1517,86,12006,8632,600
"Boise, ID HCS",1615,18,1536,61,11112,8275,711
"Madison, WI HCS",1614,20,1515,79,17162,12783,661
"Baltimore, MD HCS",1604,41,1495,68,22220,17306,<10
"Iowa City, IA HCS",1563,24,1459,80,11240,8726,494
"Dublin, GA HCS",1554,15,1488,51,12729,8597,393
New Mexico HCS,1507,11,1406,90,22380,16999,798
"El Paso, TX HCS",1469,17,1346,106,9380,5923,<10
"Hampton, VA HCS",1463,26,1408,29,10427,6404,734
"Columbus, OH HCS",1459,25,1361,73,11492,8101,363
Northern Indiana HCS,1455,27,1366,62,12154,9556,465
Western New York HCS,1434,39,1315,80,21113,18481,72
"Puget Sound, WA HCS",1410,35,1318,57,34202,25459,455
"Fargo, ND HCS",1384,19,1254,111,16518,13556,82
"Lexington, KY HCS",1380,17,1268,95,14036,12116,246
"Wichita, KS HCS",1368,14,1283,71,8548,5771,99
"Sioux Falls, SD HCS",1346,29,1242,75,9126,7604,486
"Memphis, TN HCS",1341,17,1247,77,15339,12645,316
"St. Cloud, MN HCS",1326,35,1232,59,18823,13326,1078
"Martinsburg, WV HCS",1313,43,1212,58,14153,9400,457
Eastern Kansas HCS,1312,14,1260,38,13421,8990,572
"Amarillo, TX HCS",1285,9,1214,62,7032,5642,143
Central Iowa HCS,1276,23,1188,65,9762,7052,424
Montana HCS,1226,10,1163,53,10415,7352,286
"Portland, OR HCS",1206,14,1143,49,30974,25275,574
"Jackson, MS HCS",1190,9,1105,76,11042,8507,621
"Providence, RI HCS",1181,30,1071,80,13901,9664,19
"Poplar Bluff, MO HCS",1157,12,1064,81,3816,2954,329
"Salem, VA HCS",1133,15,1044,74,10713,6888,839
"Alexandria, LA HCS",1126,10,1067,49,8004,5785,103
"San Juan, PR HCS",1115,56,1009,50,29242,21743,500
"Battle Creek, MI HCS",1097,35,993,69,11867,7752,999
"Wilkes-Barre, PA HCS",1077,39,971,67,14130,9171,503
"Reno, NV HCS",1046,13,966,67,10791,7697,533
"Black Hills, SD HCS",1037,7,992,38,7826,6882,88
"Northport, NY HCS",1034,48,919,67,12567,10260,<10
"Altoona, PA HCS",1027,21,953,53,10022,6700,418
"Marion, IL HCS",1000,10,934,56,6636,4577,459
"Wilmington, DE HCS",982,20,923,39,15404,12279,547
"Syracuse, NY HCS",975,18,895,62,12444,8938,76
"Tomah, WI HCS",938,7,902,29,10248,7279,409
"Detroit, MI HCS",910,54,771,85,11267,7305,68
Northern Arizona HCS,870,2,824,44,10046,6948,249
"Huntington, WV HCS",855,12,774,69,10159,7648,261
"Hudson Valley, NY HCS",849,19,795,35,11114,8920,512
"Danville, IL HCS",840,7,782,51,7461,5890,205
"Saginaw, MI HCS",840,58,732,50,10662,7316,520
"Bedford, MA HCS",805,9,748,48,16064,13959,<10
"Finger Lakes, NY HCS",769,14,720,35,11544,8448,406
Central Western Massachusetts HCS,749,11,685,53,10604,7278,624
"Erie, PA HCS",725,8,683,34,7783,5636,415
"Anchorage, AK HCS",714,13,688,13,5186,4164,597
"Iron Mountain, MI HCS",704,6,668,30,8242,7328,384
"Cheyenne, WY HCS",693,19,646,28,6896,5050,103
"Tuscaloosa, AL HCS",693,4,651,38,5370,3840,<10
"San Francisco, CA HCS",686,7,642,37,13989,11462,689
"Albany, NY HCS",663,19,601,43,10394,7633,445
"Chillicothe, OH HCS",645,5,620,20,8612,6758,375
"Manchester, NH HCS",623,18,574,31,8752,5514,431
"Togus, ME HCS",587,21,540,26,13791,8096,1135
"Big Spring, TX HCS",572,3,524,45,4055,3172,257
"Clarksburg, WV HCS",543,19,486,38,6670,5391,127
"Butler, PA HCS",540,12,512,16,7297,5617,264
"Coatesville, PA HCS",483,7,454,22,7073,5292,202
"Grand Junction, CO HCS",471,5,439,27,5546,4696,232
"Walla Walla, WA HCS",419,4,390,25,5343,3964,452
"Sheridan, WY HCS",357,4,347,6,3786,3068,53
"Honolulu, HI HCS",320,10,296,14,12652,9760,552
"Beckley, WV HCS",313,12,288,13,5212,3995,85
"Spokane, WA HCS",280,1,258,21,8554,5394,524
"Roseburg, OR HCS",272,8,254,10,8302,4692,41
"White River Junction, VT HCS",256,9,236,11,8575,5674,477
"White City, OR HCS",241,11,207,23,5792,3840,24
"Manila, PI HCS",3,1,2,0,0,0,0
,0,0,0,0,780,743,0
