Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,Dose 1 of 2 (Pfizer or Moderna),Dose 2 of 2 (Pfizer or Moderna),Dose 1 of 1 (Janssen)
"Boston, MA HCS",2086,38,1917,131,19989,15673,234
"Oklahoma City, OK HCS",2067,22,1898,147,20802,16520,807
"Gulf Coast, MS HCS",2014,25,1903,86,19673,12005,1026
"Asheville, NC HCS",2009,35,1872,102,12458,9041,705
Connecticut HCS,1998,39,1862,97,26514,23426,14
"New Orleans, LA HCS",1980,19,1857,104,28059,25223,125
"Louisville, KY HCS",1975,26,1852,97,14185,9745,569
New York Harbor HCS,1950,66,1753,131,20539,16988,194
"Fayetteville, AR HCS",1939,19,1811,109,13839,9533,1122
"Richmond, VA HCS",1898,36,1775,87,23567,16969,443
"Chicago, IL HCS",1896,21,1790,85,19077,15036,250
"Lebanon, PA HCS",1888,47,1726,115,18423,12712,675
"Augusta, GA HCS",1810,12,1712,86,16877,14198,<10
"Palo Alto, CA HCS",1780,27,1658,95,24545,18001,609
"Cincinnati, OH HCS",1748,26,1666,56,13312,8959,523
Central Alabama HCS,1708,24,1624,60,11755,7634,<10
"West Palm Beach, FL HCS",1707,22,1615,70,25449,21265,484
"Pittsburgh, PA HCS",1697,33,1575,89,24932,20022,188
"Shreveport, LA HCS",1692,21,1570,101,11204,8271,731
"Salt Lake City, UT HCS",1634,35,1534,65,15905,10999,559
"Bronx, NY HCS",1626,28,1480,118,8326,6441,115
"Ann Arbor, MI HCS",1625,63,1499,63,29114,26547,<10
"Dayton, OH HCS",1624,28,1529,67,13154,9147,220
"Fresno, CA HCS",1620,18,1516,86,12006,8632,600
"Boise, ID HCS",1614,19,1534,61,11112,8275,711
"Madison, WI HCS",1611,19,1513,79,17162,12783,661
"Baltimore, MD HCS",1599,48,1483,68,22220,17306,<10
"Iowa City, IA HCS",1557,21,1456,80,11240,8726,494
"Dublin, GA HCS",1553,15,1487,51,12729,8597,393
New Mexico HCS,1505,10,1405,90,22380,16999,798
"El Paso, TX HCS",1469,20,1343,106,9380,5923,<10
"Hampton, VA HCS",1460,26,1407,27,10427,6404,734
"Columbus, OH HCS",1458,25,1360,73,11492,8101,363
Northern Indiana HCS,1452,29,1361,62,12154,9556,465
Western New York HCS,1432,41,1311,80,21113,18481,72
"Puget Sound, WA HCS",1406,38,1311,57,34202,25459,455
"Fargo, ND HCS",1382,19,1252,111,16518,13556,82
"Lexington, KY HCS",1379,18,1266,95,14036,12116,246
"Wichita, KS HCS",1367,16,1280,71,8548,5771,99
"Sioux Falls, SD HCS",1343,31,1237,75,9126,7604,486
"Memphis, TN HCS",1340,20,1243,77,15339,12645,316
"St. Cloud, MN HCS",1326,37,1230,59,18823,13326,1078
Eastern Kansas HCS,1312,15,1259,38,13421,8990,572
"Martinsburg, WV HCS",1308,40,1211,57,14153,9400,457
"Amarillo, TX HCS",1284,9,1214,61,7032,5642,143
Central Iowa HCS,1275,27,1183,65,9762,7052,424
Montana HCS,1223,9,1161,53,10415,7352,286
"Portland, OR HCS",1206,16,1141,49,30974,25275,574
"Jackson, MS HCS",1189,10,1103,76,11042,8507,621
"Providence, RI HCS",1178,31,1067,80,13901,9664,19
"Poplar Bluff, MO HCS",1157,12,1064,81,3816,2954,329
"Salem, VA HCS",1133,16,1043,74,10713,6888,839
"Alexandria, LA HCS",1126,12,1065,49,8004,5785,103
"San Juan, PR HCS",1114,57,1007,50,29242,21743,500
"Battle Creek, MI HCS",1090,36,985,69,11867,7752,999
"Wilkes-Barre, PA HCS",1076,42,968,66,14130,9171,503
"Reno, NV HCS",1045,13,966,66,10791,7697,533
"Black Hills, SD HCS",1037,8,991,38,7826,6882,88
"Northport, NY HCS",1031,47,917,67,12567,10260,<10
"Altoona, PA HCS",1026,24,949,53,10022,6700,418
"Marion, IL HCS",998,9,933,56,6636,4577,459
"Wilmington, DE HCS",981,24,918,39,15404,12279,547
"Syracuse, NY HCS",973,19,892,62,12444,8938,76
"Tomah, WI HCS",938,7,902,29,10248,7279,409
"Detroit, MI HCS",904,51,769,84,11267,7305,68
Northern Arizona HCS,870,4,822,44,10046,6948,249
"Huntington, WV HCS",855,12,774,69,10159,7648,261
"Hudson Valley, NY HCS",849,22,792,35,11114,8920,512
"Danville, IL HCS",840,8,781,51,7461,5890,205
"Saginaw, MI HCS",825,48,728,49,10662,7316,520
"Bedford, MA HCS",805,11,746,48,16064,13959,<10
"Finger Lakes, NY HCS",767,12,720,35,11544,8448,406
Central Western Massachusetts HCS,749,15,681,53,10604,7278,624
"Erie, PA HCS",725,8,684,33,7783,5636,415
"Anchorage, AK HCS",711,15,683,13,5186,4164,597
"Iron Mountain, MI HCS",704,5,669,30,8242,7328,384
"Tuscaloosa, AL HCS",693,4,651,38,5370,3840,<10
"Cheyenne, WY HCS",691,20,643,28,6896,5050,103
"San Francisco, CA HCS",685,8,640,37,13989,11462,689
"Albany, NY HCS",662,20,599,43,10394,7633,445
"Chillicothe, OH HCS",643,7,616,20,8612,6758,375
"Manchester, NH HCS",620,20,569,31,8752,5514,431
"Togus, ME HCS",584,24,534,26,13791,8096,1135
"Big Spring, TX HCS",571,3,523,45,4055,3172,257
"Clarksburg, WV HCS",542,20,484,38,6670,5391,127
"Butler, PA HCS",540,14,510,16,7297,5617,264
"Coatesville, PA HCS",481,7,452,22,7073,5292,202
"Grand Junction, CO HCS",470,7,436,27,5546,4696,232
"Walla Walla, WA HCS",418,4,389,25,5343,3964,452
"Sheridan, WY HCS",357,4,347,6,3786,3068,53
"Honolulu, HI HCS",317,8,295,14,12652,9760,552
"Beckley, WV HCS",313,12,288,13,5212,3995,85
"Spokane, WA HCS",281,3,257,21,8554,5394,524
"Roseburg, OR HCS",271,8,253,10,8302,4692,41
"White River Junction, VT HCS",255,12,232,11,8575,5674,477
"White City, OR HCS",240,12,205,23,5792,3840,24
"Manila, PI HCS",3,1,2,0,0,0,0
,0,0,0,0,780,743,0
