Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,Dose 1 of 2 (Pfizer or Moderna),Dose 2 of 2 (Pfizer or Moderna),Dose 1 of 1 (Janssen)
Southern Arizona HCS,2095,14,1920,161,19756,13105,587
"Columbia, MO HCS",2074,17,1923,134,13832,11493,208
"Boston, MA HCS",2054,30,1894,130,18952,13611,100
"Oklahoma City, OK HCS",2051,18,1887,146,19278,13447,703
"Philadelphia, PA HCS",2047,49,1901,97,21731,16697,504
"Gulf Coast, MS HCS",1997,26,1887,84,17620,8502,983
"Asheville, NC HCS",1990,29,1861,100,11243,7024,694
Connecticut HCS,1963,38,1830,95,25653,21474,<10
"New Orleans, LA HCS",1960,18,1840,102,27598,24257,118
"Louisville, KY HCS",1954,20,1839,95,12653,8615,444
"Fayetteville, AR HCS",1920,15,1798,107,12289,7665,1072
New York Harbor HCS,1901,57,1714,130,19713,15394,105
"Chicago, IL HCS",1879,16,1779,84,18200,12398,186
"Richmond, VA HCS",1868,34,1747,87,21527,14087,12
"Lebanon, PA HCS",1850,40,1695,115,17344,9115,671
"Augusta, GA HCS",1796,18,1693,85,16131,11931,<10
"Palo Alto, CA HCS",1756,22,1640,94,22910,15585,445
"Cincinnati, OH HCS",1728,25,1647,56,12442,7598,366
Central Alabama HCS,1690,26,1606,58,11145,6352,<10
"West Palm Beach, FL HCS",1684,33,1585,66,24758,18503,67
"Pittsburgh, PA HCS",1668,29,1551,88,23695,18015,95
"Shreveport, LA HCS",1665,11,1555,99,10147,6603,598
"Fresno, CA HCS",1605,23,1497,85,11263,7387,536
"Salt Lake City, UT HCS",1605,27,1515,63,14959,9856,494
"Bronx, NY HCS",1603,27,1459,117,8056,5971,111
"Dayton, OH HCS",1600,17,1518,65,12437,7884,216
"Boise, ID HCS",1597,18,1518,61,10407,7478,706
"Madison, WI HCS",1594,16,1499,79,16238,10383,600
"Ann Arbor, MI HCS",1573,33,1480,60,28345,24774,<10
"Baltimore, MD HCS",1566,36,1464,66,20359,15134,<10
"Dublin, GA HCS",1545,14,1482,49,11890,7786,283
"Iowa City, IA HCS",1539,17,1443,79,10561,7678,0
New Mexico HCS,1498,12,1396,90,19541,13500,188
"El Paso, TX HCS",1448,13,1329,106,8851,4823,<10
"Hampton, VA HCS",1435,20,1389,26,8729,5466,428
Northern Indiana HCS,1435,26,1347,62,11436,8369,402
"Columbus, OH HCS",1433,23,1350,60,10643,6204,237
Western New York HCS,1394,26,1289,79,20228,16483,45
"Puget Sound, WA HCS",1384,32,1296,56,32038,19348,133
"Lexington, KY HCS",1368,25,1248,95,13553,11187,165
"Fargo, ND HCS",1362,10,1241,111,14053,11385,33
"Wichita, KS HCS",1353,12,1271,70,8152,4577,99
"Memphis, TN HCS",1326,18,1234,74,14350,10798,296
"Sioux Falls, SD HCS",1322,18,1230,74,8602,6965,356
"St. Cloud, MN HCS",1301,25,1218,58,14843,9628,865
Eastern Kansas HCS,1300,12,1250,38,12629,7536,572
"Amarillo, TX HCS",1279,11,1207,61,6796,4516,57
"Martinsburg, WV HCS",1270,22,1192,56,12932,7562,279
Central Iowa HCS,1259,18,1176,65,9224,6062,83
Montana HCS,1217,9,1156,52,9347,6234,157
"Portland, OR HCS",1187,14,1125,48,28873,22423,480
"Jackson, MS HCS",1178,7,1096,75,10502,7060,580
"Providence, RI HCS",1153,26,1047,80,12571,7299,17
"Poplar Bluff, MO HCS",1150,12,1058,80,3716,2141,199
"Salem, VA HCS",1122,17,1034,71,9716,5495,465
"Alexandria, LA HCS",1116,12,1055,49,7362,4649,72
"San Juan, PR HCS",1084,41,995,48,27148,18498,451
"Battle Creek, MI HCS",1067,31,969,67,10832,6414,995
"Wilkes-Barre, PA HCS",1046,31,950,65,13246,7257,500
"Reno, NV HCS",1035,19,953,63,9949,6776,498
"Black Hills, SD HCS",1030,7,985,38,7614,6215,73
"Altoona, PA HCS",1009,21,936,52,9456,5795,415
"Northport, NY HCS",992,32,895,65,12113,9433,<10
"Marion, IL HCS",989,7,927,55,6201,3880,203
"Wilmington, DE HCS",965,21,906,38,14399,10469,395
"Syracuse, NY HCS",960,15,884,61,11378,7859,67
"Tomah, WI HCS",935,8,898,29,9783,6138,393
Northern Arizona HCS,867,9,814,44,9581,6086,<10
"Detroit, MI HCS",854,21,749,84,10322,5962,<10
"Huntington, WV HCS",844,17,760,67,9470,6637,158
"Danville, IL HCS",832,8,774,50,7064,4992,202
"Hudson Valley, NY HCS",831,21,775,35,10712,7553,470
"Bedford, MA HCS",794,10,737,47,15601,12228,<10
"Saginaw, MI HCS",790,28,713,49,9590,6285,412
"Finger Lakes, NY HCS",759,13,711,35,10872,7375,387
Central Western Massachusetts HCS,739,12,674,53,9982,5283,604
"Erie, PA HCS",720,10,677,33,7230,4966,384
"Iron Mountain, MI HCS",700,8,663,29,7684,6385,294
"Anchorage, AK HCS",695,12,672,11,4924,3540,584
"Tuscaloosa, AL HCS",690,1,651,38,5091,3271,<10
"San Francisco, CA HCS",681,10,635,36,13347,10162,536
"Cheyenne, WY HCS",677,11,638,28,6241,4402,77
"Albany, NY HCS",648,11,596,41,9704,6495,396
"Chillicothe, OH HCS",638,9,612,17,8303,5496,310
"Manchester, NH HCS",604,12,561,31,7760,4582,410
"Big Spring, TX HCS",567,5,517,45,4000,2665,183
"Togus, ME HCS",564,19,519,26,11577,6043,842
"Clarksburg, WV HCS",530,14,478,38,6354,4835,93
"Butler, PA HCS",528,9,504,15,6885,4869,202
"Coatesville, PA HCS",470,9,439,22,6345,4699,202
"Grand Junction, CO HCS",466,7,432,27,5367,4357,194
"Walla Walla, WA HCS",416,7,384,25,5150,3594,449
"Sheridan, WY HCS",354,1,347,6,3720,2889,17
"Honolulu, HI HCS",310,4,292,14,12009,8122,434
"Beckley, WV HCS",305,12,281,12,4837,3502,40
"Spokane, WA HCS",278,2,256,20,8003,4357,519
"Roseburg, OR HCS",262,6,246,10,7467,3993,28
"White River Junction, VT HCS",248,9,228,11,8127,4902,181
"White City, OR HCS",231,6,203,22,5331,3378,<10
"Manila, PI HCS",2,0,2,0,0,0,0
,0,0,0,0,773,712,0
