Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,Dose 1 of 2 (Pfizer or Moderna),Dose 2 of 2 (Pfizer or Moderna),Dose 1 of 1 (Janssen)
"Fresno, CA HCS",1598,29,1486,83,10504,6876,422
"Bronx, NY HCS",1596,31,1448,117,7808,5355,110
"Boise, ID HCS",1589,25,1503,61,9803,6820,600
"Dayton, OH HCS",1589,15,1509,65,11476,7466,<10
"Salt Lake City, UT HCS",1588,27,1498,63,14181,8965,463
"Madison, WI HCS",1582,16,1488,78,15224,9656,598
"Ann Arbor, MI HCS",1551,27,1465,59,27758,22822,<10
"Baltimore, MD HCS",1547,35,1447,65,19619,13605,<10
"Dublin, GA HCS",1533,10,1474,49,11150,7062,<10
"Iowa City, IA HCS",1532,20,1434,78,10184,6986,0
New Mexico HCS,1484,11,1385,88,17257,11591,28
"El Paso, TX HCS",1441,23,1313,105,8209,3821,<10
"Columbus, OH HCS",1421,24,1337,60,9611,5651,136
"Hampton, VA HCS",1420,25,1369,26,7820,4957,201
Northern Indiana HCS,1416,23,1331,62,10776,7684,201
Western New York HCS,1381,22,1281,78,19423,13972,28
"Puget Sound, WA HCS",1361,32,1273,56,29433,15317,60
"Fargo, ND HCS",1360,12,1237,111,13195,10614,26
"Lexington, KY HCS",1354,29,1231,94,12836,10590,41
"Wichita, KS HCS",1345,15,1260,70,7081,4393,99
"Memphis, TN HCS",1317,21,1222,74,13940,9927,289
"Sioux Falls, SD HCS",1309,14,1221,74,8263,6248,327
Eastern Kansas HCS,1296,20,1239,37,11727,7167,461
"St. Cloud, MN HCS",1287,22,1209,56,12665,7899,595
"Amarillo, TX HCS",1273,10,1202,61,6600,4263,29
"Martinsburg, WV HCS",1253,30,1167,56,11960,6436,220
Central Iowa HCS,1249,16,1169,64,8727,5571,82
Montana HCS,1212,17,1143,52,8181,5430,135
"Portland, OR HCS",1176,17,1111,48,26703,18760,447
"Jackson, MS HCS",1175,11,1091,73,10092,6753,311
"Poplar Bluff, MO HCS",1143,8,1055,80,3582,2146,199
"Providence, RI HCS",1142,28,1035,79,11516,6232,12
"Salem, VA HCS",1113,20,1022,71,8866,5134,301
"Alexandria, LA HCS",1106,13,1044,49,7010,4460,45
"San Juan, PR HCS",1055,16,991,48,25610,16557,<10
"Battle Creek, MI HCS",1050,19,964,67,10104,5848,995
"Wilkes-Barre, PA HCS",1029,26,940,63,12268,6456,499
"Reno, NV HCS",1026,16,947,63,9075,6291,310
"Black Hills, SD HCS",1022,4,980,38,7495,5759,<10
"Altoona, PA HCS",997,20,925,52,8306,5412,308
"Marion, IL HCS",985,8,923,54,5829,3469,45
"Northport, NY HCS",976,30,882,64,11418,8212,<10
"Wilmington, DE HCS",951,14,899,38,13557,9274,377
"Syracuse, NY HCS",950,13,877,60,10696,7215,60
"Tomah, WI HCS",929,5,895,29,9100,5725,229
Northern Arizona HCS,867,10,813,44,9057,4871,<10
"Detroit, MI HCS",844,21,739,84,9464,5135,<10
"Huntington, WV HCS",833,15,752,66,8806,6203,98
"Danville, IL HCS",829,8,772,49,6733,4890,195
"Hudson Valley, NY HCS",819,16,768,35,10320,6574,294
"Bedford, MA HCS",790,6,737,47,15451,11004,<10
"Saginaw, MI HCS",771,17,706,48,8804,5469,405
"Finger Lakes, NY HCS",746,5,707,34,10098,7286,331
Central Western Massachusetts HCS,737,19,665,53,8857,4964,301
"Erie, PA HCS",715,11,671,33,6803,4819,284
"Iron Mountain, MI HCS",697,8,660,29,7338,5771,264
"Tuscaloosa, AL HCS",689,4,647,38,4782,2936,<10
"Anchorage, AK HCS",688,9,668,11,4749,3366,579
"San Francisco, CA HCS",675,10,629,36,12834,9373,303
"Cheyenne, WY HCS",670,15,627,28,5931,3706,40
"Albany, NY HCS",639,16,582,41,9168,6137,397
"Chillicothe, OH HCS",631,12,602,17,7954,5202,304
"Manchester, NH HCS",592,7,555,30,6523,4187,404
"Big Spring, TX HCS",565,3,518,44,3872,2446,70
"Togus, ME HCS",554,18,510,26,9663,5537,639
"Butler, PA HCS",523,7,501,15,6575,4706,201
"Clarksburg, WV HCS",520,8,476,36,5999,4218,50
"Coatesville, PA HCS",467,6,439,22,5937,4514,201
"Grand Junction, CO HCS",461,6,428,27,5247,3656,192
"Walla Walla, WA HCS",414,6,383,25,4823,3213,258
"Sheridan, WY HCS",354,0,348,6,3566,2614,<10
"Honolulu, HI HCS",307,2,291,14,11274,7310,133
"Beckley, WV HCS",299,8,279,12,4566,3103,40
"Spokane, WA HCS",277,1,256,20,7431,3687,515
"Roseburg, OR HCS",258,6,242,10,6683,3442,<10
"White River Junction, VT HCS",238,6,222,10,7643,4645,180
"White City, OR HCS",229,7,200,22,4850,3094,<10
"Manila, PI HCS",2,0,2,0,0,0,0
,0,0,0,0,773,707,0
