"﻿Report Date","Health District",Ethnicity,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-18,Alleghany,"Hispanic or Latino",12,4,0
2020-05-18,Henrico,"Not Reported",522,26,23
2020-05-18,Henrico,"Not Hispanic or Latino",667,131,87
2020-05-18,Loudoun,"Not Hispanic or Latino",493,86,38
2020-05-18,Hampton,"Not Reported",33,1,0
2020-05-18,"Rappahannock Rapidan","Not Hispanic or Latino",146,20,7
2020-05-18,Alexandria,"Not Reported",323,6,4
2020-05-18,Rappahannock,"Not Hispanic or Latino",322,61,12
2020-05-18,"Western Tidewater","Not Reported",231,2,1
2020-05-18,"Cumberland Plateau","Not Reported",14,0,0
2020-05-18,Alexandria,"Hispanic or Latino",702,70,4
2020-05-18,"Virginia Beach","Not Hispanic or Latino",404,74,17
2020-05-18,"Prince William","Hispanic or Latino",1652,252,17
2020-05-18,"Virginia Beach","Not Reported",112,7,1
2020-05-18,"Central Shenandoah","Hispanic or Latino",513,31,2
2020-05-18,Pittsylvania-Danville,"Hispanic or Latino",5,1,0
2020-05-18,"Mount Rogers","Not Hispanic or Latino",111,15,4
2020-05-18,Piedmont,"Not Reported",309,11,2
2020-05-18,Southside,"Not Hispanic or Latino",70,10,6
2020-05-18,"Thomas Jefferson","Hispanic or Latino",34,1,0
2020-05-18,Pittsylvania-Danville,"Not Reported",16,5,0
2020-05-18,Norfolk,"Hispanic or Latino",39,5,0
2020-05-18,Portsmouth,"Not Hispanic or Latino",103,29,8
2020-05-18,"West Piedmont","Not Reported",24,4,0
2020-05-18,Richmond,"Not Hispanic or Latino",311,74,16
2020-05-18,"West Piedmont","Hispanic or Latino",8,0,0
2020-05-18,"Prince William","Not Reported",2155,16,4
2020-05-18,"Rappahannock Rapidan","Not Reported",228,8,1
2020-05-18,Chickahominy,"Hispanic or Latino",16,2,0
2020-05-18,Lenowisco,"Not Reported",19,4,2
2020-05-18,"New River","Hispanic or Latino",3,0,0
2020-05-18,Crater,"Not Reported",176,29,7
2020-05-18,Chickahominy,"Not Reported",178,15,4
2020-05-18,Loudoun,"Hispanic or Latino",431,46,3
2020-05-18,"Rappahannock Rapidan","Hispanic or Latino",333,28,3
2020-05-18,Roanoke,"Not Reported",36,0,1
2020-05-18,Rappahannock,"Hispanic or Latino",314,43,1
2020-05-18,Lenowisco,"Hispanic or Latino",0,0,0
2020-05-18,"Virginia Beach","Hispanic or Latino",41,5,1
2020-05-18,"Prince William","Not Hispanic or Latino",778,159,57
2020-05-18,"Central Virginia","Not Reported",101,3,0
2020-05-18,"Central Shenandoah","Not Hispanic or Latino",480,54,17
2020-05-18,Hampton,"Hispanic or Latino",10,0,0
2020-05-18,Roanoke,"Hispanic or Latino",22,0,0
