"﻿Report Date","Health District",Race,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-16,"Virginia Beach",White,276,47,14
2020-05-16,Chickahominy,Other,13,5,0
2020-05-16,"New River","Black or African American",5,1,0
2020-05-16,"Virginia Beach","Not Reported",78,3,0
2020-05-16,"Rappahannock Rapidan",Other,39,12,0
2020-05-16,Piedmont,"Not Reported",261,6,1
2020-05-16,Portsmouth,Other,15,2,0
2020-05-16,Pittsylvania-Danville,"Not Reported",11,4,0
2020-05-16,Crater,"Black or African American",213,55,7
2020-05-16,"Mount Rogers","Black or African American",1,0,0
2020-05-16,"Central Shenandoah",White,745,66,20
2020-05-16,Southside,White,50,12,6
2020-05-16,"Central Virginia",White,65,10,2
2020-05-16,Rappahannock,White,277,45,10
2020-05-16,"New River",White,55,11,1
2020-05-16,"Mount Rogers",Other,21,1,0
2020-05-16,Crater,White,70,17,5
2020-05-16,Alleghany,"Not Reported",41,3,0
2020-05-16,Arlington,Other,322,105,16
2020-05-16,Piedmont,White,134,7,3
2020-05-16,"Cumberland Plateau",Other,0,0,0
2020-05-16,Pittsylvania-Danville,White,31,13,2
2020-05-16,Roanoke,"Black or African American",17,4,2
2020-05-16,Alleghany,"Black or African American",5,1,0
2020-05-16,Richmond,"Not Reported",144,2,0
2020-05-16,"Central Virginia",Other,2,1,0
2020-05-16,Rappahannock,Other,221,37,1
2020-05-16,Roanoke,Other,2,0,0
2020-05-16,Piedmont,"Black or African American",152,23,1
2020-05-16,Chesterfield,Other,106,1,0
2020-05-16,Portsmouth,"Black or African American",110,27,6
2020-05-16,Portsmouth,"Not Reported",47,2,2
2020-05-16,Norfolk,"Not Reported",49,0,0
2020-05-16,"Eastern Shore",White,227,10,7
2020-05-16,"Eastern Shore","Not Reported",118,1,0
2020-05-16,Roanoke,White,69,3,6
2020-05-16,"Three Rivers",Other,22,2,0
2020-05-16,"West Piedmont","Not Reported",7,0,0
2020-05-16,Norfolk,White,90,17,2
2020-05-16,Hampton,White,35,4,0
2020-05-16,"Western Tidewater","Black or African American",210,33,12
2020-05-16,"Prince William","Not Reported",2222,34,2
2020-05-16,Fairfax,White,2098,343,130
2020-05-16,Lenowisco,Other,1,0,0
2020-05-16,"Rappahannock Rapidan","Not Reported",339,12,2
2020-05-16,"Three Rivers","Black or African American",116,10,0
2020-05-16,Henrico,"Black or African American",470,90,49
2020-05-16,Lenowisco,"Not Reported",9,1,1
2020-05-16,Chesapeake,Other,33,5,2
2020-05-16,Crater,"Not Reported",83,3,1
2020-05-16,Chickahominy,"Not Reported",117,3,1
2020-05-16,"Eastern Shore","Black or African American",497,31,9
2020-05-16,Alexandria,Other,277,40,1
2020-05-16,Chesterfield,"Black or African American",210,35,7
2020-05-16,Roanoke,"Not Reported",32,0,0
2020-05-16,Rappahannock,"Black or African American",107,21,3
2020-05-16,"Lord Fairfax",White,593,59,25
2020-05-16,"Three Rivers",White,129,14,3
2020-05-16,"Central Virginia","Not Reported",88,3,0
2020-05-16,"Eastern Shore",Other,22,1,1
2020-05-16,Lenowisco,White,32,14,3
2020-05-16,"Western Tidewater",White,143,22,14
2020-05-16,Hampton,Other,7,2,0
2020-05-16,Alleghany,White,110,19,6
2020-05-16,"Prince William",Other,917,138,8
2020-05-16,Arlington,"Not Reported",700,77,10
2020-05-16,"West Piedmont","Black or African American",14,5,0
2020-05-16,Peninsula,Other,27,6,1
2020-05-16,Norfolk,Other,22,4,0
2020-05-16,"Lord Fairfax","Black or African American",28,3,1
2020-05-16,"Mount Rogers","Not Reported",17,1,0
2020-05-16,"Central Virginia","Black or African American",18,2,1
2020-05-16,"West Piedmont",Other,4,1,1
2020-05-16,Portsmouth,White,50,8,2
2020-05-16,"Thomas Jefferson","Not Reported",19,0,0
2020-05-16,"Three Rivers","Not Reported",100,4,3
2020-05-16,"Virginia Beach","Black or African American",127,17,3
2020-05-16,"Prince William","Black or African American",329,61,15
2020-05-16,Loudoun,"Not Reported",517,3,5
2020-05-16,Loudoun,White,507,78,34
2020-05-16,Peninsula,"Not Reported",68,3,0
2020-05-16,Pittsylvania-Danville,"Black or African American",24,6,0
2020-05-16,Henrico,White,432,67,60
2020-05-16,Richmond,White,149,18,1
2020-05-16,Southside,"Black or African American",35,10,2
2020-05-16,Chickahominy,White,159,41,18
2020-05-16,"Thomas Jefferson",Other,40,5,1
2020-05-16,"Virginia Beach",Other,58,19,2
2020-05-16,"Central Shenandoah","Black or African American",57,3,2
2020-05-16,Chesterfield,White,284,33,20
