"﻿Report Date","Health District",Ethnicity,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-26,Pittsylvania-Danville,"Hispanic or Latino",7,1,0
2020-05-26,"Mount Rogers","Not Hispanic or Latino",166,19,6
2020-05-26,Piedmont,"Not Reported",342,12,3
2020-05-26,Southside,"Not Hispanic or Latino",96,10,7
2020-05-26,"Thomas Jefferson","Hispanic or Latino",53,1,0
2020-05-26,Pittsylvania-Danville,"Not Reported",17,5,0
2020-05-26,Norfolk,"Hispanic or Latino",71,7,0
2020-05-26,Portsmouth,"Not Hispanic or Latino",114,32,9
2020-05-26,"West Piedmont","Not Reported",53,5,1
2020-05-26,Richmond,"Not Hispanic or Latino",337,75,17
2020-05-26,"West Piedmont","Hispanic or Latino",19,0,0
2020-05-26,"Prince William","Not Reported",3039,16,3
2020-05-26,"Rappahannock Rapidan","Not Reported",352,11,1
2020-05-26,Chickahominy,"Hispanic or Latino",23,2,0
2020-05-26,Lenowisco,"Not Reported",19,4,2
2020-05-26,"New River","Hispanic or Latino",7,1,0
2020-05-26,Crater,"Not Reported",273,28,9
2020-05-26,Chickahominy,"Not Reported",240,14,3
2020-05-26,Loudoun,"Hispanic or Latino",565,51,3
2020-05-26,"Rappahannock Rapidan","Hispanic or Latino",511,37,3
2020-05-26,Roanoke,"Not Reported",42,0,1
2020-05-26,Rappahannock,"Hispanic or Latino",434,49,1
2020-05-26,Lenowisco,"Hispanic or Latino",0,0,0
2020-05-26,"Virginia Beach","Hispanic or Latino",49,6,1
2020-05-26,"Prince William","Not Hispanic or Latino",946,194,81
2020-05-26,"Central Virginia","Not Reported",105,3,0
2020-05-26,"Central Shenandoah","Not Hispanic or Latino",570,73,21
2020-05-26,Hampton,"Hispanic or Latino",11,0,0
2020-05-26,Roanoke,"Hispanic or Latino",29,0,0
