"﻿Report Date","Geography Type","Geography Name",FacilityTypeGroup,"Number of Outbreaks","Number of Outbreak Associated Deaths","Number of Outbreak Associated Cases"
5/29/2020,"Health District","West Piedmont","Long Term Care Facilities",1,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Cumberland Plateau","Educational Setting",1,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Eastern Shore","Congregate Setting",5,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Chesapeake,"Congregate Setting",5,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Central Shenandoah","Healthcare Setting",1,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Roanoke,"Long Term Care Facilities",1,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Crater,"Correctional Facility",3,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Norfolk,"Long Term Care Facilities",1,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Chesapeake,"Long Term Care Facilities",6,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Prince William","Correctional Facility",1,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Central Shenandoah","Long Term Care Facilities",6,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Lord Fairfax","Congregate Setting",5,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Lenowisco,"Correctional Facility",1,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Portsmouth,"Long Term Care Facilities",2,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Three Rivers","Long Term Care Facilities",1,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Henrico,"Long Term Care Facilities",14,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Lord Fairfax","Long Term Care Facilities",7,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Western Tidewater","Long Term Care Facilities",5,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Eastern Shore","Long Term Care Facilities",4,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Norfolk,"Correctional Facility",1,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Chesterfield,"Congregate Setting",5,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Lord Fairfax","Correctional Facility",1,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Alexandria,"Congregate Setting",2,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Thomas Jefferson","Long Term Care Facilities",4,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Mount Rogers","Healthcare Setting",2,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Virginia Beach","Healthcare Setting",1,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Peninsula,"Correctional Facility",1,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Fairfax,"Healthcare Setting",2,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Chickahominy,"Long Term Care Facilities",6,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Mount Rogers","Congregate Setting",2,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Pittsylvania-Danville,"Long Term Care Facilities",1,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Arlington,"Congregate Setting",2,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Three Rivers","Educational Setting",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Piedmont,Other,0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Prince William","Congregate Setting",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Portsmouth,"Educational Setting",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Chesterfield,Other,0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Richmond,"Healthcare Setting",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Cumberland Plateau",Other,0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Cumberland Plateau","Healthcare Setting",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Lenowisco,"Educational Setting",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Chesterfield,"Healthcare Setting",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Loudoun,"Educational Setting",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Chesapeake,Other,0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","West Piedmont","Healthcare Setting",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Mount Rogers","Correctional Facility",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Cumberland Plateau","Correctional Facility",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Eastern Shore",Other,0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Eastern Shore","Educational Setting",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Richmond,"Correctional Facility",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Rappahannock,"Healthcare Setting",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Piedmont,"Educational Setting",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Chesapeake,"Educational Setting",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Rappahannock,"Correctional Facility",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Central Virginia","Correctional Facility",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Loudoun,"Healthcare Setting",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Piedmont,"Congregate Setting",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Portsmouth,Other,0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Lenowisco,Other,0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Southside,"Educational Setting",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Peninsula,Other,0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Prince William",Other,0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Alexandria,"Healthcare Setting",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Roanoke,Other,0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Virginia Beach","Educational Setting",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","New River","Educational Setting",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Crater,Other,0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","New River","Healthcare Setting",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Alleghany,"Educational Setting",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Arlington,Other,0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Richmond,Other,0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Arlington,"Correctional Facility",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Loudoun,"Correctional Facility",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Alleghany,Other,0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Hampton,"Healthcare Setting",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Thomas Jefferson","Healthcare Setting",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Piedmont,"Healthcare Setting",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Pittsylvania-Danville,"Educational Setting",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Lenowisco,"Long Term Care Facilities",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Lenowisco,"Healthcare Setting",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Lord Fairfax","Educational Setting",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Thomas Jefferson",Other,0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Central Shenandoah",Other,0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","West Piedmont","Educational Setting",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Western Tidewater",Other,0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Prince William","Healthcare Setting",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Central Virginia","Healthcare Setting",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Mount Rogers",Other,0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Chesterfield,"Educational Setting",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","New River","Correctional Facility",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Virginia Beach",Other,0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Rappahannock Rapidan","Educational Setting",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Norfolk,"Educational Setting",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Fairfax,"Congregate Setting",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Roanoke,"Correctional Facility",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Pittsylvania-Danville,"Healthcare Setting",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Henrico,Other,0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Roanoke,"Healthcare Setting",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Lord Fairfax",Other,0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Three Rivers","Healthcare Setting",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Crater,"Educational Setting",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Central Virginia","Educational Setting",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","West Piedmont","Correctional Facility",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Central Virginia",Other,0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Chickahominy,Other,0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Norfolk,"Healthcare Setting",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Three Rivers",Other,0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Eastern Shore","Correctional Facility",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Roanoke,"Educational Setting",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Eastern Shore","Healthcare Setting",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Western Tidewater","Healthcare Setting",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Southside,"Correctional Facility",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Hampton,"Educational Setting",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Henrico,"Educational Setting",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Southside,Other,0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Rappahannock Rapidan",Other,0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Rappahannock,Other,0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Henrico,"Correctional Facility",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Arlington,"Educational Setting",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Fairfax,Other,0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Alexandria,"Correctional Facility",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Cumberland Plateau","Long Term Care Facilities",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","New River",Other,0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Southside,"Congregate Setting",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Cumberland Plateau","Congregate Setting",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Hampton,"Correctional Facility",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Hampton,Other,0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Loudoun,Other,0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Mount Rogers","Educational Setting",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Three Rivers","Congregate Setting",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Pittsylvania-Danville,"Correctional Facility",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Rappahannock Rapidan","Correctional Facility",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Norfolk,Other,0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Alleghany,"Correctional Facility",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","New River","Long Term Care Facilities",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Portsmouth,"Congregate Setting",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Alexandria,Other,0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Henrico,"Healthcare Setting",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","Western Tidewater","Educational Setting",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Pittsylvania-Danville,Other,0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District","West Piedmont",Other,0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Chickahominy,"Educational Setting",0,"Not provided at this time","Not provided at this time"
5/29/2020,"Health District",Lenowisco,"All Outbreaks",2,"Not provided at this time",25
5/29/2020,"Health District",Chesterfield,"All Outbreaks",17,"Not provided at this time",216
5/29/2020,"Health District",Portsmouth,"All Outbreaks",5,"Not provided at this time",88
5/29/2020,"Health District","Western Tidewater","All Outbreaks",7,"Not provided at this time",375
5/29/2020,"Health District","Cumberland Plateau","All Outbreaks",1,"Not provided at this time",17
5/29/2020,"Health District","Prince William","All Outbreaks",15,"Not provided at this time",160
5/29/2020,"Health District",Hampton,"All Outbreaks",3,"Not provided at this time",42
5/29/2020,"Health District",Southside,"All Outbreaks",4,"Not provided at this time",185
5/29/2020,"Health District",Henrico,"All Outbreaks",16,"Not provided at this time",595
5/29/2020,"Health District",Alexandria,"All Outbreaks",12,"Not provided at this time",129
5/29/2020,"Health District",Chickahominy,"All Outbreaks",12,"Not provided at this time",213
5/29/2020,"Health District","New River","All Outbreaks",1,"Not provided at this time",13
5/29/2020,"Health District",Fairfax,"All Outbreaks",58,"Not provided at this time",1360
5/29/2020,"Health District","Lord Fairfax","All Outbreaks",16,"Not provided at this time",412
5/29/2020,"Health District","Rappahannock Rapidan","All Outbreaks",7,"Not provided at this time",95
5/29/2020,"Health District",Pittsylvania-Danville,"All Outbreaks",3,"Not provided at this time",3
5/29/2020,"Health District",Crater,"All Outbreaks",15,"Not provided at this time",204
5/29/2020,"Health District","Virginia Beach","All Outbreaks",12,"Not provided at this time",102
5/29/2020,"Health District",Richmond,"All Outbreaks",10,"Not provided at this time",65
5/29/2020,"Health District",Norfolk,"All Outbreaks",3,"Not provided at this time",65
5/29/2020,"Health District","Thomas Jefferson","All Outbreaks",8,"Not provided at this time",137
5/29/2020,"Health District","Eastern Shore","All Outbreaks",9,"Not provided at this time",663
5/29/2020,"Health District","West Piedmont","All Outbreaks",4,"Not provided at this time",21
5/29/2020,"Health District",Piedmont,"All Outbreaks",7,"Not provided at this time",509
5/29/2020,"Health District",Peninsula,"All Outbreaks",18,"Not provided at this time",130
5/29/2020,"Health District",Alleghany,"All Outbreaks",7,"Not provided at this time",61
5/29/2020,"Health District",Chesapeake,"All Outbreaks",13,"Not provided at this time",119
5/29/2020,"Health District",Rappahannock,"All Outbreaks",7,"Not provided at this time",54
5/29/2020,"Health District","Three Rivers","All Outbreaks",2,"Not provided at this time",238
5/29/2020,"Health District","Central Shenandoah","All Outbreaks",15,"Not provided at this time",486
5/29/2020,"Health District","Mount Rogers","All Outbreaks",8,"Not provided at this time",59
5/29/2020,"Health District",Loudoun,"All Outbreaks",13,"Not provided at this time",299
5/29/2020,"Health District","Central Virginia","All Outbreaks",4,"Not provided at this time",17
5/29/2020,"Health District",Roanoke,"All Outbreaks",4,"Not provided at this time",57
5/29/2020,"Health District",Arlington,"All Outbreaks",15,"Not provided at this time",409
