"﻿Report Date","Health District",Race,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-21,"Rappahannock Rapidan",Other,53,12,0
2020-05-21,Piedmont,"Not Reported",271,7,1
2020-05-21,Portsmouth,Other,16,2,0
2020-05-21,Pittsylvania-Danville,"Not Reported",10,3,0
2020-05-21,"West Piedmont","Not Reported",14,1,0
2020-05-21,Norfolk,White,105,18,2
2020-05-21,Hampton,White,37,4,0
2020-05-21,"Western Tidewater","Black or African American",222,33,12
2020-05-21,"Prince William","Not Reported",2611,35,2
2020-05-21,Fairfax,White,2328,375,143
2020-05-21,Lenowisco,Other,1,0,0
2020-05-21,"Rappahannock Rapidan","Not Reported",446,17,2
2020-05-21,"Three Rivers","Black or African American",147,10,0
2020-05-21,Henrico,"Black or African American",498,92,49
2020-05-21,Lenowisco,"Not Reported",9,1,1
2020-05-21,Chesapeake,Other,38,5,2
2020-05-21,Crater,"Not Reported",109,3,1
2020-05-21,Chickahominy,"Not Reported",130,3,1
2020-05-21,"Eastern Shore","Black or African American",540,43,14
2020-05-21,Alexandria,Other,328,45,1
2020-05-21,Chesterfield,"Black or African American",223,35,7
2020-05-21,Roanoke,"Not Reported",43,0,0
2020-05-21,Rappahannock,"Black or African American",122,22,3
2020-05-21,"Lord Fairfax",White,681,72,27
