Report Date,FIPS,Locality,Health District,Total Cases
2020-04-10,51610,Falls Church,Fairfax,0
2020-04-10,51630,Fredericksburg,Rappahannock,10
2020-04-10,51640,Galax,Mount Rogers,1
2020-04-10,51650,Hampton,Hampton,62
2020-04-10,51670,Hopewell,Crater,14
2020-04-10,51678,Lexington,Central Shenandoah,3
2020-04-10,51683,Manassas City,Prince William,29
2020-04-10,51720,Norton,Lenowisco,0
2020-04-10,51730,Petersburg,Crater,13
2020-04-10,51735,Poquoson,Peninsula,6
2020-04-10,51740,Portsmouth,Portsmouth,48
2020-04-10,51750,Radford,New River,1
2020-04-10,51760,Richmond City,Richmond,139
2020-04-10,51770,Roanoke City,Roanoke,16
2020-04-10,51790,Staunton,Central Shenandoah,1
2020-04-10,51800,Suffolk,Western Tidewater,35
2020-04-10,51810,Virginia Beach,Virginia Beach,224
2020-04-10,51003,Albemarle,Thomas Jefferson,43
2020-04-10,51009,Amherst,Central Virginia,9
2020-04-10,51011,Appomattox,Central Virginia,5
2020-04-10,51013,Arlington,Arlington,312
2020-04-10,51015,Augusta,Central Shenandoah,15
2020-04-10,51019,Bedford,Central Virginia,15
2020-04-10,51021,Bland,Mount Rogers,0
2020-04-10,51025,Brunswick,Southside,2
2020-04-10,51027,Buchanan,Cumberland Plateau,1
2020-04-10,51029,Buckingham,Piedmont,10
2020-04-10,51031,Campbell,Central Virginia,7
2020-04-10,51033,Caroline,Rappahannock,6
2020-04-10,51035,Carroll,Mount Rogers,3
2020-04-10,51036,Charles City,Chickahominy,7
2020-04-10,51037,Charlotte,Piedmont,2
2020-04-10,51043,Clarke,Lord Fairfax,3
2020-04-10,51047,Culpeper,Rappahannock Rapidan,14
2020-04-10,51049,Cumberland,Piedmont,8
2020-04-10,51053,Dinwiddie,Crater,3
2020-04-10,51057,Essex,Three Rivers,0
2020-04-10,51077,Grayson,Mount Rogers,0
2020-04-10,51079,Greene,Thomas Jefferson,4
2020-04-10,51081,Greensville,Crater,7
2020-04-10,51083,Halifax,Southside,5
2020-04-10,51085,Hanover,Chickahominy,31
2020-04-10,51087,Henrico,Henrico,342
2020-04-10,51091,Highland,Central Shenandoah,0
2020-04-10,51093,Isle of Wight,Western Tidewater,24
2020-04-10,51097,King and Queen,Three Rivers,2
2020-04-10,51105,Lee,Lenowisco,3
2020-04-10,51109,Louisa,Thomas Jefferson,20
2020-04-10,51111,Lunenburg,Piedmont,2
2020-04-10,51113,Madison,Rappahannock Rapidan,5
2020-04-10,51115,Mathews,Three Rivers,2
2020-04-10,51119,Middlesex,Three Rivers,3
2020-04-10,51127,New Kent,Chickahominy,13
2020-04-10,51131,Northampton,Eastern Shore,4
2020-04-10,51133,Northumberland,Three Rivers,3
2020-04-10,51141,Patrick,West Piedmont,0
2020-04-10,51143,Pittsylvania,Pittsylvania-Danville,4
2020-04-10,51145,Powhatan,Chesterfield,4
2020-04-10,51149,Prince George,Crater,26
2020-04-10,51153,Prince William,Prince William,337
2020-04-10,51155,Pulaski,New River,4
2020-04-10,51163,Rockbridge,Central Shenandoah,3
2020-04-10,51165,Rockingham,Central Shenandoah,31
2020-04-10,51167,Russell,Cumberland Plateau,1
2020-04-10,51185,Tazewell,Cumberland Plateau,4
2020-04-10,51187,Warren,Lord Fairfax,10
2020-04-10,51193,Westmoreland,Three Rivers,8
2020-04-10,51197,Wythe,Mount Rogers,7
2020-04-10,51199,York,Peninsula,25
2020-04-10,51510,Alexandria,Alexandria,174
2020-04-10,51520,Bristol,Mount Rogers,1
2020-04-10,51550,Chesapeake,Chesapeake,109
2020-04-10,51590,Danville,Pittsylvania-Danville,20
2020-04-10,51600,Fairfax City,Fairfax,1
2020-04-10,51620,Franklin City,Western Tidewater,6
2020-04-10,51660,Harrisonburg,Central Shenandoah,57
2020-04-10,51680,Lynchburg,Central Virginia,27
2020-04-10,51685,Manassas Park,Prince William,7
2020-04-10,51690,Martinsville,West Piedmont,0
2020-04-10,51700,Newport News,Peninsula,68
2020-04-10,51710,Norfolk,Norfolk,88
2020-04-10,51775,Salem,Alleghany,1
2020-04-10,51820,Waynesboro,Central Shenandoah,5
2020-04-10,51830,Williamsburg,Peninsula,17
2020-04-10,51840,Winchester,Lord Fairfax,16
