"﻿Report Date","Health District",Ethnicity,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-15,Portsmouth,"Not Reported",113,8,2
2020-05-15,Norfolk,"Not Reported",72,1,0
2020-05-15,"Three Rivers","Hispanic or Latino",23,0,0
2020-05-15,"Eastern Shore","Not Reported",110,0,0
2020-05-15,Alleghany,"Hispanic or Latino",11,4,0
2020-05-15,Henrico,"Not Reported",467,27,23
2020-05-15,Henrico,"Not Hispanic or Latino",649,127,87
2020-05-15,Loudoun,"Not Hispanic or Latino",480,84,38
2020-05-15,Hampton,"Not Reported",41,1,0
2020-05-15,"Rappahannock Rapidan","Not Hispanic or Latino",135,19,7
2020-05-15,Alexandria,"Not Reported",289,8,3
2020-05-15,Rappahannock,"Not Hispanic or Latino",302,60,12
2020-05-15,"Western Tidewater","Not Reported",219,2,1
2020-05-15,"Cumberland Plateau","Not Reported",13,0,0
2020-05-15,Alexandria,"Hispanic or Latino",648,69,4
2020-05-15,"Virginia Beach","Not Hispanic or Latino",393,74,17
2020-05-15,"Prince William","Hispanic or Latino",1511,236,17
2020-05-15,"Virginia Beach","Not Reported",110,7,1
2020-05-15,"Central Shenandoah","Hispanic or Latino",490,28,2
2020-05-15,Pittsylvania-Danville,"Hispanic or Latino",0,0,0
2020-05-15,"Mount Rogers","Not Hispanic or Latino",107,15,4
2020-05-15,Piedmont,"Not Reported",255,11,2
2020-05-15,Southside,"Not Hispanic or Latino",58,10,6
2020-05-15,"Thomas Jefferson","Hispanic or Latino",29,1,0
2020-05-15,Pittsylvania-Danville,"Not Reported",15,5,0
2020-05-15,Norfolk,"Hispanic or Latino",37,5,0
2020-05-15,Portsmouth,"Not Hispanic or Latino",100,29,8
2020-05-15,"West Piedmont","Not Reported",16,3,0
2020-05-15,Richmond,"Not Hispanic or Latino",301,70,16
2020-05-15,"West Piedmont","Hispanic or Latino",3,0,0
2020-05-15,"Prince William","Not Reported",1891,15,4
2020-05-15,"Rappahannock Rapidan","Not Reported",212,8,1
2020-05-15,Chickahominy,"Hispanic or Latino",12,2,0
2020-05-15,Lenowisco,"Not Reported",19,4,2
2020-05-15,"New River","Hispanic or Latino",3,0,0
2020-05-15,Crater,"Not Reported",162,28,7
2020-05-15,Chickahominy,"Not Reported",171,15,4
2020-05-15,Loudoun,"Hispanic or Latino",408,44,3
2020-05-15,"Rappahannock Rapidan","Hispanic or Latino",286,26,3
2020-05-15,Roanoke,"Not Reported",32,0,0
2020-05-15,Rappahannock,"Hispanic or Latino",289,43,1
2020-05-15,Lenowisco,"Hispanic or Latino",0,0,0
2020-05-15,"Virginia Beach","Hispanic or Latino",32,5,1
2020-05-15,"Prince William","Not Hispanic or Latino",728,147,54
2020-05-15,"Central Virginia","Not Reported",94,3,0
2020-05-15,"Central Shenandoah","Not Hispanic or Latino",460,50,17
2020-05-15,Hampton,"Hispanic or Latino",9,0,0
2020-05-15,Roanoke,"Hispanic or Latino",18,0,0
