"﻿Report Date","Health District",Race,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-17,"Central Virginia","Black or African American",18,2,1
2020-05-17,"West Piedmont",Other,5,1,1
2020-05-17,Portsmouth,White,50,8,2
2020-05-17,"Thomas Jefferson","Not Reported",19,0,0
2020-05-17,"Three Rivers","Not Reported",101,4,3
2020-05-17,"Virginia Beach","Black or African American",128,17,3
2020-05-17,"Prince William","Black or African American",339,65,16
2020-05-17,Loudoun,"Not Reported",525,3,5
2020-05-17,Loudoun,White,514,79,34
2020-05-17,Peninsula,"Not Reported",70,3,0
2020-05-17,Pittsylvania-Danville,"Black or African American",24,6,0
2020-05-17,Henrico,White,434,68,60
2020-05-17,Richmond,White,149,18,1
2020-05-17,Southside,"Black or African American",35,10,2
2020-05-17,Chickahominy,White,162,42,18
2020-05-17,"Thomas Jefferson",Other,40,5,1
2020-05-17,"Virginia Beach",Other,62,19,2
2020-05-17,"Central Shenandoah","Black or African American",57,3,2
2020-05-17,Chesterfield,White,287,33,20
2020-05-17,"Central Virginia",White,65,10,2
2020-05-17,Rappahannock,White,282,45,10
2020-05-17,"New River",White,55,11,1
2020-05-17,"Mount Rogers",Other,23,1,0
2020-05-17,Crater,White,73,17,5
2020-05-17,Alleghany,"Not Reported",44,3,0
2020-05-17,Arlington,Other,329,105,16
2020-05-17,Chesapeake,"Black or African American",138,40,5
2020-05-17,"Western Tidewater","Not Reported",162,1,1
2020-05-17,"Cumberland Plateau","Not Reported",1,0,0
2020-05-17,"Western Tidewater",Other,25,1,1
2020-05-17,Loudoun,"Black or African American",80,9,2
2020-05-17,"Virginia Beach",White,283,47,14
2020-05-17,Chickahominy,Other,13,5,0
2020-05-17,"New River","Black or African American",5,1,0
2020-05-17,"Virginia Beach","Not Reported",75,3,0
2020-05-17,"Rappahannock Rapidan",Other,39,12,0
2020-05-17,Piedmont,"Not Reported",261,6,1
2020-05-17,Portsmouth,Other,15,2,0
2020-05-17,Pittsylvania-Danville,"Not Reported",12,4,0
2020-05-17,"West Piedmont","Not Reported",8,1,0
2020-05-17,Norfolk,White,90,17,2
2020-05-17,Hampton,White,36,4,0
2020-05-17,"Western Tidewater","Black or African American",212,33,12
2020-05-17,"Prince William","Not Reported",2291,34,2
2020-05-17,Fairfax,White,2147,348,130
2020-05-17,Lenowisco,Other,1,0,0
2020-05-17,"Rappahannock Rapidan","Not Reported",341,13,2
2020-05-17,"Three Rivers","Black or African American",140,10,0
2020-05-17,Henrico,"Black or African American",472,90,49
2020-05-17,Lenowisco,"Not Reported",9,1,1
2020-05-17,Piedmont,White,134,7,3
2020-05-17,"Cumberland Plateau",Other,0,0,0
2020-05-17,Pittsylvania-Danville,White,31,13,2
2020-05-17,Roanoke,"Black or African American",17,4,2
2020-05-17,Alleghany,"Black or African American",5,1,0
2020-05-17,Richmond,"Not Reported",151,2,0
2020-05-17,"Central Virginia",Other,2,1,0
2020-05-17,Rappahannock,Other,224,37,1
2020-05-17,Roanoke,Other,2,0,0
2020-05-17,Piedmont,"Black or African American",152,23,1
2020-05-17,Chesterfield,Other,106,1,0
2020-05-17,Portsmouth,"Black or African American",112,27,6
2020-05-17,Portsmouth,"Not Reported",48,2,2
2020-05-17,Norfolk,"Not Reported",50,0,0
2020-05-17,"Eastern Shore",White,229,11,8
2020-05-17,"Eastern Shore","Not Reported",120,1,0
2020-05-17,Roanoke,White,69,3,6
2020-05-17,"Three Rivers",Other,36,2,0
2020-05-17,Fairfax,Other,3156,540,63
2020-05-17,Henrico,"Not Reported",222,1,1
2020-05-17,"Lord Fairfax",Other,119,11,3
2020-05-17,Piedmont,Other,12,2,0
2020-05-17,Lenowisco,"Black or African American",0,0,0
2020-05-17,Arlington,White,453,94,33
2020-05-17,Hampton,"Black or African American",95,24,3
2020-05-17,Alexandria,White,550,60,23
2020-05-17,Hampton,"Not Reported",23,0,0
2020-05-17,"Mount Rogers",White,190,15,4
2020-05-17,Alexandria,"Not Reported",424,14,4
2020-05-17,Chickahominy,"Black or African American",61,24,7
2020-05-17,Chesapeake,Other,33,5,2
2020-05-17,Crater,"Not Reported",84,3,1
2020-05-17,Chickahominy,"Not Reported",119,3,1
2020-05-17,"Eastern Shore","Black or African American",514,31,9
2020-05-17,Alexandria,Other,281,41,1
2020-05-17,Chesterfield,"Black or African American",211,35,7
2020-05-17,Roanoke,"Not Reported",32,0,0
2020-05-17,Rappahannock,"Black or African American",109,21,3
2020-05-17,"Lord Fairfax",White,599,59,25
2020-05-17,"Three Rivers",White,148,14,3
2020-05-17,"Central Virginia","Not Reported",89,3,0
2020-05-17,"Eastern Shore",Other,23,1,1
2020-05-17,Crater,"Black or African American",213,55,7
2020-05-17,"Mount Rogers","Black or African American",1,0,0
2020-05-17,"Central Shenandoah",White,750,68,20
2020-05-17,Southside,White,50,12,6
