"﻿Report Date","Health District",Ethnicity,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-06-02,"Prince William","Not Reported",3503,19,4
2020-06-02,"Rappahannock Rapidan","Not Reported",384,15,2
2020-06-02,Chickahominy,"Hispanic or Latino",28,2,0
2020-06-02,Lenowisco,"Not Reported",19,5,2
2020-06-02,"New River","Hispanic or Latino",12,1,0
2020-06-02,Crater,"Not Reported",449,33,10
2020-06-02,Chickahominy,"Not Reported",262,18,4
2020-06-02,Loudoun,"Hispanic or Latino",639,58,4
2020-06-02,"Rappahannock Rapidan","Hispanic or Latino",570,37,4
2020-06-02,Roanoke,"Not Reported",56,0,1
2020-06-02,Rappahannock,"Hispanic or Latino",566,57,2
2020-06-02,Lenowisco,"Hispanic or Latino",0,0,0
2020-06-02,"Virginia Beach","Hispanic or Latino",56,6,1
2020-06-02,"Prince William","Not Hispanic or Latino",1060,211,87
2020-06-02,"Central Virginia","Not Reported",127,3,0
2020-06-02,"Central Shenandoah","Not Hispanic or Latino",662,76,22
2020-06-02,Hampton,"Hispanic or Latino",15,0,0
2020-06-02,Roanoke,"Hispanic or Latino",38,0,0
