Report Date,Age Group,Number of Hospitalizations,Number of Deaths,Health District Name,Number of Cases
2020-04-22,80+,3,2,Alleghany,7
2020-04-22,80+,34,42,Henrico,159
2020-04-22,20-29,0,0,Chesapeake,14
2020-04-22,60-69,8,2,Chickahominy,32
2020-04-22,70-79,1,0,Roanoke,3
2020-04-22,30-39,2,0,Eastern Shore,8
2020-04-22,80+,23,14,Arlington,76
2020-04-22,60-69,1,0,Cumberland Plateau,1
2020-04-22,20-29,0,0,Central Shenandoah,62
2020-04-22,60-69,1,1,Central Virginia,17
2020-04-22,10-19,0,0,Crater,1
2020-04-22,60-69,3,1,Lenowisco,5
2020-04-22,50-59,2,0,New River,14
2020-04-22,10-19,1,0,Peninsula,1
2020-04-22,60-69,4,0,Three Rivers,15
2020-04-22,50-59,3,0,Pittsylvania-Danville,6
2020-04-22,0-9,0,0,Lord Fairfax,1
2020-04-22,20-29,0,0,Lenowisco,5
2020-04-22,70-79,9,2,Western Tidewater,35
2020-04-22,60-69,4,0,Alleghany,17
2020-04-22,0-9,0,0,Virginia Beach,1
2020-04-22,50-59,9,0,Central Shenandoah,113
2020-04-22,10-19,0,0,Thomas Jefferson,4
2020-04-22,10-19,1,0,Prince William,23
2020-04-22,30-39,2,0,Thomas Jefferson,36
2020-04-22,10-19,0,0,Norfolk,2
2020-04-22,10-19,0,0,Eastern Shore,2
2020-04-22,80+,2,1,Pittsylvania-Danville,3
2020-04-22,20-29,0,0,Roanoke,5
2020-04-22,70-79,5,0,Norfolk,8
2020-04-22,40-49,3,0,Western Tidewater,26
2020-04-22,30-39,0,0,Southside,10
2020-04-22,20-29,0,0,Crater,12
2020-04-22,80+,1,0,West Piedmont,3
2020-04-22,30-39,2,0,Richmond,31
2020-04-22,70-79,2,1,West Piedmont,4
2020-04-22,30-39,0,0,Crater,23
2020-04-22,80+,1,0,New River,3
2020-04-22,60-69,4,0,Eastern Shore,12
2020-04-22,20-29,1,0,Alleghany,9
2020-04-22,20-29,0,0,Mount Rogers,5
2020-04-22,20-29,1,0,Central Virginia,16
2020-04-22,40-49,1,0,Lenowisco,2
2020-04-22,10-19,0,0,Lord Fairfax,11
2020-04-22,70-79,3,0,New River,6
2020-04-22,10-19,0,0,Southside,1
2020-04-22,40-49,9,0,Henrico,80
2020-04-22,20-29,0,0,Eastern Shore,10
2020-04-22,10-19,0,0,Cumberland Plateau,8
2020-04-22,10-19,0,0,Mount Rogers,2
2020-04-22,50-59,10,0,Richmond,42
2020-04-22,70-79,23,25,Henrico,108
2020-04-22,30-39,0,0,Pittsylvania-Danville,4
2020-04-22,80+,1,0,Three Rivers,6
2020-04-22,30-39,0,0,Piedmont,9
2020-04-22,20-29,2,1,Alexandria,72
2020-04-22,60-69,1,0,West Piedmont,11
2020-04-22,70-79,6,1,Southside,13
2020-04-22,80+,3,1,Portsmouth,11
2020-04-22,60-69,7,2,Portsmouth,15
2020-04-22,10-19,0,0,Chickahominy,2
2020-04-22,10-19,0,0,Chesterfield,27
2020-04-22,30-39,0,0,Alleghany,4
2020-04-22,60-69,7,5,Crater,30
2020-04-22,50-59,7,0,Chesterfield,67
2020-04-22,50-59,83,4,Fairfax,422
2020-04-22,0-9,0,0,Henrico,15
2020-04-22,0-9,0,0,Alexandria,12
2020-04-22,80+,0,1,Piedmont,3
2020-04-22,20-29,0,0,Rappahannock Rapidan,26
2020-04-22,80+,5,2,Prince William,27
2020-04-22,40-49,6,0,Chesapeake,34
2020-04-22,70-79,5,2,Chickahominy,17
2020-04-22,70-79,11,4,Rappahannock,18
2020-04-22,80+,2,0,Hampton,3
2020-04-22,0-9,0,0,Arlington,1
2020-04-22,50-59,14,1,Peninsula,51
2020-04-22,20-29,0,0,Thomas Jefferson,27
2020-04-22,70-79,2,0,Central Virginia,10
2020-04-22,50-59,8,0,Virginia Beach,51
2020-04-22,60-69,20,2,Rappahannock,48
2020-04-22,80+,5,3,Chesterfield,49
2020-04-22,60-69,11,3,Richmond,55
2020-04-22,0-9,0,0,Peninsula,3
2020-04-22,30-39,1,0,Hampton,15
2020-04-22,20-29,0,0,Piedmont,14
2020-04-22,20-29,2,0,Richmond,39
2020-04-22,50-59,3,0,Southside,16
2020-04-22,20-29,3,0,Henrico,48
2020-04-22,10-19,1,0,Arlington,4
2020-04-22,70-79,5,0,Portsmouth,10
2020-04-22,50-59,0,0,Central Virginia,17
2020-04-22,10-19,0,0,Loudoun,13
2020-04-22,20-29,1,0,Chesterfield,41
2020-04-22,50-59,7,0,Hampton,23
2020-04-22,20-29,8,0,Prince William,143
2020-04-22,10-19,0,0,Hampton,5
2020-04-22,20-29,1,0,Hampton,15
2020-04-22,50-59,12,4,Alexandria,65
2020-04-22,10-19,0,0,Henrico,4
2020-04-22,0-9,1,0,Thomas Jefferson,3
2020-04-22,50-59,9,1,Chesapeake,46
2020-04-22,50-59,7,1,Thomas Jefferson,37
2020-04-22,80+,7,4,Central Shenandoah,60
2020-04-22,40-49,0,0,Mount Rogers,9
2020-04-22,10-19,0,0,Richmond,1
2020-04-22,60-69,10,1,Norfolk,19
2020-04-22,20-29,1,0,Loudoun,48
2020-04-22,50-59,3,0,Western Tidewater,30
2020-04-22,60-69,9,2,Chesapeake,29
2020-04-22,10-19,0,0,Piedmont,2
2020-04-22,80+,60,40,Fairfax,198
2020-04-22,70-79,14,4,Prince William,55
2020-04-22,70-79,19,6,Arlington,65
2020-04-22,10-19,0,0,Alleghany,1
2020-04-22,70-79,16,6,Alexandria,34
2020-04-22,30-39,3,0,Portsmouth,16
2020-04-22,20-29,2,0,Portsmouth,9
2020-04-22,0-9,0,0,Western Tidewater,2
2020-04-22,40-49,1,0,Lord Fairfax,34
2020-04-22,70-79,7,4,Crater,15
2020-04-22,80+,2,1,Central Virginia,4
2020-04-22,80+,3,2,Norfolk,6
2020-04-22,60-69,1,0,Roanoke,2
2020-04-22,30-39,4,0,Peninsula,29
2020-04-22,10-19,0,0,Chesapeake,3
2020-04-22,50-59,3,0,Lord Fairfax,50
2020-04-22,20-29,0,0,Three Rivers,13
2020-04-22,10-19,1,0,Fairfax,45
2020-04-22,20-29,0,0,Norfolk,18
2020-04-22,80+,2,0,Lord Fairfax,3
2020-04-22,0-9,0,0,Chickahominy,1
2020-04-22,70-79,2,1,Alleghany,5
2020-04-22,50-59,3,0,Lenowisco,11
2020-04-22,60-69,5,0,Southside,13
2020-04-22,40-49,3,0,Eastern Shore,15
2020-04-22,40-49,61,0,Fairfax,448
2020-04-22,70-79,6,1,Mount Rogers,8
2020-04-22,40-49,9,0,Alexandria,88
2020-04-22,70-79,17,4,Virginia Beach,39
2020-04-22,60-69,3,1,Pittsylvania-Danville,6
2020-04-22,20-29,0,0,New River,15
