"﻿Report Date","Health District",Race,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-27,Rappahannock,Other,346,42,1
2020-05-27,Roanoke,Other,2,0,0
2020-05-27,Piedmont,"Black or African American",208,26,1
2020-05-27,Chesterfield,Other,162,3,0
2020-05-27,Portsmouth,"Black or African American",133,28,7
2020-05-27,Portsmouth,"Not Reported",71,2,2
2020-05-27,Norfolk,"Not Reported",81,0,0
2020-05-27,"Eastern Shore",White,250,12,13
2020-05-27,"Eastern Shore","Not Reported",126,1,0
2020-05-27,Roanoke,White,75,3,7
2020-05-27,"Three Rivers",Other,47,4,0
2020-05-27,Fairfax,Other,4311,650,79
2020-05-27,Henrico,"Not Reported",311,1,2
2020-05-27,"Lord Fairfax",Other,200,20,6
2020-05-27,Piedmont,Other,14,2,0
