"﻿Report Date","Health District",Ethnicity,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-07,Norfolk,"Hispanic or Latino",19,4,0
2020-05-07,Portsmouth,"Not Hispanic or Latino",85,28,7
2020-05-07,"West Piedmont","Not Reported",10,2,0
2020-05-07,Richmond,"Not Hispanic or Latino",263,60,15
2020-05-07,"West Piedmont","Hispanic or Latino",3,0,0
2020-05-07,"Prince William","Not Reported",1362,10,0
2020-05-07,"Rappahannock Rapidan","Not Reported",163,7,2
2020-05-07,Chickahominy,"Hispanic or Latino",4,1,0
2020-05-07,Lenowisco,"Not Reported",20,5,1
2020-05-07,"New River","Hispanic or Latino",0,0,0
2020-05-07,Crater,"Not Reported",135,28,7
2020-05-07,Chickahominy,"Not Reported",148,15,3
2020-05-07,Loudoun,"Hispanic or Latino",298,33,2
2020-05-07,"Rappahannock Rapidan","Hispanic or Latino",181,15,2
2020-05-07,Roanoke,"Not Reported",22,0,0
2020-05-07,Rappahannock,"Hispanic or Latino",215,33,0
2020-05-07,Lenowisco,"Hispanic or Latino",0,0,0
2020-05-07,"Virginia Beach","Hispanic or Latino",25,5,1
2020-05-07,"Prince William","Not Hispanic or Latino",547,123,36
2020-05-07,"Central Virginia","Not Reported",100,3,0
2020-05-07,"Central Shenandoah","Not Hispanic or Latino",385,34,16
2020-05-07,Hampton,"Hispanic or Latino",5,0,0
2020-05-07,Roanoke,"Hispanic or Latino",9,0,0
