Report Date,FIPS,Health District,Locality,Total Cases,Hospitalized,Deaths
2020-04-22,51103,Three Rivers,Lancaster,1,1,0
2020-04-22,51161,Alleghany,Roanoke County,31,0,0
2020-04-22,51093,Western Tidewater,Isle of Wight,90,8,2
2020-04-22,51590,Pittsylvania-Danville,Danville,29,13,1
2020-04-22,51167,Cumberland Plateau,Russell,2,1,0
2020-04-22,51820,Central Shenandoah,Waynesboro,8,1,0
2020-04-22,51678,Central Shenandoah,Lexington,3,0,0
2020-04-22,51139,Lord Fairfax,Page,16,0,0
2020-04-22,51610,Fairfax,Falls Church,25,2,1
2020-04-22,51840,Lord Fairfax,Winchester,29,0,0
2020-04-22,51009,Central Virginia,Amherst,10,2,1
2020-04-22,51570,Chesterfield,Colonial Heights,37,0,2
2020-04-22,51133,Three Rivers,Northumberland,5,0,0
2020-04-22,51057,Three Rivers,Essex,2,0,0
2020-04-22,51083,Southside,Halifax,12,1,0
2020-04-22,51087,Henrico,Henrico,684,96,82
2020-04-22,51510,Alexandria,Alexandria,474,65,12
2020-04-22,51061,Rappahannock Rapidan,Fauquier,56,5,1
2020-04-22,51670,Crater,Hopewell,16,5,0
2020-04-22,51041,Chesterfield,Chesterfield,356,30,7
2020-04-22,51099,Rappahannock,King George,20,11,4
2020-04-22,51023,Alleghany,Botetourt,26,9,3
2020-04-22,51049,Piedmont,Cumberland,10,1,0
2020-04-22,51710,Norfolk,Norfolk,126,29,3
2020-04-22,51183,Crater,Sussex,23,2,1
2020-04-22,51640,Mount Rogers,Galax,1,1,0
2020-04-22,51830,Peninsula,Williamsburg,14,5,1
2020-04-22,51065,Thomas Jefferson,Fluvanna,69,12,4
2020-04-22,51683,Prince William,Manassas City,117,15,0
2020-04-22,51053,Crater,Dinwiddie,8,1,0
2020-04-22,51165,Central Shenandoah,Rockingham,145,11,1
2020-04-22,51775,Alleghany,Salem,8,0,0
2020-04-22,51125,Thomas Jefferson,Nelson,7,0,0
2020-04-22,51195,Lenowisco,Wise,18,7,1
2020-04-22,51035,Mount Rogers,Carroll,3,1,0
2020-04-22,51660,Central Shenandoah,Harrisonburg,318,22,8
2020-04-22,51037,Piedmont,Charlotte,8,0,0
2020-04-22,51095,Peninsula,James City,147,51,12
2020-04-22,51179,Rappahannock,Stafford,170,38,2
2020-04-22,51013,Arlington,Arlington,663,116,24
2020-04-22,51740,Portsmouth,Portsmouth,93,30,4
2020-04-22,51015,Central Shenandoah,Augusta,30,2,0
2020-04-22,51173,Mount Rogers,Smyth,13,4,0
2020-04-22,51790,Central Shenandoah,Staunton,10,0,0
2020-04-22,51690,West Piedmont,Martinsville,0,0,0
2020-04-22,51141,West Piedmont,Patrick,1,0,0
2020-04-22,51650,Hampton,Hampton,97,26,1
2020-04-22,51097,Three Rivers,King and Queen,2,0,0
2020-04-22,51187,Lord Fairfax,Warren,27,3,0
2020-04-22,51089,West Piedmont,Henry,10,2,1
2020-04-22,51045,Alleghany,Craig,2,0,0
2020-04-22,51595,Crater,Emporia,12,3,1
2020-04-22,51011,Central Virginia,Appomattox,10,0,0
2020-04-22,51067,West Piedmont,Franklin County,17,2,0
2020-04-22,51700,Peninsula,Newport News,101,32,6
2020-04-22,51091,Central Shenandoah,Highland,1,0,0
2020-04-22,51069,Lord Fairfax,Frederick,86,9,0
2020-04-22,51191,Mount Rogers,Washington,29,8,3
2020-04-22,51036,Chickahominy,Charles City,11,4,1
2020-04-22,51017,Central Shenandoah,Bath,0,0,0
2020-04-22,51071,New River,Giles,4,0,0
2020-04-22,51181,Crater,Surry,4,1,1
2020-04-22,51127,Chickahominy,New Kent,20,4,1
2020-04-22,51750,New River,Radford,2,0,0
2020-04-22,51115,Three Rivers,Mathews,3,1,0
2020-04-22,51163,Central Shenandoah,Rockbridge,5,0,0
2020-04-22,51143,Pittsylvania-Danville,Pittsylvania,9,4,1
2020-04-22,51121,New River,Montgomery,50,6,0
2020-04-22,51685,Prince William,Manassas Park,34,6,1
2020-04-22,51149,Crater,Prince George,28,2,0
2020-04-22,51003,Thomas Jefferson,Albemarle,68,13,3
2020-04-22,51550,Chesapeake,Chesapeake,180,39,5
2020-04-22,51810,Virginia Beach,Virginia Beach,313,60,8
2020-04-22,51075,Chickahominy,Goochland,63,7,3
2020-04-22,51051,Cumberland Plateau,Dickenson,0,0,0
2020-04-22,51199,Peninsula,York,43,6,1
2020-04-22,51630,Rappahannock,Fredericksburg,17,3,0
2020-04-22,51119,Three Rivers,Middlesex,3,0,0
2020-04-22,51005,Alleghany,Alleghany,5,4,0
2020-04-22,51019,Central Virginia,Bedford,20,1,0
2020-04-22,51043,Lord Fairfax,Clarke,6,1,0
2020-04-22,51157,Rappahannock Rapidan,Rappahannock,1,0,0
2020-04-22,51197,Mount Rogers,Wythe,11,1,1
2020-04-22,51007,Piedmont,Amelia,15,6,1
2020-04-22,51580,Alleghany,Covington,1,0,0
2020-04-22,51105,Lenowisco,Lee,7,1,0
2020-04-22,51111,Piedmont,Lunenburg,3,0,0
2020-04-22,51520,Mount Rogers,Bristol,1,0,0
2020-04-22,51063,New River,Floyd,1,0,0
2020-04-22,51147,Piedmont,Prince Edward,19,3,2
2020-04-22,51730,Crater,Petersburg,24,8,2
2020-04-22,51131,Eastern Shore,Northampton,8,1,0
2020-04-22,51155,New River,Pulaski,9,2,0
2020-04-22,51770,Roanoke,Roanoke City,27,5,0
2020-04-22,51047,Rappahannock Rapidan,Culpeper,73,9,1
