"Report Date",ZCTA,"Number of Cases","Number of PCR Testing Encounters"
2020-06-28,24571,Suppressed*,85
2020-06-28,24572,20,835
2020-06-28,24574,Suppressed*,163
2020-06-28,24577,Suppressed*,213
2020-06-28,24578,Suppressed*,21
2020-06-28,24579,Suppressed*,21
2020-06-28,24580,Suppressed*,38
2020-06-28,24586,7,226
2020-06-28,24588,6,487
2020-06-28,24589,0,116
2020-06-28,24590,17,486
2020-06-28,24592,22,893
2020-06-28,24593,Suppressed*,85
2020-06-28,24594,Suppressed*,68
2020-06-28,24595,0,10
2020-06-28,24597,Suppressed*,64
2020-06-28,24598,5,77
2020-06-28,24599,Suppressed*,45
2020-06-28,24601,0,2
2020-06-28,24602,0,15
2020-06-28,24603,12,31
2020-06-28,24605,8,453
2020-06-28,24606,0,5
2020-06-28,24607,0,3
2020-06-28,24609,Suppressed*,149
2020-06-28,24612,0,4
2020-06-28,24613,0,40
2020-06-28,24614,17,361
2020-06-28,24620,0,33
2020-06-28,24622,0,28
2020-06-28,24628,0,7
2020-06-28,24630,0,176
2020-06-28,24631,0,33
2020-06-28,24634,0,13
2020-06-28,24635,0,27
2020-06-28,24637,Suppressed*,82
2020-06-28,24639,Suppressed*,89
2020-06-28,24641,0,182
2020-06-28,24646,0,15
2020-06-28,24649,0,52
2020-06-28,24651,0,394
2020-06-28,24656,0,62
2020-06-28,24657,0,4
2020-06-28,"Not Reported",1150,3596
2020-06-28,Out-of-State,0,22286
