"﻿Report Date","Health District","Age Group","Number of Cases","Number of Hospitalizations"
2020-05-05,Alexandria,60-69,87,20
2020-05-05,Portsmouth,30-39,49,3
2020-05-05,Lenowisco,20-29,6,0
2020-05-05,"Central Virginia",30-39,26,1
2020-05-05,Norfolk,10-19,7,0
2020-05-05,"New River",10-19,3,0
2020-05-05,"Central Virginia",20-29,24,1
2020-05-05,Rappahannock,50-59,111,19
2020-05-05,Rappahannock,60-69,75,29
2020-05-05,Piedmont,20-29,44,0
2020-05-05,"New River",60-69,15,2
2020-05-05,Roanoke,40-49,7,0
2020-05-05,"Three Rivers",20-29,30,0
2020-05-05,Rappahannock,40-49,128,16
2020-05-05,Portsmouth,80+,13,4
2020-05-05,"Central Shenandoah",Missing,0,0
2020-05-05,"Eastern Shore",70-79,25,4
2020-05-05,"Mount Rogers",70-79,10,6
2020-05-05,"Cumberland Plateau",70-79,2,0
2020-05-05,Piedmont,10-19,3,0
2020-05-05,Southside,20-29,17,2
2020-05-05,Chesterfield,50-59,119,15
2020-05-05,"Rappahannock Rapidan",20-29,73,1
2020-05-05,"Cumberland Plateau",60-69,2,1
2020-05-05,Roanoke,70-79,6,1
2020-05-05,"Central Shenandoah",20-29,141,1
2020-05-05,Pittsylvania-Danville,80+,3,2
2020-05-05,"Virginia Beach",80+,57,18
2020-05-05,"Central Shenandoah",50-59,175,12
2020-05-05,Lenowisco,Missing,0,0
2020-05-05,Fairfax,30-39,911,73
2020-05-05,Lenowisco,60-69,7,5
2020-05-05,Loudoun,30-39,140,8
2020-05-05,"West Piedmont",80+,3,1
2020-05-05,Roanoke,80+,33,2
2020-05-05,Fairfax,40-49,965,117
2020-05-05,"Thomas Jefferson",80+,55,19
2020-05-05,Roanoke,20-29,9,0
2020-05-05,Henrico,60-69,140,22
2020-05-05,"Lord Fairfax",40-49,80,2
2020-05-05,"Western Tidewater",Missing,0,0
2020-05-05,Chickahominy,60-69,36,11
2020-05-05,Chesapeake,20-29,29,3
2020-05-05,"Three Rivers",Missing,0,0
2020-05-05,Henrico,70-79,143,32
2020-05-05,"Western Tidewater",20-29,28,0
2020-05-05,Peninsula,0-9,7,0
2020-05-05,Loudoun,40-49,221,14
2020-05-05,Pittsylvania-Danville,30-39,6,0
2020-05-05,Loudoun,20-29,141,3
2020-05-05,Crater,60-69,48,19
2020-05-05,Loudoun,80+,93,22
2020-05-05,Arlington,80+,122,33
2020-05-05,"Virginia Beach",10-19,9,0
2020-05-05,"Mount Rogers",80+,4,4
2020-05-05,"Eastern Shore",80+,27,7
2020-05-05,Crater,10-19,8,0
2020-05-05,Lenowisco,30-39,3,1
2020-05-05,Norfolk,Missing,0,0
2020-05-05,Henrico,Missing,0,0
2020-05-05,"New River",40-49,11,1
2020-05-05,"Central Virginia",0-9,3,0
2020-05-05,"New River",70-79,8,5
2020-05-05,Loudoun,0-9,23,0
2020-05-05,"Central Virginia",70-79,13,2
2020-05-05,Southside,0-9,0,0
2020-05-05,"Three Rivers",40-49,59,4
2020-05-05,Chickahominy,30-39,31,0
2020-05-05,"Central Shenandoah",60-69,120,13
2020-05-05,"Western Tidewater",60-69,84,10
2020-05-05,"Cumberland Plateau",30-39,5,0
2020-05-05,Portsmouth,10-19,1,0
2020-05-05,Chesterfield,Missing,0,0
2020-05-05,Alexandria,40-49,187,17
2020-05-05,"Thomas Jefferson",70-79,45,14
2020-05-05,"Three Rivers",30-39,48,2
2020-05-05,"Western Tidewater",70-79,60,15
2020-05-05,Arlington,60-69,163,33
2020-05-05,"Cumberland Plateau",10-19,11,0
2020-05-05,"West Piedmont",30-39,0,0
2020-05-05,Peninsula,10-19,7,1
2020-05-05,Lenowisco,10-19,2,0
2020-05-05,Chesapeake,0-9,4,1
2020-05-05,Peninsula,50-59,70,15
2020-05-05,"Cumberland Plateau",Missing,0,0
2020-05-05,Peninsula,60-69,84,24
2020-05-05,"Lord Fairfax",30-39,79,6
2020-05-05,"Virginia Beach",Missing,0,0
2020-05-05,Arlington,40-49,181,25
2020-05-05,"West Piedmont",10-19,2,0
2020-05-05,Chickahominy,70-79,24,9
2020-05-05,Pittsylvania-Danville,20-29,7,0
2020-05-05,Loudoun,50-59,204,17
2020-05-05,Richmond,30-39,66,4
2020-05-05,"Thomas Jefferson",Missing,0,0
2020-05-05,"Rappahannock Rapidan",80+,10,7
2020-05-05,"Lord Fairfax",Missing,1,0
2020-05-05,"Cumberland Plateau",50-59,3,1
2020-05-05,Loudoun,Missing,0,0
2020-05-05,Southside,50-59,19,3
2020-05-05,Chesterfield,20-29,75,3
2020-05-05,Norfolk,70-79,13,9
2020-05-05,Alleghany,10-19,2,0
2020-05-05,Crater,80+,17,4
2020-05-05,Portsmouth,Missing,0,0
2020-05-05,"Western Tidewater",10-19,2,0
2020-05-05,Chesterfield,10-19,46,0
2020-05-05,Southside,60-69,17,6
2020-05-05,Norfolk,0-9,5,0
2020-05-05,"Cumberland Plateau",40-49,4,0
2020-05-05,"Eastern Shore",10-19,17,0
2020-05-05,"Mount Rogers",10-19,6,0
2020-05-05,"Rappahannock Rapidan",0-9,11,1
2020-05-05,"Three Rivers",0-9,2,0
2020-05-05,Henrico,40-49,130,12
2020-05-05,Alexandria,50-59,131,23
2020-05-05,Arlington,0-9,10,1
2020-05-05,Chickahominy,Missing,0,0
2020-05-05,"New River",20-29,18,0
2020-05-05,"Virginia Beach",20-29,50,1
2020-05-05,Chesapeake,50-59,60,13
2020-05-05,Alleghany,80+,20,4
2020-05-05,Fairfax,10-19,148,4
2020-05-05,Chesapeake,60-69,45,14
2020-05-05,"West Piedmont",Missing,0,0
2020-05-05,Peninsula,80+,30,20
2020-05-05,Crater,40-49,38,8
2020-05-05,Chesapeake,40-49,50,8
2020-05-05,"Thomas Jefferson",20-29,40,0
2020-05-05,"Lord Fairfax",20-29,86,0
2020-05-05,Norfolk,20-29,48,0
2020-05-05,Arlington,30-39,198,23
2020-05-05,"West Piedmont",60-69,12,1
2020-05-05,Henrico,50-59,139,17
2020-05-05,"West Piedmont",50-59,10,1
2020-05-05,"Cumberland Plateau",20-29,0,0
2020-05-05,Alexandria,70-79,57,24
2020-05-05,Portsmouth,20-29,22,2
2020-05-05,"Western Tidewater",30-39,31,1
2020-05-05,"Central Shenandoah",0-9,14,0
2020-05-05,Henrico,80+,219,48
2020-05-05,Alexandria,0-9,41,2
2020-05-05,Pittsylvania-Danville,40-49,8,3
2020-05-05,Henrico,20-29,83,5
2020-05-05,Roanoke,60-69,7,1
2020-05-05,Peninsula,30-39,42,4
2020-05-05,Alleghany,60-69,21,4
2020-05-05,"Prince William",70-79,101,34
2020-05-05,Norfolk,60-69,29,13
2020-05-05,Southside,40-49,13,3
2020-05-05,Chesterfield,30-39,125,1
2020-05-05,Loudoun,70-79,57,19
2020-05-05,"Central Virginia",40-49,18,0
2020-05-05,"New River",Missing,0,0
2020-05-05,Chickahominy,20-29,31,0
2020-05-05,"New River",0-9,2,0
2020-05-05,"Cumberland Plateau",0-9,0,0
2020-05-05,"Three Rivers",70-79,18,4
2020-05-05,"Rappahannock Rapidan",40-49,91,3
2020-05-05,Hampton,0-9,4,0
2020-05-05,Piedmont,50-59,54,5
2020-05-05,Rappahannock,20-29,112,5
2020-05-05,"West Piedmont",20-29,5,0
2020-05-05,Arlington,70-79,106,32
2020-05-05,Chickahominy,50-59,56,11
2020-05-05,Alleghany,40-49,16,0
2020-05-05,"Prince William",50-59,490,59
2020-05-05,"Mount Rogers",0-9,5,1
2020-05-05,"Eastern Shore",0-9,5,0
2020-05-05,"Thomas Jefferson",60-69,45,12
2020-05-05,Pittsylvania-Danville,70-79,9,6
2020-05-05,Chesterfield,80+,81,10
2020-05-05,Richmond,0-9,4,1
2020-05-05,Chesapeake,80+,29,9
2020-05-05,Peninsula,40-49,42,3
2020-05-05,Henrico,0-9,22,0
2020-05-05,Lenowisco,80+,0,0
2020-05-05,Piedmont,60-69,43,6
2020-05-05,Henrico,10-19,11,0
2020-05-05,"Mount Rogers",30-39,21,3
2020-05-05,"Eastern Shore",30-39,102,2
2020-05-05,Chesterfield,0-9,2,0
2020-05-05,"Central Shenandoah",10-19,30,0
2020-05-05,Crater,0-9,0,0
2020-05-05,Fairfax,70-79,300,110
2020-05-05,Rappahannock,80+,11,8
2020-05-05,Alexandria,10-19,50,0
2020-05-05,Portsmouth,40-49,28,3
2020-05-05,"Three Rivers",50-59,32,3
2020-05-05,Alleghany,Missing,0,0
2020-05-05,Alexandria,30-39,247,14
2020-05-05,Southside,Missing,0,0
2020-05-05,Portsmouth,60-69,25,8
2020-05-05,Roanoke,30-39,8,0
2020-05-05,"Three Rivers",60-69,39,7
2020-05-05,Fairfax,50-59,870,137
2020-05-05,Portsmouth,50-59,35,10
2020-05-05,Chickahominy,80+,38,20
2020-05-05,"Rappahannock Rapidan",50-59,57,6
2020-05-05,Fairfax,80+,381,158
2020-05-05,Hampton,Missing,0,0
2020-05-05,"Cumberland Plateau",80+,0,0
2020-05-05,Alleghany,50-59,32,4
2020-05-05,"Prince William",40-49,586,52
2020-05-05,Fairfax,Missing,10,0
2020-05-05,"Virginia Beach",40-49,67,12
2020-05-05,Richmond,Missing,0,0
2020-05-05,Norfolk,40-49,48,8
2020-05-05,Piedmont,80+,9,1
2020-05-05,"Virginia Beach",60-69,74,13
2020-05-05,"West Piedmont",40-49,8,0
2020-05-05,Arlington,10-19,26,3
2020-05-05,Lenowisco,0-9,4,0
2020-05-05,Pittsylvania-Danville,50-59,10,5
2020-05-05,"Virginia Beach",50-59,71,12
2020-05-05,Chesapeake,Missing,0,0
2020-05-05,"Central Shenandoah",80+,61,8
2020-05-05,"Thomas Jefferson",40-49,34,4
2020-05-05,"Rappahannock Rapidan",60-69,36,7
2020-05-05,Norfolk,30-39,52,4
2020-05-05,"Rappahannock Rapidan",Missing,0,0
2020-05-05,"Lord Fairfax",80+,36,9
2020-05-05,"Three Rivers",10-19,7,0
2020-05-05,Piedmont,40-49,57,2
2020-05-05,Norfolk,80+,7,5
2020-05-05,Peninsula,20-29,32,1
2020-05-05,Norfolk,50-59,42,7
2020-05-05,"Thomas Jefferson",50-59,49,9
2020-05-05,Richmond,70-79,33,15
2020-05-05,Chesterfield,70-79,56,11
2020-05-05,Piedmont,30-39,54,0
2020-05-05,"Prince William",30-39,508,30
2020-05-05,Alleghany,20-29,14,1
2020-05-05,Alleghany,0-9,0,0
2020-05-05,"Mount Rogers",40-49,15,0
2020-05-05,"Eastern Shore",40-49,111,3
2020-05-05,"Central Virginia",60-69,28,2
2020-05-05,Richmond,10-19,9,1
2020-05-05,Pittsylvania-Danville,60-69,8,4
2020-05-05,Pittsylvania-Danville,Missing,0,0
2020-05-05,Chesterfield,60-69,85,13
2020-05-05,Southside,10-19,3,0
2020-05-05,"New River",80+,4,2
2020-05-05,"Central Virginia",50-59,25,1
2020-05-05,Hampton,70-79,8,5
2020-05-05,Pittsylvania-Danville,10-19,1,0
2020-05-05,Richmond,60-69,71,21
2020-05-05,Chickahominy,40-49,46,7
2020-05-05,"Three Rivers",80+,19,4
2020-05-05,Rappahannock,30-39,127,7
2020-05-05,"Lord Fairfax",60-69,83,14
2020-05-05,"Western Tidewater",0-9,3,0
2020-05-05,Rappahannock,70-79,22,14
2020-05-05,"Prince William",80+,59,21
2020-05-05,Hampton,80+,3,2
2020-05-05,Alexandria,80+,44,18
2020-05-05,"Mount Rogers",60-69,13,1
2020-05-05,"Eastern Shore",60-69,82,5
2020-05-05,"Lord Fairfax",70-79,38,8
2020-05-05,"New River",30-39,4,0
2020-05-05,Chesapeake,10-19,4,0
2020-05-05,Hampton,40-49,14,2
2020-05-05,Peninsula,Missing,0,0
,,,,
,,,,
