Report Date,Health District,Age Group,Number of Cases,Number of Hospitalizations,Number of Deaths
2020-07-11,Chesterfield,30-39,663,10,0
2020-07-11,Loudoun,70-79,144,46,18
2020-07-11,Central Virginia,40-49,70,0,0
2020-07-11,New River,Missing,0,0,0
2020-07-11,Chickahominy,20-29,103,1,0
2020-07-11,New River,0-9,7,0,0
2020-07-11,Cumberland Plateau,0-9,2,0,0
2020-07-11,Three Rivers,70-79,37,8,5
2020-07-11,Rappahannock Rapidan,40-49,313,19,2
2020-07-11,Hampton,0-9,16,0,0
2020-07-11,Piedmont,50-59,198,23,1
2020-07-11,Rappahannock,20-29,459,13,0
2020-07-11,West Piedmont,20-29,93,1,0
2020-07-11,Arlington,70-79,176,72,33
2020-07-11,Arlington,50-59,386,68,6
2020-07-11,Piedmont,70-79,73,24,4
2020-07-11,Alexandria,60-69,208,47,2
2020-07-11,Portsmouth,30-39,142,7,1
2020-07-11,Lenowisco,20-29,10,0,0
2020-07-11,Central Virginia,30-39,73,1,0
2020-07-11,Norfolk,10-19,76,1,0
2020-07-11,New River,10-19,34,0,0
2020-07-11,Central Virginia,20-29,105,2,0
2020-07-11,Rappahannock,50-59,408,51,4
2020-07-11,Rappahannock,60-69,222,46,6
2020-07-11,Piedmont,20-29,177,2,0
2020-07-11,New River,60-69,28,5,0
2020-07-11,Roanoke,40-49,80,1,0
2020-07-11,Three Rivers,20-29,136,4,0
2020-07-11,Rappahannock,40-49,474,43,2
2020-07-11,Portsmouth,80,17,8,5
2020-07-11,Central Shenandoah,Missing,1,0,0
2020-07-11,Eastern Shore,70-79,47,16,9
2020-07-11,Mount Rogers,70-79,71,28,12
2020-07-11,Cumberland Plateau,70-79,7,0,0
2020-07-11,Piedmont,10-19,35,0,0
2020-07-11,Southside,20-29,50,2,0
2020-07-11,Chesterfield,50-59,470,38,4
2020-07-11,Rappahannock Rapidan,20-29,288,4,0
2020-07-11,Cumberland Plateau,60-69,7,1,0
2020-07-11,Roanoke,70-79,17,3,1
2020-07-11,Central Shenandoah,20-29,436,8,0
2020-07-11,Pittsylvania-Danville,80,9,5,2
2020-07-11,Virginia Beach,80,96,33,21
2020-07-11,Central Shenandoah,50-59,395,33,3
2020-07-11,Lenowisco,Missing,0,0,0
2020-07-11,Fairfax,30-39,2806,181,6
2020-07-11,Lenowisco,60-69,7,5,2
2020-07-11,Loudoun,30-39,760,27,0
2020-07-11,West Piedmont,80,18,9,1
2020-07-11,Roanoke,80,43,3,9
2020-07-11,Fairfax,40-49,2712,256,9
2020-07-11,Thomas Jefferson,80,103,27,19
2020-07-11,Roanoke,20-29,128,3,0
2020-07-11,Henrico,60-69,298,51,34
2020-07-11,Lord Fairfax,40-49,340,17,1
2020-07-11,Western Tidewater,Missing,9,0,0
2020-07-11,Chickahominy,60-69,78,20,6
2020-07-11,Chesapeake,20-29,219,4,0
2020-07-11,Three Rivers,Missing,4,0,0
2020-07-11,Henrico,10-19,185,3,0
2020-07-11,Mount Rogers,30-39,117,4,0
2020-07-11,Eastern Shore,30-39,234,8,0
2020-07-11,Lord Fairfax,60-69,234,48,14
2020-07-11,Western Tidewater,0-9,14,0,0
2020-07-11,Rappahannock,70-79,106,30,14
2020-07-11,Prince William,80,239,81,72
2020-07-11,Hampton,80,12,2,1
2020-07-11,Alexandria,80,93,28,25
2020-07-11,Mount Rogers,60-69,98,10,0
2020-07-11,Eastern Shore,60-69,179,29,8
2020-07-11,Lord Fairfax,70-79,136,41,17
2020-07-11,New River,30-39,35,1,0
2020-07-11,Chesapeake,10-19,64,1,0
2020-07-11,Hampton,40-49,72,5,0
2020-07-11,Peninsula,Missing,10,0,0
2020-07-11,Henrico,70-79,214,48,42
2020-07-11,Western Tidewater,20-29,124,3,0
2020-07-11,Peninsula,0-9,45,0,0
2020-07-11,Loudoun,40-49,844,48,1
2020-07-11,Pittsylvania-Danville,30-39,39,1,0
2020-07-11,Loudoun,20-29,704,6,0
2020-07-11,Crater,60-69,245,47,15
2020-07-11,Loudoun,80,192,50,71
2020-07-11,Arlington,80,203,84,69
2020-07-11,Virginia Beach,10-19,95,0,0
2020-07-11,Mount Rogers,80,78,25,21
2020-07-11,Eastern Shore,80,50,22,18
2020-07-11,Crater,10-19,62,0,0
2020-07-11,Lenowisco,30-39,8,1,1
2020-07-11,Norfolk,Missing,21,1,0
2020-07-11,Henrico,Missing,33,1,1
2020-07-11,New River,40-49,42,1,0
2020-07-11,Central Virginia,0-9,7,0,0
2020-07-11,New River,70-79,19,8,4
2020-07-11,Loudoun,0-9,158,3,0
2020-07-11,Central Virginia,70-79,25,4,2
2020-07-11,Southside,0-9,6,0,0
2020-07-11,Three Rivers,40-49,164,12,2
2020-07-11,Chickahominy,30-39,97,2,0
2020-07-11,Central Shenandoah,60-69,277,47,11
2020-07-11,Western Tidewater,60-69,148,18,6
2020-07-11,Cumberland Plateau,30-39,15,0,0
2020-07-11,Portsmouth,10-19,32,0,0
2020-07-11,Chesterfield,Missing,80,0,0
2020-07-11,Alexandria,40-49,451,38,0
2020-07-11,Thomas Jefferson,70-79,73,21,5
2020-07-11,Three Rivers,30-39,171,3,0
2020-07-11,Western Tidewater,70-79,96,22,19
2020-07-11,Arlington,60-69,287,80,19
2020-07-11,Cumberland Plateau,10-19,23,0,0
2020-07-11,West Piedmont,30-39,98,3,0
2020-07-11,Peninsula,10-19,73,1,0
2020-07-11,Lenowisco,10-19,8,0,0
2020-07-11,Chesapeake,0-9,37,1,0
2020-07-11,Peninsula,50-59,171,21,3
2020-07-11,Cumberland Plateau,Missing,0,0,0
2020-07-11,Peninsula,60-69,143,29,3
2020-07-11,Lord Fairfax,30-39,359,11,1
2020-07-11,Virginia Beach,Missing,56,0,0
2020-07-11,Arlington,40-49,438,49,7
2020-07-11,West Piedmont,10-19,76,0,0
2020-07-11,Chickahominy,70-79,60,22,7
2020-07-11,Pittsylvania-Danville,20-29,30,0,0
2020-07-11,Loudoun,50-59,672,59,2
2020-07-11,Richmond,30-39,518,25,1
2020-07-11,Thomas Jefferson,Missing,2,0,0
2020-07-11,Rappahannock Rapidan,80,27,13,8
2020-07-11,Lord Fairfax,Missing,2,0,0
2020-07-11,Cumberland Plateau,50-59,9,1,0
2020-07-11,Loudoun,Missing,65,0,1
2020-07-11,Southside,50-59,66,9,0
2020-07-11,Chesterfield,20-29,573,7,0
2020-07-11,Norfolk,70-79,55,25,4
2020-07-11,Alleghany,10-19,82,0,0
2020-07-11,Crater,80,116,20,12
2020-07-11,Portsmouth,Missing,15,0,0
2020-07-11,Western Tidewater,10-19,28,0,0
2020-07-11,Chesterfield,10-19,320,0,0
2020-07-11,Southside,60-69,61,13,5
