"Report Date","Health District",Sex,"Number of Cases","Number of Hospitalizations"
2020-09-04,"Central Shenandoah","Not Reported",5,0
2020-09-04,Peninsula,Male,1872,94
2020-09-04,Norfolk,Male,2132,149
2020-09-04,Alexandria,Female,1796,138
2020-09-04,Lenowisco,Male,376,35
2020-09-04,Pittsylvania-Danville,Female,801,61
2020-09-04,"New River","Not Reported",13,0
2020-09-04,Chesterfield,"Not Reported",130,0
2020-09-04,Loudoun,Male,3001,220
2020-09-04,"Rappahannock Rapidan",Female,1199,64
2020-09-04,Piedmont,Female,560,51
2020-09-04,Richmond,Male,1995,191
2020-09-04,Crater,Female,1426,135
2020-09-04,Portsmouth,Female,1256,104
2020-09-04,Arlington,"Not Reported",6,0
2020-09-04,"Mount Rogers","Not Reported",13,0
2020-09-04,"Thomas Jefferson","Not Reported",4,0
2020-09-04,"Three Rivers","Not Reported",22,0
2020-09-04,Hampton,Male,713,36
2020-09-04,Alleghany,Male,570,37
2020-09-04,Roanoke,Female,638,28
2020-09-04,Loudoun,"Not Reported",48,0
2020-09-04,Fairfax,Female,9662,900
2020-09-04,"Western Tidewater",Male,1348,90
2020-09-04,Peninsula,"Not Reported",15,0
2020-09-04,"New River",Male,822,26
2020-09-04,"Central Shenandoah",Male,1691,116
2020-09-04,Southside,Male,574,39
2020-09-04,Chesterfield,Male,2689,163
2020-09-04,Arlington,Female,1782,206
2020-09-04,Rappahannock,Male,2153,191
2020-09-04,"Central Virginia",Male,1164,46
2020-09-04,Alleghany,"Not Reported",6,0
2020-09-04,Henrico,Male,2228,196
2020-09-04,"Thomas Jefferson",Male,1221,83
2020-09-04,"Lord Fairfax",Male,1340,134
2020-09-04,"Three Rivers",Male,768,46
2020-09-04,Richmond,"Not Reported",49,2
2020-09-04,Pittsylvania-Danville,Male,665,43
2020-09-04,Portsmouth,"Not Reported",3,0
2020-09-04,Norfolk,"Not Reported",2,0
2020-09-04,Chesapeake,Male,1737,165
2020-09-04,Chickahominy,Female,739,72
2020-09-04,"Prince William",Male,6584,592
2020-09-04,"Eastern Shore","Not Reported",9,0
2020-09-04,"Eastern Shore",Male,711,67
2020-09-04,"Rappahannock Rapidan",Male,1124,92
2020-09-04,Henrico,"Not Reported",26,0
2020-09-04,"Cumberland Plateau",Female,297,24
2020-09-04,"West Piedmont",Male,728,92
2020-09-04,Hampton,"Not Reported",5,0
2020-09-04,Alexandria,"Not Reported",10,0
2020-09-04,"Western Tidewater","Not Reported",3,0
2020-09-04,"Cumberland Plateau","Not Reported",0,0
2020-09-04,"Virginia Beach",Male,2787,157
2020-09-04,Alleghany,Female,648,26
2020-09-04,Lenowisco,Female,375,31
2020-09-04,"Virginia Beach","Not Reported",15,0
2020-09-04,"Western Tidewater",Female,1647,72
2020-09-04,"Mount Rogers",Male,939,121
2020-09-04,"Lord Fairfax",Female,1493,119
2020-09-04,Piedmont,"Not Reported",4,0
2020-09-04,Alexandria,Male,1653,164
2020-09-04,Pittsylvania-Danville,"Not Reported",8,0
2020-09-04,"West Piedmont","Not Reported",7,0
2020-09-04,Loudoun,Female,3097,174
2020-09-04,Hampton,Female,885,18
2020-09-04,Henrico,Female,2484,190
2020-09-04,"Prince William","Not Reported",114,1
2020-09-04,Chickahominy,Male,551,72
2020-09-04,"Rappahannock Rapidan","Not Reported",14,0
2020-09-04,Peninsula,Female,2015,87
2020-09-04,Lenowisco,"Not Reported",5,0
2020-09-04,Crater,"Not Reported",50,1
2020-09-04,Chickahominy,"Not Reported",6,0
2020-09-04,Portsmouth,Male,1010,87
2020-09-04,"New River",Female,833,11
2020-09-04,Rappahannock,Female,2420,167
2020-09-04,"Central Virginia",Female,1298,38
2020-09-04,Roanoke,"Not Reported",13,0
2020-09-04,"West Piedmont",Female,956,111
2020-09-04,"Mount Rogers",Female,1162,70
2020-09-04,Piedmont,Male,1178,76
2020-09-04,Chesterfield,Female,2815,144
2020-09-04,Fairfax,Male,9131,1201
2020-09-04,Crater,Male,1813,116
2020-09-04,"Central Virginia","Not Reported",19,0
2020-09-04,"Prince William",Female,6785,453
2020-09-04,"Virginia Beach",Female,3358,170
2020-09-04,Norfolk,Female,2334,152
2020-09-04,"Three Rivers",Female,542,48
2020-09-04,Arlington,Male,1817,266
2020-09-04,"Central Shenandoah",Female,1987,123
2020-09-04,Southside,Female,520,32
2020-09-05,Southside,"Not Reported",4,0
2020-09-05,Chesapeake,Female,2149,177
2020-09-05,Richmond,Female,2029,188
2020-09-05,Roanoke,Male,573,23
2020-09-05,Fairfax,"Not Reported",138,2
2020-09-05,"Thomas Jefferson",Female,1387,88
2020-09-05,Chesapeake,"Not Reported",5,0
2020-09-05,"Cumberland Plateau",Male,267,25
2020-09-05,"Eastern Shore",Female,735,69
2020-09-05,"Lord Fairfax","Not Reported",13,0
2020-09-05,Rappahannock,"Not Reported",4,0
2020-09-05,"Central Shenandoah","Not Reported",5,0
2020-09-05,Peninsula,Male,1882,94
2020-09-05,Norfolk,Male,2138,152
2020-09-05,Alexandria,Female,1808,138
2020-09-05,Lenowisco,Male,380,35
2020-09-05,Pittsylvania-Danville,Female,808,62
2020-09-05,"New River","Not Reported",13,0
2020-09-05,Chesterfield,"Not Reported",130,0
2020-09-05,Loudoun,Male,3021,220
2020-09-05,"Rappahannock Rapidan",Female,1200,66
2020-09-05,Piedmont,Female,563,51
2020-09-05,Richmond,Male,2021,194
2020-09-05,Crater,Female,1437,135
2020-09-05,Portsmouth,Female,1259,105
2020-09-05,Arlington,"Not Reported",6,1
2020-09-05,"Mount Rogers","Not Reported",14,0
2020-09-05,"Thomas Jefferson","Not Reported",4,0
2020-09-05,"Three Rivers","Not Reported",22,0
2020-09-05,Hampton,Male,720,36
2020-09-05,Alleghany,Male,575,38
2020-09-05,Roanoke,Female,648,28
2020-09-05,Loudoun,"Not Reported",47,0
2020-09-05,Fairfax,Female,9729,902
2020-09-05,"Western Tidewater",Male,1358,91
2020-09-05,Peninsula,"Not Reported",16,0
2020-09-05,"New River",Male,855,26
2020-09-05,"Central Shenandoah",Male,1737,120
2020-09-05,Southside,Male,586,40
2020-09-05,Chesterfield,Male,2703,163
2020-09-05,Arlington,Female,1790,207
2020-09-05,Rappahannock,Male,2168,195
2020-09-05,"Central Virginia",Male,1183,46
2020-09-05,Alleghany,"Not Reported",7,0
2020-09-05,Henrico,Male,2237,196
2020-09-05,"Thomas Jefferson",Male,1233,83
2020-09-05,"Lord Fairfax",Male,1341,134
2020-09-05,"Three Rivers",Male,772,46
2020-09-05,Richmond,"Not Reported",49,2
2020-09-05,Pittsylvania-Danville,Male,669,43
2020-09-05,Portsmouth,"Not Reported",3,0
2020-09-05,Norfolk,"Not Reported",2,0
2020-09-05,Chesapeake,Male,1745,165
2020-09-05,Chickahominy,Female,746,72
2020-09-05,"Prince William",Male,6604,595
2020-09-05,"Eastern Shore","Not Reported",9,0
2020-09-05,"Eastern Shore",Male,712,67
2020-09-05,"Rappahannock Rapidan",Male,1129,94
2020-09-05,Henrico,"Not Reported",26,0
2020-09-05,"Cumberland Plateau",Female,302,24
2020-09-05,"West Piedmont",Male,742,93
2020-09-05,Hampton,"Not Reported",5,0
2020-09-05,Alexandria,"Not Reported",10,0
2020-09-05,"Western Tidewater","Not Reported",2,0
2020-09-05,"Cumberland Plateau","Not Reported",0,0
2020-09-05,"Virginia Beach",Male,2800,157
2020-09-05,Alleghany,Female,652,27
2020-09-05,Lenowisco,Female,380,32
2020-09-05,"Virginia Beach","Not Reported",15,0
2020-09-05,"Western Tidewater",Female,1666,72
2020-09-05,"Mount Rogers",Male,952,121
2020-09-05,"Lord Fairfax",Female,1495,119
2020-09-05,Piedmont,"Not Reported",4,0
2020-09-05,Alexandria,Male,1658,164
2020-09-05,Pittsylvania-Danville,"Not Reported",8,0
2020-09-05,"West Piedmont","Not Reported",7,0
2020-09-05,Loudoun,Female,3098,174
2020-09-05,Hampton,Female,889,19
2020-09-05,Henrico,Female,2494,191
2020-09-05,"Prince William","Not Reported",113,1
2020-09-05,Chickahominy,Male,554,72
2020-09-05,"Rappahannock Rapidan","Not Reported",13,0
2020-09-05,Peninsula,Female,2022,87
2020-09-05,Lenowisco,"Not Reported",6,0
2020-09-05,Crater,"Not Reported",49,2
2020-09-05,Chickahominy,"Not Reported",6,0
2020-09-05,Portsmouth,Male,1015,88
2020-09-05,"New River",Female,882,12
2020-09-05,Rappahannock,Female,2436,167
2020-09-05,"Central Virginia",Female,1310,38
2020-09-05,Roanoke,"Not Reported",14,0
2020-09-05,"West Piedmont",Female,981,112
2020-09-05,"Mount Rogers",Female,1195,71
2020-09-05,Piedmont,Male,1183,76
2020-09-05,Chesterfield,Female,2845,146
2020-09-05,Fairfax,Male,9201,1203
2020-09-05,Crater,Male,1826,117
2020-09-05,"Central Virginia","Not Reported",20,0
2020-09-05,"Prince William",Female,6813,453
2020-09-05,"Virginia Beach",Female,3368,170
2020-09-05,Norfolk,Female,2341,156
2020-09-05,"Three Rivers",Female,549,48
2020-09-05,Arlington,Male,1824,268
2020-09-05,"Central Shenandoah",Female,2038,123
2020-09-05,Southside,Female,530,32
2020-09-06,Southside,"Not Reported",4,0
2020-09-06,Chesapeake,Female,2165,178
2020-09-06,Richmond,Female,2051,189
2020-09-06,Roanoke,Male,585,23
2020-09-06,Fairfax,"Not Reported",138,2
2020-09-06,"Thomas Jefferson",Female,1407,88
2020-09-06,Chesapeake,"Not Reported",5,0
2020-09-06,"Cumberland Plateau",Male,269,25
2020-09-06,"Eastern Shore",Female,736,69
2020-09-06,"Lord Fairfax","Not Reported",13,0
2020-09-06,Rappahannock,"Not Reported",5,0
2020-09-06,"Central Shenandoah","Not Reported",7,0
2020-09-06,Peninsula,Male,1899,94
2020-09-06,Norfolk,Male,2141,152
2020-09-06,Alexandria,Female,1821,138
2020-09-06,Lenowisco,Male,387,36
2020-09-06,Pittsylvania-Danville,Female,834,62
2020-09-06,"New River","Not Reported",15,0
2020-09-06,Chesterfield,"Not Reported",131,0
2020-09-06,Loudoun,Male,3036,220
2020-09-06,"Rappahannock Rapidan",Female,1209,66
2020-09-06,Piedmont,Female,565,51
2020-09-06,Richmond,Male,2036,196
2020-09-06,Crater,Female,1452,135
2020-09-06,Portsmouth,Female,1261,106
2020-09-06,Arlington,"Not Reported",6,1
2020-09-06,"Mount Rogers","Not Reported",14,0
2020-09-06,"Thomas Jefferson","Not Reported",4,0
2020-09-06,"Three Rivers","Not Reported",22,0
2020-09-06,Hampton,Male,725,37
2020-09-06,Alleghany,Male,582,38
2020-09-06,Roanoke,Female,669,29
2020-09-06,Loudoun,"Not Reported",47,0
2020-09-06,Fairfax,Female,9784,904
2020-09-06,"Western Tidewater",Male,1366,91
2020-09-06,Peninsula,"Not Reported",16,0
2020-09-06,"New River",Male,931,26
2020-09-06,"Central Shenandoah",Male,1777,121
2020-09-06,Southside,Male,598,40
2020-09-06,Chesterfield,Male,2706,164
2020-09-06,Arlington,Female,1795,207
2020-09-06,Rappahannock,Male,2178,196
2020-09-06,"Central Virginia",Male,1195,46
2020-09-06,Alleghany,"Not Reported",7,0
2020-09-06,Henrico,Male,2251,197
2020-09-06,"Thomas Jefferson",Male,1253,83
2020-09-06,"Lord Fairfax",Male,1349,134
2020-09-06,"Three Rivers",Male,781,46
2020-09-06,Richmond,"Not Reported",48,2
2020-09-06,Pittsylvania-Danville,Male,688,44
2020-09-06,Portsmouth,"Not Reported",3,0
2020-09-06,Norfolk,"Not Reported",2,0
2020-09-06,Chesapeake,Male,1762,166
2020-09-06,Chickahominy,Female,753,72
2020-09-06,"Prince William",Male,6650,596
2020-09-06,"Eastern Shore","Not Reported",9,0
2020-09-06,"Eastern Shore",Male,712,67
2020-09-06,"Rappahannock Rapidan",Male,1133,94
2020-09-06,Henrico,"Not Reported",29,0
2020-09-06,"Cumberland Plateau",Female,306,24
2020-09-06,"West Piedmont",Male,747,93
2020-09-06,Hampton,"Not Reported",5,0
2020-09-06,Alexandria,"Not Reported",10,0
2020-09-06,"Western Tidewater","Not Reported",2,0
2020-09-06,"Cumberland Plateau","Not Reported",0,0
2020-09-06,"Virginia Beach",Male,2817,158
2020-09-06,Alleghany,Female,666,27
2020-09-06,Lenowisco,Female,390,33
2020-09-06,"Virginia Beach","Not Reported",16,0
2020-09-06,"Western Tidewater",Female,1682,75
2020-09-06,"Mount Rogers",Male,978,123
2020-09-06,"Lord Fairfax",Female,1500,119
2020-09-06,Piedmont,"Not Reported",4,0
2020-09-06,Alexandria,Male,1669,164
2020-09-06,Pittsylvania-Danville,"Not Reported",8,0
2020-09-06,"West Piedmont","Not Reported",7,0
2020-09-06,Loudoun,Female,3115,174
2020-09-06,Hampton,Female,898,20
2020-09-06,Henrico,Female,2515,193
2020-09-06,"Prince William","Not Reported",114,1
2020-09-06,Chickahominy,Male,560,72
2020-09-06,"Rappahannock Rapidan","Not Reported",16,0
