"Report Date",ZCTA,"Number of Cases","Number of PCR Testing Encounters"
2020-07-14,22960,51,1155
2020-07-14,22963,41,1258
2020-07-14,22964,0,14
2020-07-14,22967,Suppressed*,146
2020-07-14,22968,49,902
2020-07-14,22969,Suppressed*,114
2020-07-14,22971,0,107
2020-07-14,22972,Suppressed*,37
2020-07-14,22973,25,746
2020-07-14,22974,31,404
2020-07-14,22976,0,17
2020-07-14,22980,129,2567
2020-07-14,22989,0,8
2020-07-14,23002,43,1221
2020-07-14,23004,13,110
2020-07-14,23005,77,1756
2020-07-14,23009,31,612
2020-07-14,23011,Suppressed*,82
2020-07-14,23015,16,337
2020-07-14,23021,0,12
2020-07-14,23022,14,97
2020-07-14,23023,Suppressed*,27
2020-07-14,23024,43,711
2020-07-14,23025,0,19
2020-07-14,23027,15,129
2020-07-14,23030,31,507
2020-07-14,23032,0,31
2020-07-14,23035,Suppressed*,82
2020-07-14,23038,9,141
2020-07-14,23039,Suppressed*,78
2020-07-14,23040,34,411
2020-07-14,23043,Suppressed*,121
2020-07-14,23045,0,Suppressed*
2020-07-14,23047,10,181
2020-07-14,23050,Suppressed*,57
2020-07-14,23055,43,116
2020-07-14,23056,0,10
2020-07-14,23059,119,2702
2020-07-14,23060,209,3496
2020-07-14,23061,46,1641
2020-07-14,23062,6,171
2020-07-14,23063,62,672
2020-07-14,23064,0,7
2020-07-14,23065,Suppressed*,130
2020-07-14,23066,0,66
2020-07-14,23068,0,16
2020-07-14,23069,14,305
2020-07-14,23070,0,30
2020-07-14,23071,Suppressed*,116
2020-07-14,23072,21,804
2020-07-14,23075,144,1179
2020-07-14,23076,0,35
2020-07-14,23079,0,22
2020-07-14,23083,9,187
2020-07-14,23084,9,173
2020-07-14,23085,Suppressed*,25
2020-07-14,23086,15,246
2020-07-14,23089,13,422
2020-07-14,23091,0,28
2020-07-14,23092,0,123
2020-07-14,23093,47,1290
2020-07-14,23102,10,255
2020-07-14,23103,31,543
2020-07-14,23106,Suppressed*,78
2020-07-14,23108,0,6
2020-07-14,23109,Suppressed*,157
2020-07-14,23110,Suppressed*,44
2020-07-14,23111,155,3557
2020-07-14,23112,221,4695
2020-07-14,23113,164,2661
2020-07-14,23114,84,1672
2020-07-14,23115,13,31
2020-07-14,23116,170,2835
2020-07-14,23117,30,870
2020-07-14,23119,Suppressed*,24
2020-07-14,23120,53,962
2020-07-14,23123,17,238
2020-07-14,23124,17,392
2020-07-14,23125,Suppressed*,10
2020-07-14,23126,Suppressed*,50
2020-07-14,23128,Suppressed*,79
2020-07-14,23129,Suppressed*,29
2020-07-14,23130,Suppressed*,13
2020-07-14,23138,0,36
2020-07-14,23139,72,1804
2020-07-14,23140,27,561
2020-07-14,23141,30,607
2020-07-14,23146,9,238
2020-07-14,23148,Suppressed*,158
2020-07-14,23149,8,346
2020-07-14,23150,109,1258
2020-07-14,23153,6,112
2020-07-14,23156,5,103
2020-07-14,23160,13,87
2020-07-14,23161,0,6
2020-07-14,23163,0,10
2020-07-14,23168,20,675
2020-07-14,23169,Suppressed*,82
2020-07-14,23173,Suppressed*,7
2020-07-14,23175,Suppressed*,178
2020-07-14,23176,0,46
2020-07-14,23177,Suppressed*,58
2020-07-14,23180,0,25
2020-07-14,23181,6,499
2020-07-14,23185,282,4439
2020-07-14,23187,Suppressed*,31
2020-07-14,23188,217,4108
2020-07-14,23192,19,560
2020-07-14,23219,29,935
2020-07-14,23220,135,3625
2020-07-14,23221,53,1654
2020-07-14,23222,175,2917
2020-07-14,23223,451,6420
2020-07-14,23224,996,7126
2020-07-14,23225,543,6106
2020-07-14,23226,255,3102
2020-07-14,23227,194,3807
2020-07-14,23228,402,4004
2020-07-14,23229,306,4132
2020-07-14,23230,87,3278
2020-07-14,23231,235,3849
2020-07-14,23233,176,3076
2020-07-14,23234,1175,6119
2020-07-14,23235,309,3791
2020-07-14,23236,185,2813
2020-07-14,23237,423,3054
2020-07-14,23238,303,3078
2020-07-14,23250,0,5
2020-07-14,23294,177,1779
2020-07-14,23301,97,290
2020-07-14,23302,Suppressed*,19
2020-07-14,23303,19,145
2020-07-14,23304,Suppressed*,15
2020-07-14,23306,27,165
2020-07-14,23307,17,80
2020-07-14,23308,52,251
2020-07-14,23310,32,353
2020-07-14,23313,Suppressed*,13
2020-07-14,23314,29,587
2020-07-14,23315,Suppressed*,106
2020-07-14,23316,14,107
2020-07-14,23320,389,8876
2020-07-14,23321,163,2753
2020-07-14,23322,205,5539
2020-07-14,23323,270,2993
2020-07-14,23324,242,1849
2020-07-14,23325,102,1376
2020-07-14,23336,10,204
2020-07-14,23337,0,27
2020-07-14,23347,19,93
2020-07-14,23350,76,422
2020-07-14,23354,15,54
2020-07-14,23356,Suppressed*,111
2020-07-14,23357,42,116
2020-07-14,23358,0,8
2020-07-14,23359,16,65
2020-07-14,23389,Suppressed*,12
2020-07-14,23395,18,106
2020-07-14,23398,5,24
2020-07-14,23401,Suppressed*,43
2020-07-14,23405,10,87
2020-07-14,23407,63,165
2020-07-14,23408,Suppressed*,12
2020-07-14,23409,Suppressed*,11
2020-07-14,23410,66,1276
2020-07-14,23413,83,334
2020-07-14,23414,34,89
2020-07-14,23415,38,262
2020-07-14,23416,12,104
2020-07-14,23417,87,437
2020-07-14,23418,69,227
2020-07-14,23420,90,363
2020-07-14,23421,186,951
2020-07-14,23422,7,52
2020-07-14,23423,Suppressed*,21
2020-07-14,23426,5,14
2020-07-14,23427,Suppressed*,23
2020-07-14,23430,84,1396
2020-07-14,23432,10,97
2020-07-14,23433,0,81
2020-07-14,23434,361,5570
2020-07-14,23435,216,2572
2020-07-14,23436,Suppressed*,69
2020-07-14,23437,13,329
2020-07-14,23438,5,154
2020-07-14,23440,0,11
2020-07-14,23441,41,94
2020-07-14,23442,29,194
2020-07-14,23451,210,4199
2020-07-14,23452,268,5302
2020-07-14,23453,143,2758
2020-07-14,23454,286,5703
2020-07-14,23455,159,4068
2020-07-14,23456,196,5478
2020-07-14,23457,12,292
2020-07-14,23459,19,210
2020-07-14,23460,Suppressed*,58
2020-07-14,23461,Suppressed*,106
2020-07-14,23462,416,6210
2020-07-14,23464,246,5813
2020-07-14,23480,Suppressed*,39
2020-07-14,23486,Suppressed*,12
2020-07-14,23487,93,639
2020-07-14,23488,8,37
2020-07-14,23502,164,2792
2020-07-14,23503,161,2246
2020-07-14,23504,257,2752
2020-07-14,23505,155,2946
2020-07-14,23507,44,1461
2020-07-14,23508,89,1323
2020-07-14,23509,91,2210
2020-07-14,23510,79,1398
2020-07-14,23511,21,538
2020-07-14,23513,220,2729
2020-07-14,23517,38,457
2020-07-14,23518,128,2527
2020-07-14,23523,79,742
2020-07-14,23551,Suppressed*,14
2020-07-14,23601,102,3588
