"Report Date",ZCTA,"Number of Cases","Number of PCR Testing Encounters"
7/18/2020,24016,36,656
7/18/2020,24017,118,1977
7/18/2020,24018,104,1645
7/18/2020,24019,144,1423
7/18/2020,24020,0,Suppressed*
7/18/2020,24053,5,112
7/18/2020,24054,64,442
7/18/2020,24055,82,858
7/18/2020,24058,0,17
7/18/2020,24059,0,29
7/18/2020,24060,100,1609
7/18/2020,24064,6,170
7/18/2020,24065,7,170
7/18/2020,24066,7,122
7/18/2020,24067,Suppressed*,62
7/18/2020,24069,10,136
7/18/2020,24070,Suppressed*,68
7/18/2020,24072,5,40
7/18/2020,24073,82,2604
7/18/2020,24076,Suppressed*,55
7/18/2020,24077,5,46
7/18/2020,24078,78,562
7/18/2020,24079,Suppressed*,53
7/18/2020,24082,0,16
7/18/2020,24083,57,478
7/18/2020,24084,24,602
7/18/2020,24085,12,90
7/18/2020,24086,0,Suppressed*
7/18/2020,24087,13,169
7/18/2020,24088,7,102
7/18/2020,24089,10,149
7/18/2020,24090,19,199
7/18/2020,24091,16,212
7/18/2020,24092,6,89
7/18/2020,24093,0,9
7/18/2020,24095,8,132
7/18/2020,24101,12,193
7/18/2020,24102,Suppressed*,51
7/18/2020,24104,8,221
7/18/2020,24105,Suppressed*,9
7/18/2020,24112,252,3255
7/18/2020,24120,6,64
7/18/2020,24121,12,511
7/18/2020,24122,5,60
7/18/2020,24124,Suppressed*,196
7/18/2020,24127,10,218
7/18/2020,24128,8,65
7/18/2020,24131,0,7
7/18/2020,24132,0,17
7/18/2020,24133,5,128
7/18/2020,24134,Suppressed*,382
7/18/2020,24136,0,107
7/18/2020,24137,9,96
7/18/2020,24138,Suppressed*,56
7/18/2020,24139,9,58
7/18/2020,24141,26,745
7/18/2020,24142,0,12
7/18/2020,24147,Suppressed*,41
7/18/2020,24148,35,456
7/18/2020,24149,6,121
7/18/2020,24150,Suppressed*,16
7/18/2020,24151,50,1053
7/18/2020,24153,169,5701
7/18/2020,24161,0,21
7/18/2020,24162,9,106
7/18/2020,24165,11,102
7/18/2020,24167,Suppressed*,12
7/18/2020,24168,6,51
7/18/2020,24171,39,356
7/18/2020,24174,Suppressed*,151
7/18/2020,24175,32,288
7/18/2020,24176,7,63
7/18/2020,24179,66,848
7/18/2020,24184,13,124
7/18/2020,24185,Suppressed*,34
7/18/2020,24201,19,1033
7/18/2020,24202,18,562
7/18/2020,24210,37,908
7/18/2020,24211,18,1057
7/18/2020,24216,10,170
7/18/2020,24217,Suppressed*,11
7/18/2020,24219,18,797
7/18/2020,24220,Suppressed*,27
7/18/2020,24221,Suppressed*,21
7/18/2020,24224,7,166
7/18/2020,24225,0,56
7/18/2020,24226,0,59
7/18/2020,24228,Suppressed*,422
7/18/2020,24230,10,284
7/18/2020,24236,12,94
7/18/2020,24237,0,20
7/18/2020,24239,0,16
7/18/2020,24243,0,129
7/18/2020,24244,8,398
7/18/2020,24245,0,55
7/18/2020,24246,0,16
7/18/2020,24248,9,132
7/18/2020,24250,0,41
7/18/2020,24251,15,450
7/18/2020,24256,Suppressed*,95
7/18/2020,24258,0,52
7/18/2020,24260,Suppressed*,179
7/18/2020,24263,Suppressed*,470
7/18/2020,24265,0,31
7/18/2020,24266,14,400
7/18/2020,24269,0,9
7/18/2020,24270,Suppressed*,17
7/18/2020,24271,0,123
7/18/2020,24272,0,12
7/18/2020,24273,6,552
7/18/2020,24277,9,601
7/18/2020,24279,5,127
7/18/2020,24280,Suppressed*,26
7/18/2020,24281,5,118
7/18/2020,24282,Suppressed*,39
7/18/2020,24283,Suppressed*,97
7/18/2020,24290,Suppressed*,171
7/18/2020,24292,0,23
7/18/2020,24293,6,479
7/18/2020,24301,23,991
7/18/2020,24311,Suppressed*,83
7/18/2020,24312,Suppressed*,110
7/18/2020,24313,7,58
7/18/2020,24314,0,178
7/18/2020,24315,Suppressed*,837
7/18/2020,24316,0,Suppressed*
7/18/2020,24317,22,258
7/18/2020,24318,Suppressed*,37
7/18/2020,24319,19,429
7/18/2020,24322,0,8
7/18/2020,24323,Suppressed*,34
7/18/2020,24324,5,96
7/18/2020,24325,Suppressed*,38
7/18/2020,24326,7,72
7/18/2020,24328,16,113
7/18/2020,24330,45,292
7/18/2020,24333,396,1860
7/18/2020,24340,11,212
7/18/2020,24343,113,663
7/18/2020,24347,6,81
7/18/2020,24348,13,1303
7/18/2020,24350,Suppressed*,60
7/18/2020,24351,Suppressed*,29
7/18/2020,24352,5,122
7/18/2020,24354,33,1229
7/18/2020,24360,15,360
7/18/2020,24361,6,208
7/18/2020,24363,Suppressed*,53
7/18/2020,24366,Suppressed*,70
7/18/2020,24368,8,404
7/18/2020,24370,11,253
7/18/2020,24374,Suppressed*,46
7/18/2020,24375,Suppressed*,65
7/18/2020,24377,0,8
7/18/2020,24378,Suppressed*,65
7/18/2020,24380,Suppressed*,61
7/18/2020,24381,34,219
7/18/2020,24382,30,1164
7/18/2020,24401,135,3236
7/18/2020,24411,0,Suppressed*
7/18/2020,24412,0,Suppressed*
7/18/2020,24413,0,9
7/18/2020,24415,0,Suppressed*
7/18/2020,24416,28,430
7/18/2020,24421,7,213
7/18/2020,24422,18,578
7/18/2020,24426,33,957
7/18/2020,24430,5,151
7/18/2020,24431,11,208
7/18/2020,24432,Suppressed*,20
7/18/2020,24433,0,Suppressed*
7/18/2020,24435,6,94
7/18/2020,24437,0,74
7/18/2020,24439,Suppressed*,74
7/18/2020,24440,8,146
7/18/2020,24441,55,554
7/18/2020,24442,0,8
7/18/2020,24445,Suppressed*,155
7/18/2020,24448,Suppressed*,38
7/18/2020,24450,37,1331
7/18/2020,24457,Suppressed*,68
7/18/2020,24458,Suppressed*,22
7/18/2020,24459,6,44
7/18/2020,24460,0,72
7/18/2020,24464,0,6
7/18/2020,24465,Suppressed*,66
7/18/2020,24467,9,137
7/18/2020,24471,11,127
7/18/2020,24472,Suppressed*,152
7/18/2020,24473,0,38
7/18/2020,24474,Suppressed*,31
7/18/2020,24476,Suppressed*,33
